0	Index      	 *	Score 	Summary	Detail	
1	28241 11538	 * 	289.27	DCR|DCR|2VULN|1MLV|1CDMG|1AART	1MBVNT|2BBNT|3AART|4aVULN|5ERES|6CDMG|7MLV|89RCR
2	12111 51524	 * 	285.78	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1DUST|2MLV|3AME|49VULN|5DMG|6aRCR|7LWND|8SELL
3	12111 53524	 * 	285.78	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1DUST|2MLV|3AME|49VULN|5DMG|6aRCR|7BEXP|8SELL
4	28241 11536	   	274.84	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART	1MBVNT|2BBNT|3AART|4VULN|5ERES|6CDMG|7MLV|89RCR|aASPD
5	28245 11533	   	269.60	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MBVNT|2BBNT|3AART|4VULN|5CDMG|6CGEN|7MLV|89RCR|aDUR
6	28241 11533	   	269.50	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MBVNT|2BBNT|3AART|4VULN|5ERES|6CDMG|7MLV|89RCR|aDUR
7	28245 11532	   	269.06	DCR|DCR|1VULN|2AART|1MLV|1CDMG	1MBVNT|2BBNT|3aAART|4VULN|5CDMG|6CGEN|7MLV|89RCR
8	28241 11532	   	268.96	DCR|DCR|1VULN|2AART|1MLV|1CDMG	1MBVNT|2BBNT|3aAART|4VULN|5ERES|6CDMG|7MLV|89RCR
9	11211 51524	 * 	268.35	DCR|DCR|2VULN|1DMG|1SELL	1DUST|23FEWX|49VULN|5DMG|6aRCR|7LWND|8SELL
10	11211 53524	 * 	268.35	DCR|DCR|2VULN|1DMG|1SELL	1DUST|23FEWX|49VULN|5DMG|6aRCR|7BEXP|8SELL
11	62212 35132	 * 	268.32	DCR|DCR|3MLV|1ASPD|1CDMG	1LWND|258MLV|3DUR|4ASPD|6aRCR|7MSLTOX|9CDMG
12	11311 51524	 * 	268.25	DCR|DCR|2VULN|1DMG|1SELL	1DUST|2FEWX|3AELOIC|49VULN|5DMG|6aRCR|7LWND|8SELL
13	11311 53524	 * 	268.25	DCR|DCR|2VULN|1DMG|1SELL	1DUST|2FEWX|3AELOIC|49VULN|5DMG|6aRCR|7BEXP|8SELL
14	22447 73743	 * 	267.66	DCR|DCR|2DMG|1VULN|1AART	1MBVNT|2BEXP|3BELT|4AART|5aDMG|69RCR|7SPLJET|8VULN
15	32214 32626	   	266.45	DCR|DCR|1VULN|1DMG|1MLV	1TLV|2DMG|3BBNT|4DUR|5LIT|6VULN|7aRCR|8MLV|9CGEN
16	28245 11534	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MBVNT|2BBNT|3AART|4VULN|5CDMG|6CGEN|7MLV|89RCR|aLWND
17	28241 11534	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MBVNT|2BBNT|3AART|4VULN|5ERES|6CDMG|7MLV|89RCR|aLWND
18	28241 11535	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MBVNT|2BBNT|3AART|4VULN|5ERES|6CDMG|7MLV|89RCR|aBEXP
19	28245 11531	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1ZMB	1MBVNT|2BBNT|3AART|4VULN|5CDMG|6CGEN|7MLV|89RCR|aZMB
20	28241 11531	   	261.09	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1ZMB	1MBVNT|2BBNT|3AART|4VULN|5ERES|6CDMG|7MLV|89RCR|aZMB
21	28241 11537	   	261.09	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1MBVNT|2BBNT|3AART|4VULN|5ERES|6CDMG|7MLV|89RCR|aMDPS
22	32262 25213	   	260.16	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG|1RPLT	1TLV|2DMG|3BBNT|4MLV|5LIT|6RPLT|7ASPD|8CDMG|9aRCR
23	28245 23533	   	259.84	DCR|DCR|1VULN|2AART|1CDMG	1MBVNT|2BBNT|37AART|4VULN|5CDMG|6LHND|89RCR|aDUR
