0	Index      	 *	Score 	Summary	Detail	
1	41336 32363	 * 	272.81	ACR|DCR|3VULN|1DMG|1AART	1LIT|2aRCR|358VULN|4TLV|6DMG|7MDPS|9AART
2	21247 52344	 * 	271.99	DCR|DCR|3VULN	1BBNT|28BLASTR|38LWND|4MBVNT|568VULN|7aRCR|8BPWR|9BELT
3	33324 85414	   	271.89	DCR|DCR|3VULN	1AIRHEA|2MBVNT|349VULN|5BEXP|6BELT|7CGEN|8aRCR
4	33324 83414	   	271.79	DCR|DCR|3VULN	1AIRHEA|2MBVNT|349VULN|5BEXP|6BELT|7AME|8aRCR
5	33326 83414	   	271.79	DCR|DCR|3VULN	1AIRHEA|2MBVNT|349VULN|5DUST|6BELT|7CGEN|8aRCR
6	36343 21162	 * 	266.12	DCR|5VULN|1DMG|2DUR|1AART	14AIRHEA|23468VULN|46BPWR|56DUR|7AART|9DMG|aRCR
7	33322 64468	   	257.99	DCR|DCR|2VULN|1AART	1AIRHEA|2MBVNT|34VULN|5RCVC|6aRCR|7AART|8RMIN|9SPLREG
8	45222 45112	   	257.65	ACR|DCR|2VULN|1DMG|1RPLT	1LIT|2RPLT|3DMG|4MBVNT|57RCR|6DUR|8aVULN|9FEWX
9	45222 45131	   	257.65	ACR|DCR|2VULN|1DMG|1RPLT	1LIT|2RPLT|3DMG|4MBVNT|57RCR|6DUR|89VULN|aTLV
10	45222 45133	   	257.65	ACR|DCR|2VULN|1DMG|1RPLT	1aLIT|2RPLT|3DMG|4MBVNT|57RCR|6DUR|89VULN
11	45222 45134	   	257.65	ACR|DCR|2VULN|1DMG|1RPLT	1LIT|2RPLT|3DMG|4MBVNT|57RCR|6DUR|89VULN|aDMSP
12	45222 45132	   	257.55	ACR|DCR|2VULN|1DMG|1RPLT	1LIT|2RPLT|3DMG|4MBVNT|57RCR|6DUR|89VULN|aMDPS
13	41333 11442	 * 	257.23	ACR|DCR|2VULN|2DMG|1SELL	1aLIT|29RCR|3aVULN|4TLV|5SELL|6LSRICY|7MBVNT|8aDMG|aBPWR
14	12125 13321	   	256.63	DCR|DCR|2VULN	1DUST|29VULN|3BEXP|4DUR|5FEWX|6MSLREG|7BASICY|8aRCR
