0	Index      	 *	Score 	Summary	Detail	
1	42122 43352	 * 	299.96	DCR|DCR|4VULN|2DUR	1LEGI|239aVULN|4aDUR|5BBNT|6MDPS|78RCR|aBPWR
2	42122 43335	   	287.79	DCR|DCR|3VULN|1CDMG	1LEGI|23aVULN|4DUR|5BBNT|6MDPS|78RCR|9CDMG
3	42122 43342	 * 	285.80	DCR|DCR|3VULN|3DUR	1LEGI|23aVULN|49aDUR|5BBNT|6MDPS|78RCR|aBPWR
4	42122 43334	 * 	285.72	DCR|DCR|2VULN|1DMG|1CDMG	1LEGI|23VULN|4DUR|5BBNT|6MDPS|78RCR|9CDMG|aDMG
5	33526 43313	   	284.30	DCR|DCR|2VULN|1MLV|1CDMG|1SELL	1RPLT|2MDPS|38VULN|4CDMG|5DUST|6aRCR|7MLV|9SELL
6	24125 23335	   	279.59	DCR|DCR|3VULN|1CDMG	1FEWX|2MDPS|3LHND|4BBNT|56aVULN|78RCR|9CDMG
7	24225 13335	   	279.59	DCR|DCR|3VULN|1CDMG	1FEWX|2MDPS|35aVULN|4BBNT|6LHND|78RCR|9CDMG
8	11441 31421	   	278.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	12LWND|3ASPD|4DMG|5RCVC|68RCR|7VULN|9MLV|aRPLT
9	13441 31421	   	278.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1LWND|2DMSP|3ASPD|4DMG|5RCVC|68RCR|7VULN|9MLV|aRPLT
10	62141 31421	   	278.50	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1ASPD|2AELOIC|3LWND|4DMG|5RCVC|68RCR|7VULN|9MLV|aRPLT
11	11534 31421	   	278.36	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1SELL	12LWND|3SELL|4CDMG|5DMG|68RCR|7VULN|9MLV|aRPLT
12	13534 31421	   	278.36	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1SELL	1LWND|2DMSP|3SELL|4CDMG|5DMG|68RCR|7VULN|9MLV|aRPLT
13	24125 23334	   	277.51	DCR|DCR|2VULN|1DMG|1CDMG	1FEWX|2MDPS|3LHND|4BBNT|56VULN|78RCR|9CDMG|aDMG
14	24225 13334	   	277.51	DCR|DCR|2VULN|1DMG|1CDMG	1FEWX|2MDPS|35VULN|4BBNT|6LHND|78RCR|9CDMG|aDMG
15	11226 53143	   	275.70	DCR|DCR|3VULN	12LWND|3DMSP|4RPLT|58aVULN|69RCR|7CGEN
16	11326 53143	   	275.70	DCR|DCR|3VULN	12LWND|3RCVC|4RPLT|58aVULN|69RCR|7CGEN
17	13226 53143	   	275.70	DCR|DCR|3VULN	1LWND|23DMSP|4RPLT|58aVULN|69RCR|7CGEN
18	13326 53143	   	275.70	DCR|DCR|3VULN	1LWND|2DMSP|3RCVC|4RPLT|58aVULN|69RCR|7CGEN
19	11226 51143	   	275.60	DCR|DCR|3VULN	12LWND|3DMSP|4RPLT|58aVULN|69RCR|7ERES
20	11326 51143	   	275.60	DCR|DCR|3VULN	12LWND|3RCVC|4RPLT|58aVULN|69RCR|7ERES
21	13226 51143	   	275.60	DCR|DCR|3VULN	1LWND|23DMSP|4RPLT|58aVULN|69RCR|7ERES
22	13326 51143	   	275.60	DCR|DCR|3VULN	1LWND|2DMSP|3RCVC|4RPLT|58aVULN|69RCR|7ERES
23	24225 63311	   	274.24	DCR|DCR|3VULN	1FEWX|2MDPS|35aVULN|4BBNT|6DUR|78RCR|9TBNT
24	42122 43311	   	274.14	DCR|DCR|3VULN	1LEGI|23aVULN|4DUR|5BBNT|6MDPS|78RCR|9TBNT
25	42122 43351	   	274.14	DCR|DCR|3VULN	1LEGI|239VULN|4DUR|5BBNT|6MDPS|78RCR|aBELT
26	42122 43353	   	274.14	DCR|DCR|3VULN	1LEGI|239VULN|4DUR|5BBNT|6MDPS|78RCR|aFEWX
27	63412 33431	 * 	273.42	DCR|DCR|1VULN|2ASPD|1DMG	13ASPD|2NUKE|47BEXP|5VULN|68RCR|9DMG|aRPLT
28	63431 31431	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	13ASPD|2NUKE|4RCVC|5LHND|68RCR|7VULN|9DMG|aRPLT
29	63432 32431	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	13ASPD|2NUKE|4RCVC|5VULN|68RCR|7BEXP|9DMG|aRPLT
30	63432 33431	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	13ASPD|2NUKE|4RCVC|5VULN|68RCR|7FEWX|9DMG|aRPLT
31	32536 62313	   	273.32	DCR|DCR|2VULN|1DMG	1RPLT|25DUST|3BEXP|46VULN|7aRCR|8DMG|9ERES
32	63412 33421	   	270.89	DCR|DCR|1VULN|2ASPD|1MLV	13ASPD|2NUKE|47BEXP|5VULN|68RCR|9MLV|aRPLT
33	63431 31421	   	270.89	DCR|DCR|1VULN|2ASPD|1MLV	13ASPD|2NUKE|4RCVC|5LHND|68RCR|7VULN|9MLV|aRPLT
34	63432 32421	   	270.89	DCR|DCR|1VULN|2ASPD|1MLV	13ASPD|2NUKE|4RCVC|5VULN|68RCR|7BEXP|9MLV|aRPLT
35	63432 33421	   	270.89	DCR|DCR|1VULN|2ASPD|1MLV	13ASPD|2NUKE|4RCVC|5VULN|68RCR|7FEWX|9MLV|aRPLT
