0	Index      	 *	Score 	Summary	Detail	
1	66125 32313	 * 	271.09	DCR|DCR|2VULN|1MLV|1RPLT	1BELT|28VULN|35LIT|4RPLT|6aRCR|7MLV|9AAC
2	24113 23532	   	266.84	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7CGEN|9MLV|aVULN
3	24113 22532	   	266.74	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7ERES|9MLV|aVULN
4	14662 33131	   	258.14	DCR|DCR|1VULN|1MLV|2RPLT|1ZMB	1ZMB|28RPLT|3FEWX|4VULN|5LIT|6DUR|7aRCR|9MLV
5	14422 63131	   	258.04	DCR|DCR|1VULN|1MLV|2RPLT|1ZMB	1ZMB|28RPLT|3DUST|4DUR|5LIT|6VULN|7aRCR|9MLV
6	24113 21514	 * 	255.62	DCR|DCR|1VULN|2CDMG|1AART	1LWND|2DUR|3BBNT|4AART|59CDMG|68RCR|7RMIN|aVULN
7	24113 23514	   	255.62	DCR|DCR|1VULN|2CDMG|1AART	1LWND|2DUR|3BBNT|4AART|59CDMG|68RCR|7CGEN|aVULN
8	24113 22514	   	255.52	DCR|DCR|1VULN|2CDMG|1AART	1LWND|2DUR|3BBNT|4AART|59CDMG|68RCR|7ERES|aVULN
9	14422 63231	   	252.75	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ZMB|2RPLT|38DUST|4DUR|5LIT|6VULN|7aRCR|9MLV
10	24113 23561	   	249.31	DCR|DCR|1VULN|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7CGEN|9VULN|aRMIN
11	24113 21561	   	249.21	DCR|DCR|1VULN|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7RMIN|9VULN|aDUST
12	24113 21562	   	249.21	DCR|DCR|1VULN|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7RMIN|9VULN|aSNIFST
13	24113 21563	   	249.21	DCR|DCR|1VULN|1CDMG|1AART|1MSE	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7RMIN|9VULN|aMSE
14	24113 22561	   	249.21	DCR|DCR|1VULN|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7ERES|9VULN|aRMIN
15	24113 23522	   	249.21	DCR|DCR|1VULN|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7CGEN|9AME|aVULN
16	24113 23562	   	249.21	DCR|DCR|1VULN|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7CGEN|9VULN|aMBVNT
17	24113 23563	   	249.21	DCR|DCR|1VULN|1CDMG|1AART|1MSE	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7CGEN|9VULN|aMSE
18	24113 22522	   	249.11	DCR|DCR|1VULN|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7ERES|9AME|aVULN
19	24113 22562	   	249.11	DCR|DCR|1VULN|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7ERES|9VULN|aMBVNT
20	24113 22563	   	249.11	DCR|DCR|1VULN|1CDMG|1AART|1MSE	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7ERES|9VULN|aMSE
21	16113 51631	 * 	249.06	ACR|DCR|2VULN|2ASPD|1ZMB	1ZMB|2DUR|37VULN|49RCR|5DUST|6BEXP|8aASPD
22	16113 53531	 * 	249.06	ACR|DCR|2VULN|2ASPD|1ZMB	1ZMB|2DUR|38VULN|49RCR|5DUST|6BEXP|7aASPD
23	66125 32113	   	244.89	DCR|DCR|1VULN|1MLV|1RPLT	1BELT|2VULN|35LIT|4RPLT|6aRCR|7MLV|8DMSP|9AAC
24	66125 32213	   	244.79	DCR|DCR|1VULN|1MLV|1RPLT	1BELT|2VULN|35LIT|4RPLT|6aRCR|7MLV|8AELOIC|9AAC
25	24113 21515	 * 	243.59	DCR|DCR|1DMG|2CDMG|1AART	1LWND|2DUR|3BBNT|4AART|59CDMG|68RCR|7RMIN|aDMG
26	24113 23515	   	243.59	DCR|DCR|1DMG|2CDMG|1AART	1LWND|2DUR|3BBNT|4AART|59CDMG|68RCR|7CGEN|aDMG
27	24113 22515	   	243.49	DCR|DCR|1DMG|2CDMG|1AART	1LWND|2DUR|3BBNT|4AART|59CDMG|68RCR|7ERES|aDMG
28	16113 51633	 * 	243.15	ACR|DCR|2VULN|2DUR|1ASPD|1ZMB	1ZMB|2aDUR|37VULN|49RCR|5DUST|6BEXP|8ASPD
29	16113 53533	 * 	243.15	ACR|DCR|2VULN|2DUR|1ASPD|1ZMB	1ZMB|2aDUR|38VULN|49RCR|5DUST|6BEXP|7ASPD
30	16113 53134	 * 	242.92	ACR|DCR|1VULN|2ASPD|1DMG|1ZMB	1ZMB|2DUR|3VULN|49RCR|5DUST|6BEXP|78ASPD|aDMG
31	61324 32152	 * 	242.19	ACR|DCR|2VULN|1MLV|1AART	1BELT|25TLV|3AART|49RCR|6LHND|78VULN|aMLV
32	24113 22536	   	241.59	DCR|DCR|1MLV|1CDMG|1AART	1LWND|2DUR|3BBNT|4AART|5CDMG|68RCR|7ERES|9MLV|aNUKE
33	24113 21536	   	241.30	DCR|DCR|1MLV|2DUR|1CDMG|1AART	1LWND|2aDUR|3BBNT|4AART|5CDMG|68RCR|7RMIN|9MLV
34	24113 23536	   	241.30	DCR|DCR|1MLV|2DUR|1CDMG|1AART	1LWND|2aDUR|3BBNT|4AART|5CDMG|68RCR|7CGEN|9MLV
