0	Index      	 *	Score 	Summary	Detail	
1	52221 51432	 * 	290.43	DCR|4VULN|3DMG|2MLV	1TBNT|258DMG|3MDPS|459aVULN|5aBPWR|6aMLV|7RCR
2	32344 24332	 * 	289.47	DCR|DCR|2VULN|1MLV|1ASPD|1AART	1LHND|2BBNT|3MLV|4AART|56VULN|7ASPD|8aRCR|9BEXP
3	32344 24312	   	289.37	DCR|DCR|2VULN|1MLV|1ASPD|1AART	1LHND|2BBNT|3MLV|4AART|56VULN|7ASPD|8aRCR|9DUST
4	44231 32226	 * 	288.48	DCR|DCR|2VULN|2ASPD|1CDMG	18LIT|28ASPD|3RCVC|4DUST|5CDMG|6aRCR|78VULN|8BPWR|9BBNT
5	12214 24332	   	280.24	DCR|DCR|2VULN|1ASPD|1AART	1DUR|2BBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9BEXP
6	12214 24352	   	280.24	DCR|DCR|2VULN|1ASPD|1AART	1DUR|2BBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9LHND
7	15214 24332	   	280.24	DCR|DCR|2VULN|1ASPD|1AART	1DUR|2TBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9BEXP
8	12214 24312	   	280.14	DCR|DCR|2VULN|1ASPD|1AART	1DUR|2BBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9DUST
9	15214 24312	   	280.14	DCR|DCR|2VULN|1ASPD|1AART	1DUR|2TBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9DUST
10	53443 31633	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	1TBNT|2MBVNT|3MULHEA|4LHND|5CDMG|67RCR|8MLV|9aVULN
11	53461 31633	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	1TBNT|2MBVNT|3MULHEA|4CDMG|5LHND|67RCR|8MLV|9aVULN
12	53464 31633	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	1TBNT|2MBVNT|3MULHEA|4CDMG|5BEXP|67RCR|8MLV|9aVULN
13	11636 23152	 * 	276.75	DCR|DCR|2VULN|1DMG|1SELL	1DUR|2CGEN|3BEXP|4DMG|5AAC|6SELL|78RCR|9aVULN
14	53464 31833	   	275.73	DCR|DCR|2VULN|1ASPD|1CDMG	1TBNT|2MBVNT|3MULHEA|4CDMG|5BEXP|67RCR|8ASPD|9aVULN
15	32214 24332	   	271.94	DCR|DCR|2VULN|1ASPD|1AART	1LHND|2BBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9BEXP
16	35214 24332	   	271.94	DCR|DCR|2VULN|1ASPD|1AART	1LHND|2TBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9BEXP
17	62214 24332	   	271.94	DCR|DCR|2VULN|1ASPD|1AART	1FEWX|2BBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9BEXP
18	32214 24312	   	271.84	DCR|DCR|2VULN|1ASPD|1AART	1LHND|2BBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9DUST
19	35214 24312	   	271.84	DCR|DCR|2VULN|1ASPD|1AART	1LHND|2TBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9DUST
20	62214 24312	   	271.84	DCR|DCR|2VULN|1ASPD|1AART	1FEWX|2BBNT|3AART|4TLV|56VULN|7ASPD|8aRCR|9DUST
21	21135 23121	 * 	269.94	DCR|DCR|2DMG|2MLV|1ASPD	14TLV|2ASPD|3ERES|58DMG|69MLV|7aRCR
22	21155 23121	   	269.94	DCR|DCR|2DMG|2MLV|1ASPD	1TLV|2ASPD|3ERES|4RCVC|58DMG|69MLV|7aRCR
23	61662 32333	 * 	268.69	DCR|DCR|2VULN|1DMG	1FEWX|2CGEN|3BEXP|4aVULN|5LWND|69RCR|7DMG|8BELT
24	61616 32133	   	268.59	DCR|DCR|2VULN|1DMG	1FEWX|2CGEN|3BEXP|4DUST|5aVULN|69RCR|7DMG|8BELT
25	53431 31633	   	265.71	DCR|DCR|2VULN|1MLV|1SELL	1TBNT|2MBVNT|3MULHEA|4SELL|5LHND|67RCR|8MLV|9aVULN
26	53434 31633	   	265.71	DCR|DCR|2VULN|1MLV|1SELL	1TBNT|2MBVNT|3MULHEA|4SELL|5BEXP|67RCR|8MLV|9aVULN
27	52221 51226	   	262.23	DCR|3VULN|2DMG|1MLV|1ASPD|1RPLT	1TBNT|25DMG|3MDPS|458VULN|5BPWR|6MLV|7RCR|9RPLT|aASPD
28	53443 31133	   	262.08	DCR|DCR|2VULN|1CDMG	1TBNT|2MBVNT|3MULHEA|4LHND|5CDMG|67RCR|8CGEN|9aVULN
29	53461 31133	   	262.08	DCR|DCR|2VULN|1CDMG	1TBNT|2MBVNT|3MULHEA|4CDMG|5LHND|67RCR|8CGEN|9aVULN
30	53464 31133	   	262.08	DCR|DCR|2VULN|1CDMG	1TBNT|2MBVNT|3MULHEA|4CDMG|5BEXP|67RCR|8CGEN|9aVULN
31	53653 31133	   	262.08	DCR|DCR|2VULN|1CDMG	1TBNT|2MBVNT|3FEWX|4FRZFST|5CDMG|67RCR|8CGEN|9aVULN
32	42231 32226	   	261.89	DCR|DCR|2VULN|1CDMG|2ZMB	18LIT|28ZMB|3RCVC|4DUST|5CDMG|6aRCR|78VULN|8BPWR|9BBNT
33	53434 31833	   	261.83	DCR|DCR|2VULN|1ASPD|1SELL	1TBNT|2MBVNT|3MULHEA|4SELL|5BEXP|67RCR|8ASPD|9aVULN
