0	Index      	 *	Score 	Summary	Detail	
1	43363 22326	 * 	293.36	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|27VULN|3ASPD|4AAC|5DUST|6aRCR|8TBNT|9MLV
2	42623 31325	   	288.12	DCR|DCR|2VULN|1MLV|1CDMG	1CDMG|23BEXP|47VULN|5RMIN|6DUR|8aRCR|9MLV
3	43631 31325	   	288.12	DCR|DCR|2VULN|1MLV|1CDMG	1CDMG|27VULN|3BEXP|4RMIN|5RCVC|6DUR|8aRCR|9MLV
4	14132 26225	 * 	280.30	DCR|DCR|3VULN	1BEXP|2BBNT|389VULN|4DUST|5DUR|6TBNT|7aRCR
5	43132 23344	 * 	277.59	ACR|DCR|3VULN|3CDMG	189CDMG|289VULN|3BBNT|4aRCR|5TLV|6DUR|789DUST|89BPWR
6	43333 13631	 * 	275.39	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|49RCR|6BELT|7DMG|8LIT|aDUR
7	43331 52326	   	272.86	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|27VULN|3ASPD|4aRCR|5DUR|6AAC|8TBNT|9MLV
8	14125 13325	 * 	271.36	DCR|4VULN|3MLV|1DMG	18BEXP|2BBNT|3458VULN|678MLV|8BPWR|9RCR|aDMG
9	42623 31335	   	270.58	DCR|DCR|2VULN|1CDMG	1CDMG|23BEXP|47VULN|5RMIN|6DUR|8aRCR|9CGEN
10	43631 31335	   	270.58	DCR|DCR|2VULN|1CDMG	1CDMG|27VULN|3BEXP|4RMIN|5RCVC|6DUR|8aRCR|9CGEN
11	55233 12215	   	270.38	DCR|DCR|2VULN|1CDMG	19ERES|2DUR|3LWND|4TLV|56VULN|7CDMG|8aRCR
12	43223 35315	 * 	268.29	DCR|DCR|2VULN|2CDMG	17CDMG|26VULN|3MDPS|4CGEN|59ERES|8aRCR
13	23414 24132	 * 	268.14	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RPLT|2DMG|3AART|4VULN|5DUR|6CGEN|7MDPS|8aRCR|9BEXP
14	23265 62323	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2DMG|3DUST|4TLV|5MLV|67RCR|8AELOIC|9AAC|aVULN
15	23265 62333	   	267.51	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2DMG|39DUST|4TLV|5MLV|67RCR|8AELOIC|aVULN
16	43333 13633	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|49RCR|6BELT|7DMG|8LIT|aBBNT
17	43333 13635	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|49RCR|6BELT|7DMG|8LIT|aFEWX
18	43333 13636	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|49RCR|6BELT|7DMG|8LIT|aLHND
19	43333 21316	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|4aRCR|6DMG|7RMIN|8TBNT|9LWND
20	43333 21356	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|4aRCR|6DMG|7RMIN|8TBNT|9BEXP
21	43333 22316	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|4aRCR|6DMG|7TLV|8TBNT|9LHND
22	43333 22356	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|4aRCR|6DMG|7TLV|8TBNT|9BEXP
23	43533 21316	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3DMG|4aRCR|6ASPD|7RMIN|8TBNT|9LWND
24	43533 22316	   	267.09	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3DMG|4aRCR|6ASPD|7TLV|8TBNT|9LHND
25	43333 13632	   	266.99	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG|1ZMB	1CDMG|25VULN|3ASPD|49RCR|6BELT|7DMG|8LIT|aZMB
26	43333 23316	   	266.99	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|4aRCR|6DMG|7AME|8TBNT|9LHND
27	43333 23356	   	266.99	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3ASPD|4aRCR|6DMG|7AME|8TBNT|9BEXP
28	43533 23316	   	266.99	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1CDMG|25VULN|3DMG|4aRCR|6ASPD|7AME|8TBNT|9LHND
29	43312 23345	   	265.52	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1CDMG|2VULN|3ASPD|4DUR|5ERES|6aRCR|7BLAICY|8MDPS|9AART
30	42315 22322	 * 	265.50	DCR|3VULN|2ASPD|2CDMG|1MLV|1RPLT	19CDMG|2BEXP|39ASPD|4DUR|5MLV|6RCR|79aVULN|8RPLT|9BPWR
31	11142 35122	   	265.37	DCR|DCR|1VULN|1MLV|1AART|1RPLT|1ZMB	1BEXP|2MDPS|3MLV|4ZMB|5DUR|6AART|7RPLT|8aRCR|9VULN
32	14125 13326	   	264.95	DCR|4VULN|3MLV|1ASPD	18BEXP|2BBNT|3458VULN|678MLV|8BPWR|9RCR|aASPD
33	43332 52326	   	264.56	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|27VULN|3ASPD|4aRCR|5BEXP|6AAC|8TBNT|9MLV
34	23314 62433	   	263.92	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1RPLT|2DMG|39LHND|4RCVC|5BEXP|67RCR|8CDMG|aVULN
35	23342 51213	   	263.92	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1RPLT|2DMG|3LHND|4FEWX|5TBNT|6BBNT|7VULN|8aRCR|9CDMG
36	23263 62423	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1RPLT|2DMG|39DUST|4TLV|5CGEN|67RCR|8CDMG|aVULN
