0	Index      	 *	Score 	Summary	Detail	
1	15111 15335	 * 	274.27	DCR|DCR|2VULN|1MLV	1TBNT|2BLAICY|3LIT|4DUR|5aVULN|67RCR|8MDPS|9MLV
2	15111 15222	 * 	273.06	DCR|DCR|2DMG|1VULN|2DUR	1TBNT|2aBLAICY|3LIT|4aDUR|5VULN|67RCR|8FEWX|9aDMG|aBPWR
3	55111 15222	   	273.06	DCR|DCR|2DMG|1VULN|2DUR	1BBNT|2aBLAICY|3LIT|4aDUR|5VULN|67RCR|8FEWX|9aDMG|aBPWR
4	62153 33353	 * 	268.25	DCR|DCR|2VULN|1DMG|1ZMB	1aVULN|2CGEN|3TLV|4MDPS|5ZMB|6DMG|7ERES|89RCR
5	32211 26353	 * 	268.15	DCR|DCR|2VULN|1DMG|1ZMB	1ERES|2ZMB|3MDPS|4AME|5CGEN|6DMG|7aVULN|89RCR
6	41353 12353	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	1DMSP|2DUST|3aVULN|4MDPS|5ZMB|6AAC|7MLV|89RCR
7	63123 12353	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	1aVULN|2AELOIC|3MDPS|4FEWX|5ZMB|6AAC|7MLV|89RCR
8	15111 15421	   	263.38	DCR|DCR|2VULN|2DUR	1TBNT|2BLAICY|3LIT|48DUR|5aVULN|67RCR|9BEXP
9	21144 45554	   	261.88	DCR|DCR|2VULN|1CDMG	1CDMG|2ERES|3MBVNT|4CGEN|56VULN|7DUST|8aRCR|9LEGI
10	66233 11215	   	261.83	DCR|DCR|2VULN|1CDMG|1ZMB	14VULN|2ERES|3NUKE|5BELT|6CDMG|7aRCR|8ZMB|9BBNT
11	32211 56353	   	261.73	DCR|DCR|2VULN|1ASPD|1ZMB	1ERES|2ZMB|3MDPS|4AME|5CGEN|6ASPD|7aVULN|89RCR
12	26331 21424	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|26LWND|3DUR|4BBNT|5MLV|7FEWX|89RCR|aVULN
13	26331 23424	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|26LWND|3DUR|4BBNT|5MLV|7LHND|89RCR|aVULN
14	15111 15352	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9CDMG|aMLV
15	15111 15221	   	258.48	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8FEWX|9DMG|aRPLT
16	55111 15221	   	258.48	DCR|DCR|1VULN|1DMG|1RPLT	1BBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8FEWX|9DMG|aRPLT
17	15151 15222	   	258.10	DCR|DCR|2DMG|1VULN	1TBNT|2aBLAICY|3aLIT|4LEGI|5VULN|67RCR|8FEWX|9aDMG|aBPWR
18	15111 15211	   	256.83	DCR|DCR|2VULN	1TBNT|2BLAICY|39LIT|4DUR|5aVULN|67RCR|8FEWX
19	55111 15211	   	256.83	DCR|DCR|2VULN	1BBNT|2BLAICY|39LIT|4DUR|5aVULN|67RCR|8FEWX
20	15111 15361	   	256.73	DCR|DCR|2VULN	1TBNT|2BLAICY|3LIT|4DUR|59VULN|67RCR|8MDPS|aTLV
21	15111 15362	   	256.73	DCR|DCR|2VULN	1TBNT|2BLAICY|3LIT|4DUR|59VULN|67RCR|8MDPS|aCGEN
22	15111 15363	   	256.73	DCR|DCR|2VULN	1TBNT|2BLAICY|3LIT|4DUR|59VULN|67RCR|8MDPS|aLHND
23	12356 32223	   	256.16	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|26CGEN|3FEWX|4CDMG|5VULN|79RCR|8DUR|aASPD
24	12356 62223	   	256.16	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|2CGEN|3FEWX|4CDMG|5VULN|6RCVC|79RCR|8DUR|aASPD
25	52356 32223	   	256.16	DCR|DCR|1VULN|1ASPD|1CDMG	1BBNT|26CGEN|3FEWX|4CDMG|5VULN|79RCR|8DUR|aASPD
26	62326 32223	   	256.16	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|26CGEN|3FEWX|4BBNT|5CDMG|79RCR|8DUR|aASPD
27	62326 62223	   	256.16	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|2CGEN|3FEWX|4BBNT|5CDMG|6RCVC|79RCR|8DUR|aASPD
28	15111 15333	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9MLV|aRPLT
29	55111 15333	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1BBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8MDPS|9MLV|aRPLT
30	15111 15225	   	255.37	DCR|DCR|1VULN|1DMG|2DUR	1TBNT|2BLAICY|3LIT|4aDUR|5VULN|67RCR|8FEWX|9DMG
31	11341 62153	 * 	253.34	ACR|DCR|2VULN|1DMG|1ASPD	1TBNT|2LWND|3ASPD|49RCR|5LHND|6DUST|7aVULN|8DMG
32	15111 15234	   	252.07	DCR|DCR|1VULN|1CDMG|1RPLT	1TBNT|2BLAICY|3LIT|4DUR|5VULN|67RCR|8FEWX|9RPLT|aCDMG
33	22156 21611	 * 	251.98	DCR|4VULN|1DMG|2CDMG|1SELL	16CDMG|2SELL|3459VULN|7DUR|8RCR|aDMG
34	26113 31424	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2LWND|3MLV|4LHND|5DMSP|6TBNT|7FEWX|89RCR|aVULN
35	26231 21424	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|26LWND|3BEXP|4BBNT|5MLV|7FEWX|89RCR|aVULN
