0	Index      	 *	Score 	Summary	Detail	
1	31243 43313	 * 	303.16	DCR|3LIT|2MLV|2VULN|2DUR|1CDMG	18DUR|2aMLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR
2	12478 45121	 * 	299.28	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	19DUST|2MBVNT|3MLV|49LIT|5DMG|6FLTARM|79VULN|8RCR|9BPWR|aFEWX
3	12478 45123	   	299.28	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	19DUST|2MBVNT|3MLV|49LIT|5DMG|6FLTARM|79VULN|8RCR|9BPWR|aRMIN
4	12478 45124	   	299.28	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	19DUST|2MBVNT|3MLV|49LIT|5DMG|6FLTARM|79VULN|8RCR|9BPWR|aLHND
5	12478 45122	   	299.18	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	19DUST|2MBVNT|3MLV|49LIT|5DMG|6FLTARM|79VULN|8RCR|9BPWR|aDUR
6	11243 43315	   	289.76	DCR|3LIT|2VULN|1MLV|1ASPD|1CDMG	18DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aASPD
7	31243 43315	   	289.76	DCR|3LIT|2VULN|1MLV|2DUR|1CDMG|1ASPD	18DUR|2MLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aASPD
8	12378 44126	 * 	284.77	DCR|2LIT|2VULN|1FLTARM|2DMG	19DUST|2MBVNT|3TLV|49LIT|5aDMG|6FLTARM|79VULN|8RCR|9BPWR
9	42336 34323	 * 	284.47	DCR|2LIT|2MLV|2DMG|1VULN	1TSLARM|29DMG|3LWND|4FEWX|59LIT|6RCR|7VULN|89MLV|9BPWR|aZMB
10	33211 26661	 * 	283.67	DCR|2LIT|3VULN|1MLV|1DMG	1DUR|247VULN|35LIT|6DMG|8RCR|9MLV|aTLV
11	33211 26662	   	283.67	DCR|2LIT|3VULN|1MLV|1DMG	1DUR|247VULN|35LIT|6DMG|8RCR|9MLV|aBEXP
12	33211 26663	   	283.67	DCR|2LIT|3VULN|1MLV|1DMG	1DUR|247VULN|35LIT|6DMG|8RCR|9MLV|aCGEN
13	11243 43312	   	283.05	DCR|3LIT|2VULN|1MLV|1CDMG	18DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|789LIT|8BPWR|aZMB
14	13213 43332	   	282.83	DCR|3LIT|2MLV|2VULN	17aDUST|24VULN|37aLIT|578BEXP|6RCR|7aBPWR|9aMLV
15	11243 43316	   	282.42	DCR|3LIT|2VULN|1MLV|2CDMG	18DUST|2MLV|38VULN|4aCDMG|5CGEN|6RCR|789LIT|8BPWR
16	31243 43316	   	282.42	DCR|3LIT|2VULN|1MLV|2CDMG|2DUR	18DUR|2MLV|38VULN|4aCDMG|5CGEN|6RCR|789LIT|8BPWR
17	31243 43333	   	280.85	DCR|2LIT|3VULN|1MLV|2DUR|1CDMG	18DUR|2MLV|38aVULN|4CDMG|5CGEN|6RCR|78LIT|8BPWR|9ERES
18	12378 44125	   	280.84	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	19DUST|2MBVNT|3TLV|49LIT|5DMG|6FLTARM|79VULN|8RCR|9BPWR|aCDMG
19	12471 25126	 * 	279.02	DCR|2LIT|2VULN|2DMG|1MLV	19DUST|2MBVNT|3MLV|49LIT|5LSRHEA|6aDMG|79VULN|8RCR|9BPWR
20	13213 45432	   	278.78	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DUST|24VULN|3aLIT|5BEXP|6RCR|7MLV|8ASPD|9DMG
21	33213 45432	   	278.78	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DUR|24VULN|3aLIT|5BEXP|6RCR|7MLV|8ASPD|9DMG
22	11243 43324	   	278.78	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	189DUST|2MLV|38VULN|4CDMG|5CGEN|6RCR|78LIT|8BPWR|aDMG
23	15112 56213	   	277.33	DCR|3LIT|2VULN|1DMG|2CDMG	17DUST|27CDMG|39aLIT|4DMG|57VULN|6RCR|7BPWR|8ZMB
24	11243 43333	   	277.21	DCR|2LIT|2MLV|2VULN|1CDMG	18DUST|2aMLV|38VULN|4CDMG|5CGEN|6RCR|78LIT|8BPWR|9BEXP
25	11243 43343	   	277.21	DCR|2LIT|2MLV|2VULN|1CDMG	18DUST|2aMLV|38VULN|4CDMG|5CGEN|6RCR|78LIT|8BPWR|9LHND
26	31243 43343	   	277.21	DCR|2LIT|2MLV|2VULN|2DUR|1CDMG	18DUR|2aMLV|38VULN|4CDMG|5CGEN|6RCR|78LIT|8BPWR|9LHND
27	31243 43363	   	277.21	DCR|2LIT|2MLV|2VULN|2DUR|1CDMG	18DUR|2aMLV|38VULN|4CDMG|5CGEN|6RCR|78LIT|8BPWR|9BEXP
28	11243 43326	   	277.06	DCR|2LIT|2MLV|2VULN|1CDMG	189DUST|2aMLV|38VULN|4CDMG|5CGEN|6RCR|78LIT|8BPWR
29	31243 43323	   	277.06	DCR|2LIT|2MLV|2VULN|2DUR|1CDMG	18DUR|2aMLV|38VULN|4CDMG|5CGEN|6RCR|78LIT|8BPWR|9DUST
