0	Index      	 *	Score 	Summary	Detail	
1	51333 22515	 * 	300.64	DCR|3LIT|3FLTARM|2VULN	179ERES|27aLIT|36DUST|4aVULN|57aFLTARM|7aBPWR|8RCR
2	23225 55333	 * 	297.53	ACR|2LIT|3VULN|2FLTARM|1MLV|1SELL	1aFEWX|25aVULN|39LIT|4RCR|6MLV|7aFLTARM|8SELL|aBPWR
3	33225 55333	 * 	297.53	ACR|2LIT|3VULN|2FLTARM|1MLV|1SELL	1aLWND|25aVULN|39LIT|4RCR|6MLV|7aFLTARM|8SELL|aBPWR
4	41233 42341	 * 	296.86	DCR|3LIT|2FLTARM|1VULN|1MLV	17CGEN|267LIT|3BEXP|4VULN|57FLTARM|7BPWR|8MLV|9RMIN|aRCR
5	41233 42531	   	296.86	DCR|3LIT|2FLTARM|1VULN|1MLV	17CGEN|267LIT|3BEXP|4VULN|57FLTARM|7BPWR|8RMIN|9MLV|aRCR
6	41333 42341	   	296.76	DCR|3LIT|2FLTARM|1VULN|1MLV	17CGEN|267LIT|3DUST|4VULN|57FLTARM|7BPWR|8MLV|9RMIN|aRCR
7	41333 42531	   	296.76	DCR|3LIT|2FLTARM|1VULN|1MLV	17CGEN|267LIT|3DUST|4VULN|57FLTARM|7BPWR|8RMIN|9MLV|aRCR
8	51233 42341	   	296.66	DCR|3LIT|2FLTARM|1VULN|1MLV	17ERES|267LIT|3BEXP|4VULN|57FLTARM|7BPWR|8MLV|9RMIN|aRCR
9	51233 42531	   	296.66	DCR|3LIT|2FLTARM|1VULN|1MLV	17ERES|267LIT|3BEXP|4VULN|57FLTARM|7BPWR|8RMIN|9MLV|aRCR
10	51333 42341	   	296.56	DCR|3LIT|2FLTARM|1VULN|1MLV	17ERES|267LIT|3DUST|4VULN|57FLTARM|7BPWR|8MLV|9RMIN|aRCR
11	51333 42531	   	296.56	DCR|3LIT|2FLTARM|1VULN|1MLV	17ERES|267LIT|3DUST|4VULN|57FLTARM|7BPWR|8RMIN|9MLV|aRCR
12	23225 55233	 * 	293.98	ACR|3LIT|2VULN|1FLTARM|1MLV|2CDMG	1aFEWX|25VULN|39aLIT|4RCR|6MLV|7FLTARM|8aCDMG|aBPWR
13	33225 55233	   	293.98	ACR|3LIT|2VULN|1FLTARM|1MLV|2CDMG	1aLWND|25VULN|39aLIT|4RCR|6MLV|7FLTARM|8aCDMG|aBPWR
14	23331 35541	 * 	293.66	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1FEWX|2aVULN|3DMG|4DUR|5CDMG|6RCR|7MLV|8LIT|9FLTARM
15	33331 35541	   	293.66	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1LWND|2aVULN|3DMG|4DUR|5CDMG|6RCR|7MLV|8LIT|9FLTARM
16	23225 55232	 * 	290.23	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1FEWX|25VULN|39LIT|4RCR|6MLV|7FLTARM|8CDMG|aDMG
17	33225 55232	   	290.23	ACR|2LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1LWND|25VULN|39LIT|4RCR|6MLV|7FLTARM|8CDMG|aDMG
18	23436 32181	 * 	287.47	DCR|2LIT|3VULN|1MLV|1DMG	19FEWX|289VULN|3BEXP|4DMG|5MBVNT|6RCR|79LIT|9BPWR|aMLV
19	23636 32181	   	287.47	DCR|2LIT|3VULN|1MLV|1DMG	19FEWX|289VULN|3LHND|4DMG|5MBVNT|6RCR|79LIT|9BPWR|aMLV
20	33436 32181	   	287.47	DCR|2LIT|3VULN|1MLV|1DMG	19LWND|289VULN|3BEXP|4DMG|5MBVNT|6RCR|79LIT|9BPWR|aMLV
21	23336 32181	   	287.37	DCR|2LIT|3VULN|1MLV|1DMG	19FEWX|289VULN|3DMG|4DUR|5MBVNT|6RCR|79LIT|9BPWR|aMLV
22	33336 32181	   	287.37	DCR|2LIT|3VULN|1MLV|1DMG	19LWND|289VULN|3DMG|4DUR|5MBVNT|6RCR|79LIT|9BPWR|aMLV
23	33636 32181	 * 	282.82	DCR|2LIT|2VULN|2DMG|1MLV	19LWND|28VULN|3LEGI|49DMG|5MBVNT|6RCR|79LIT|9BPWR|aMLV
24	24136 34521	 * 	282.08	DCR|3VULN|1LIT|2DMG|1MLV	17FEWX|2DUR|379VULN|47DMG|5MBVNT|6RCR|7BPWR|8LIT|aMLV
25	23426 32181	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	19FEWX|289VULN|3BEXP|4ASPD|5MBVNT|6RCR|79LIT|9BPWR|aMLV
26	23626 32181	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	19FEWX|289VULN|3LHND|4ASPD|5MBVNT|6RCR|79LIT|9BPWR|aMLV
27	33426 32181	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	19LWND|289VULN|3BEXP|4ASPD|5MBVNT|6RCR|79LIT|9BPWR|aMLV
28	11626 13341	   	277.96	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1SELL	1SELL|2LHND|3LIT|4MLV|5DUR|6aVULN|7RCR|8DMG|9FLTARM
29	23225 55231	   	277.10	ACR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	1FEWX|25VULN|39LIT|4RCR|6MLV|7FLTARM|8CDMG|aZMB
