0	Index      	 *	Score 	Summary	Detail	
1	33366 11135	 * 	303.33	DCR|2LIT|2MLV|3VULN|1ASPD|1SELL	17aVULN|2LWND|3aMLV|4MULARM|5ASPD|6RCR|8SELL|9aLIT|aBPWR
2	33362 11135	 * 	300.14	DCR|2LIT|2MLV|3VULN|1SELL	17aVULN|2LWND|3aMLV|4MULARM|5ZMB|6RCR|8SELL|9aLIT|aBPWR
3	31435 12151	 * 	290.11	DCR|4VULN|1LIT|1MLV|1DMG|1CDMG	1345VULN|2DMG|6MLV|7LIT|8CDMG|9RPLT|aRCR
4	31356 42741	   	290.01	DCR|4VULN|1LIT|1MLV|1DMG|1ASPD	1478VULN|2DMG|3MBVNT|5LIT|6ASPD|9MLV|aRCR
5	31415 12151	 * 	288.53	DCR|3VULN|1LIT|2DMG|1MLV|1CDMG	135VULN|24DMG|6MLV|7LIT|8CDMG|9RPLT|aRCR
6	31354 13736	 * 	284.03	DCR|5VULN|2LIT|1DMG	14589VULN|2DMG|3MBVNT|69ERES|79LIT|9BPWR|aRCR
7	31354 22736	   	284.03	DCR|5VULN|2LIT|1DMG	14569VULN|2DMG|3MBVNT|79LIT|89ERES|9BPWR|aRCR
8	31353 43741	 * 	283.30	DCR|3VULN|1LIT|1MLV|2ASPD|1DMG	148VULN|2DMG|3MBVNT|56ASPD|7LIT|9MLV|aRCR
9	31354 53741	   	283.30	DCR|4VULN|1LIT|1MLV|1DMG	1458VULN|2DMG|3MBVNT|6ZMB|7LIT|9MLV|aRCR
10	31354 53241	   	281.72	DCR|3VULN|1LIT|2DMG|1MLV	145VULN|28DMG|3MBVNT|6ZMB|7LIT|9MLV|aRCR
11	31354 77241	   	281.72	DCR|3VULN|1LIT|2DMG|1MLV	145VULN|28DMG|3MBVNT|6LIT|7ZMB|9MLV|aRCR
12	35154 24283	 * 	280.97	DCR|2LIT|4VULN|1MLV	1456VULN|2MLV|3MBVNT|7FEWX|8aLIT|9RCR
13	31346 38361	   	280.63	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	18VULN|28DMG|3MBVNT|4ZMB|5CDMG|6RCR|78LWND|8BPWR|9MLV|aLIT
14	34124 21321	 * 	280.62	DCR|3LIT|2VULN|1MLV|1DMG	12VULN|345LIT|6VENICY|7RCR|8FEWX|9MLV|aDMG
15	34124 21333	   	280.62	DCR|3LIT|2VULN|1MLV|1DMG	12VULN|345LIT|6VENICY|7RCR|8FEWX|9DMG|aMLV
16	34124 21121	   	280.52	DCR|3LIT|2VULN|1MLV|1DMG	12VULN|345LIT|6VENICY|7RCR|8DUST|9MLV|aDMG
17	34124 21133	   	280.52	DCR|3LIT|2VULN|1MLV|1DMG	12VULN|345LIT|6VENICY|7RCR|8DUST|9DMG|aMLV
18	34124 21621	   	280.52	DCR|3LIT|2VULN|1MLV|1DMG	12VULN|345LIT|6VENICY|7RCR|8DUR|9MLV|aDMG
19	34124 21633	   	280.52	DCR|3LIT|2VULN|1MLV|1DMG	12VULN|345LIT|6VENICY|7RCR|8DUR|9DMG|aMLV
20	31354 22837	   	279.86	DCR|4VULN|1LIT|1MLV|1DMG	1456VULN|2DMG|3MBVNT|7LIT|8RCR|9ERES|aMLV
21	35125 31123	 * 	279.25	DCR|2LIT|2MLV|3VULN	179VULN|27MLV|3MBVNT|4FEWX|5FRZICY|67LIT|7BPWR|8AART|aRCR
22	35183 31123	   	279.25	DCR|2LIT|2MLV|3VULN	179VULN|27MLV|3MBVNT|4CRUSTR|5FEWX|67LIT|7BPWR|8AART|aRCR
23	35165 31123	   	279.10	DCR|2LIT|2MLV|3VULN	179VULN|27MLV|3MBVNT|4DUST|5FRZICY|67LIT|7BPWR|8AART|aRCR
24	35173 31123	   	279.10	DCR|2LIT|2MLV|3VULN	179VULN|27MLV|3MBVNT|4MULARM|5FEWX|67LIT|7BPWR|8AART|aRCR
25	35188 31123	   	279.10	DCR|2LIT|2MLV|3VULN	179VULN|27MLV|3MBVNT|4CRUSTR|5DUST|67LIT|7BPWR|8AART|aRCR
26	35178 31123	   	278.95	DCR|2LIT|2MLV|3VULN	179VULN|27MLV|3MBVNT|4MULARM|5DUST|67LIT|7BPWR|8AART|aRCR
27	31322 87447	 * 	278.80	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD|2ZMB	1VULN|2aDMG|3MBVNT|4FEWX|5MLV|6aLIT|7RCR|8ASPD|9aZMB|aBPWR
28	35154 24282	   	278.16	DCR|4VULN|1LIT|1MLV|1DMG	1456VULN|2MLV|3MBVNT|7FEWX|8LIT|9RCR|aDMG
29	33641 11316	 * 	277.44	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	15VULN|2LWND|38LIT|45LHND|5BPWR|6CDMG|7DMG|9FLTARM|aRCR
30	34121 23116	   	277.34	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	12VULN|34LIT|5DMG|6BEXP|7CDMG|8LHND|9FLTARM|aRCR
31	34121 35116	   	277.34	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	12VULN|34LIT|5DMG|6LWND|7CDMG|8LHND|9FLTARM|aRCR
32	34121 23216	   	277.24	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	12VULN|34LIT|5DMG|6BEXP|7CDMG|8DUR|9FLTARM|aRCR
33	34121 23316	   	277.24	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	12VULN|34LIT|5DMG|6BEXP|7CDMG|8LEGI|9FLTARM|aRCR
34	34121 35216	   	277.24	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	12VULN|34LIT|5DMG|6LWND|7CDMG|8DUR|9FLTARM|aRCR
35	33611 11416	 * 	276.50	DCR|3VULN|1LIT|1FLTARM|1DMG|2DUR|1CDMG	158VULN|2LWND|3LIT|45DUR|5BPWR|6CDMG|7DMG|9FLTARM|aRCR
36	31356 12741	   	276.36	DCR|4VULN|1LIT|1MLV|1DMG	1478VULN|2DMG|3MBVNT|5LIT|6RMIN|9MLV|aRCR
37	31354 13781	   	276.26	DCR|4VULN|1LIT|1MLV|1DMG	1458VULN|2DMG|3MBVNT|6ERES|7LIT|9MLV|aRCR
38	31354 22781	   	276.26	DCR|4VULN|1LIT|1MLV|1DMG	1456VULN|2DMG|3MBVNT|7LIT|8ERES|9MLV|aRCR
39	35534 31331	 * 	276.18	ACR|3LIT|2MLV|2VULN|1DMG	17VULN|27MLV|3RCR|4LHND|5FRZICY|678LIT|7BPWR|9DMSP|aDMG
40	31356 15241	 * 	275.52	DCR|2LIT|2VULN|2DMG|1MLV	14VULN|28DMG|3MBVNT|57LIT|6RMIN|9MLV|aRCR
41	31356 12241	   	274.78	DCR|3VULN|1LIT|2DMG|1MLV	147VULN|28DMG|3MBVNT|5LIT|6RMIN|9MLV|aRCR
42	31432 52441	   	274.78	DCR|3VULN|1LIT|2DMG|1MLV	134VULN|26DMG|5RMIN|7LIT|8MBVNT|9MLV|aRCR
43	31354 13281	   	274.68	DCR|3VULN|1LIT|2DMG|1MLV	145VULN|28DMG|3MBVNT|6ERES|7LIT|9MLV|aRCR
44	31335 31832	 * 	274.63	DCR|2LIT|2VULN|3DMG|1ASPD	17VULN|278DMG|3MBVNT|4LHND|5CANTOX|67LIT|7BPWR|9RCR|aASPD
45	31372 31832	   	274.63	DCR|2LIT|2VULN|3DMG|1ASPD	17VULN|278DMG|3MBVNT|4BLASTR|5LHND|67LIT|7BPWR|9RCR|aASPD
46	31382 31832	   	274.63	DCR|2LIT|2VULN|3DMG|1ASPD	17VULN|278DMG|3MBVNT|4LSRREG|5LHND|67LIT|7BPWR|9RCR|aASPD
47	31338 17116	   	274.45	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	156VULN|2DMG|3MBVNT|4LHND|7ASPD|8RCR|9LIT|aMLV
48	31354 37116	   	274.45	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	145VULN|2DMG|3MBVNT|6LHND|7ASPD|8RCR|9LIT|aMLV
49	35362 11135	   	274.10	DCR|2LIT|3VULN|1MLV|1SELL	17aVULN|2MLV|3aFEWX|4MULARM|5ZMB|6RCR|8SELL|9aLIT|aBPWR
