0	Index      	 *	Score 	Summary	Detail	
1	51632 41331	 * 	290.93	DCR|DCR|3VULN|1TLV|1DUR|1AAC	134VULN|23SPLJET|3BPWR|5AAC|6SPLREG|79RCR|8DUR|aTLV
2	51631 13631	   	277.28	DCR|DCR|3VULN|1TLV	134VULN|23SPLJET|3BPWR|5LWND|69RCR|7ZMB|8LSRHEA|aTLV
3	31143 16321	 * 	276.40	DCR|DCR|2VULN|1DMG|1DUR|1AART	1ERES|2RPLT|3aVULN|4DUR|5AART|6RCVC|78RCR|9DMG
4	31143 66321	   	276.40	DCR|DCR|2VULN|1DMG|1DUR|1AART	1ERES|2RPLT|3aVULN|4DUR|5AART|6DMSP|78RCR|9DMG
5	31143 16361	   	271.95	DCR|DCR|2VULN|1MLV|1DUR|1AART	1ERES|2RPLT|3aVULN|4DUR|5AART|6RCVC|78RCR|9MLV
6	51632 41332	   	271.67	DCR|DCR|3VULN|1DUR|1AAC	134VULN|23SPLJET|3BPWR|5AAC|6SPLREG|79RCR|8DUR|aASPD
7	31133 66361	 * 	270.75	DCR|DCR|2VULN|2AART|1MLV	1ERES|2RPLT|3aVULN|4LHND|56AART|78RCR|9MLV
8	31134 24223	   	266.68	DCR|DCR|3VULN|1MLV	1ERES|2RPLT|357VULN|4LHND|6TBNT|8aRCR|9MLV
9	14341 16331	   	264.93	DCR|DCR|3VULN|1AART	1LHND|2AART|3LIT|48aVULN|5CGEN|67RCR|9ZMB
10	54311 16331	   	264.93	DCR|DCR|3VULN|1AART	18aVULN|2AART|3LIT|4FEWX|5CGEN|67RCR|9ZMB
11	54331 16331	   	264.93	DCR|DCR|3VULN|1AART	18aVULN|2AART|3LIT|4LHND|5CGEN|67RCR|9ZMB
12	14343 16331	   	264.83	DCR|DCR|3VULN|1AART	1LHND|2AART|3LIT|48aVULN|5ERES|67RCR|9ZMB
13	54321 16331	   	264.83	DCR|DCR|3VULN|1AART	18aVULN|2AART|3LIT|4DUST|5CGEN|67RCR|9ZMB
14	54333 16331	   	264.83	DCR|DCR|3VULN|1AART	18aVULN|2AART|3LIT|4LHND|5ERES|67RCR|9ZMB
15	51632 41333	   	264.73	DCR|DCR|3VULN|1DUR|1AAC	134VULN|23SPLJET|3BPWR|5AAC|6SPLREG|79RCR|8DUR|aRCVC
16	54323 16331	   	264.73	DCR|DCR|3VULN|1AART	18aVULN|2AART|3LIT|4DUST|5ERES|67RCR|9ZMB
