0	Index      	 *	Score 	Summary	Detail	
1	13363 64333	 * 	255.94	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1NUKE|2ZMB|3DMSP|4MSLREG|5VULN|6DMG|79RCR|8ASPD|aTLV
2	31641 21214	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RAT|2DUR|3MLV|4DMSP|5DMG|6VULN|7aRCR|8BEXP|9BASHEA
3	31641 21314	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RAT|2DUR|3MLV|4DMSP|5DMG|6VULN|7aRCR|8LWND|9BASHEA
4	31611 21214	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RAT|2DUR|3MLV|4AEWIND|5DMG|6VULN|7aRCR|8BEXP|9BASHEA
5	31611 21314	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RAT|2DUR|3MLV|4AEWIND|5DMG|6VULN|7aRCR|8LWND|9BASHEA
6	31563 21214	 * 	249.00	DCR|DCR|1VULN|2DUR|1DMG	1RAT|23DUR|4VULN|5CGEN|6DMG|7aRCR|8BEXP|9BASHEA
7	31563 21314	   	249.00	DCR|DCR|1VULN|2DUR|1DMG	1RAT|23DUR|4VULN|5CGEN|6DMG|7aRCR|8LWND|9BASHEA
8	31562 21214	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1RAT|23DUR|4VULN|5ERES|6DMG|7aRCR|8BEXP|9BASHEA
9	31562 21314	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1RAT|23DUR|4VULN|5ERES|6DMG|7aRCR|8LWND|9BASHEA
10	41211 44212	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2FEWX|3LIT|4DUST|5VULN|6TLV|7aRCR|8DUR|9RPLT
11	43211 42362	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2DUR|3LIT|4DUST|5VULN|6TLV|7BEXP|8RPLT|9aRCR
12	43211 44112	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2DUR|3LIT|4DUST|5VULN|6TLV|7aRCR|8LWND|9RPLT
13	43211 44312	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2DUR|3LIT|4DUST|5VULN|6TLV|7aRCR|8FEWX|9RPLT
14	62151 26212	 * 	242.59	DCR|DCR|2VULN|1DUR	1BOSS|2DUR|3LHND|49VULN|5AEWIND|6aRCR|7RPLT|8DUST
15	62211 44112	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1BOSS|2DUR|3ERES|4DUST|5VULN|6TLV|7aRCR|8LWND|9RPLT
16	62211 44312	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1BOSS|2DUR|3ERES|4DUST|5VULN|6TLV|7aRCR|8FEWX|9RPLT
17	61211 44212	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1BOSS|2BEXP|3ERES|4DUST|5VULN|6TLV|7aRCR|8DUR|9RPLT
18	52123 13341	   	242.45	DCR|DCR|2VULN|1AART|1SELL	1RPLT|2MDPS|3SELL|48VULN|5RAT|6ZMB|7aRCR|9AART
19	31611 21536	 * 	240.30	DCR|3VULN|2MLV|2DUR|1DMG	18RAT|29DUR|38MLV|4AEWIND|5DMG|68aVULN|7RCR|8BPWR
20	42332 42581	   	239.55	DCR|DCR|1TLV|1DMG|1MLV	1CGEN|2LWND|3ASPD|4DMG|5MBVNT|6TLV|7aRCR|8RCVC|9MLV
21	31241 21214	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DUR|3CGEN|4DMSP|5DMG|6VULN|7aRCR|8BEXP|9BASHEA
22	31241 21314	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DUR|3CGEN|4DMSP|5DMG|6VULN|7aRCR|8LWND|9BASHEA
23	43141 21214	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1CGEN|2DUR|3RAT|4DMSP|5DMG|6VULN|7aRCR|8BEXP|9BASHEA
24	43141 21314	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1CGEN|2DUR|3RAT|4DMSP|5DMG|6VULN|7aRCR|8LWND|9BASHEA
25	31142 21214	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DUR|3DMG|4DMSP|5ERES|6VULN|7aRCR|8BEXP|9BASHEA
26	31142 21314	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DUR|3DMG|4DMSP|5ERES|6VULN|7aRCR|8LWND|9BASHEA
27	31112 21214	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DUR|3DMG|4AEWIND|5ERES|6VULN|7aRCR|8BEXP|9BASHEA
28	31112 21314	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DUR|3DMG|4AEWIND|5ERES|6VULN|7aRCR|8LWND|9BASHEA
29	34112 21614	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2LHND|3DMG|4AEWIND|5ERES|6VULN|7aRCR|8DUR|9BASHEA
30	25223 53153	   	232.42	DCR|DCR|2DUR|1DMG|1MLV|1AAC	1AAC|2AIRARM|3RMIN|46DUR|5DMG|7MLV|8BBNT|9aRCR
31	15223 53153	   	232.32	DCR|DCR|2DUR|1DMG|1MLV|1NUKE	1NUKE|2AIRARM|3RMIN|46DUR|5DMG|7MLV|8BBNT|9aRCR
32	62114 15312	   	232.19	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2DUR|3LHND|4MLV|5VULN|6aRCR|7FEWX|8CGEN|9RPLT
33	41211 14212	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1CGEN|2FEWX|3LIT|4DUST|5VULN|6aRCR|7MLV|8DUR|9RPLT
34	41212 64212	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1CGEN|2FEWX|3LIT|4DUST|5MLV|6VULN|7aRCR|8DUR|9RPLT
35	43211 14112	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1CGEN|2DUR|3LIT|4DUST|5VULN|6aRCR|7MLV|8LWND|9RPLT
36	43211 14312	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1CGEN|2DUR|3LIT|4DUST|5VULN|6aRCR|7MLV|8FEWX|9RPLT
37	43212 64112	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1CGEN|2DUR|3LIT|4DUST|5MLV|6VULN|7aRCR|8LWND|9RPLT
38	43212 64312	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1CGEN|2DUR|3LIT|4DUST|5MLV|6VULN|7aRCR|8FEWX|9RPLT
39	61111 64212	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2BEXP|3LHND|4MLV|5ERES|6VULN|7aRCR|8DUR|9RPLT
40	62111 64112	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2DUR|3LHND|4MLV|5ERES|6VULN|7aRCR|8LWND|9RPLT
41	62111 64312	   	232.09	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2DUR|3LHND|4MLV|5ERES|6VULN|7aRCR|8FEWX|9RPLT
42	61211 14212	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2BEXP|3ERES|4DUST|5VULN|6aRCR|7MLV|8DUR|9RPLT
43	61212 64212	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2BEXP|3ERES|4DUST|5MLV|6VULN|7aRCR|8DUR|9RPLT
44	62111 26212	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2DUR|3LHND|4MLV|5ERES|6aRCR|7RPLT|8DUST|9VULN
45	62211 14112	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2DUR|3ERES|4DUST|5VULN|6aRCR|7MLV|8LWND|9RPLT
46	62211 14312	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2DUR|3ERES|4DUST|5VULN|6aRCR|7MLV|8FEWX|9RPLT
47	62212 64112	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2DUR|3ERES|4DUST|5MLV|6VULN|7aRCR|8LWND|9RPLT
48	62212 64312	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1BOSS|2DUR|3ERES|4DUST|5MLV|6VULN|7aRCR|8FEWX|9RPLT
49	31611 21534	   	231.81	DCR|2VULN|2MLV|2DUR|1DMG|1CDMG	18RAT|29DUR|38MLV|4AEWIND|5DMG|68VULN|7RCR|8BPWR|aCDMG
50	31611 21563	 * 	231.81	DCR|2VULN|2MLV|1TLV|1DMG|1DUR	18RAT|2DUR|38MLV|4AEWIND|5DMG|68VULN|7RCR|8BPWR|9MDPS|aTLV
51	31641 21532	 * 	231.07	DCR|2VULN|3DUR|1DMG|1MLV|1CDMG	18RAT|289DUR|3MLV|4DMSP|5DMG|68VULN|7RCR|8BPWR|aCDMG
52	21336 61621	   	230.76	DCR|DCR|1TLV|1DMG|1DUR|1AAC	1AAC|2CGEN|3DUR|4DMG|5FEWX|68RCR|7RAT|9LWND|aTLV
53	21332 42632	   	230.46	DCR|DCR|1TLV|1DMG|1DUR|1AAC	1AAC|2CGEN|3DUR|4DMG|5MBVNT|6TLV|7aRCR|8BBNT|9TBNT
54	21232 32253	   	230.24	DCR|DCR|1VULN|1AART|1AAC|1CDMG	1AAC|27CGEN|3BOSS|4AART|5LIT|6CDMG|8VULN|9aRCR
55	21232 35253	   	230.24	DCR|DCR|1VULN|1AART|1AAC|1CDMG	1AAC|2CGEN|3BOSS|4AART|5LIT|6CDMG|7RCVC|8VULN|9aRCR
56	21265 33633	   	230.14	DCR|DCR|1VULN|1AART|1AAC|1CDMG	1AAC|2CGEN|3BOSS|4VULN|5AART|6aRCR|7DUST|8CDMG|9LIT
57	13363 64332	   	229.74	DCR|DCR|1VULN|1DMG|1NUKE	1NUKE|2ZMB|3DMSP|4MSLREG|5VULN|6DMG|79RCR|8ASPD|aRMIN
58	13363 64331	   	229.64	DCR|DCR|1VULN|1DMG|1NUKE|1MSE	1NUKE|2ZMB|3DMSP|4MSLREG|5VULN|6DMG|79RCR|8ASPD|aMSE
59	41211 42362	   	229.04	DCR|DCR|1VULN|1TLV	1CGEN|2FEWX|3LIT|4DUST|5VULN|6TLV|7BEXP|8RPLT|9aRCR
60	41211 44112	   	229.04	DCR|DCR|1VULN|1TLV	1CGEN|2FEWX|3LIT|4DUST|5VULN|6TLV|7aRCR|8LWND|9RPLT
61	61211 44112	   	228.94	DCR|DCR|1VULN|1TLV	1BOSS|2BEXP|3ERES|4DUST|5VULN|6TLV|7aRCR|8LWND|9RPLT
62	31611 21553	   	227.84	DCR|3VULN|2MLV|1DMG|1DUR	18RAT|2DUR|38MLV|4AEWIND|5DMG|68aVULN|7RCR|8BPWR|9BELT
