0	Index      	 *	Score 	Summary	Detail	
1	42226 26233	 * 	276.40	DCR|DCR|2VULN|1DMG|1AART|1CDMG	1DMG|2ZMB|3RAT|46VULN|5MDPS|78RCR|9CDMG|aAART
2	22281 57224	 * 	270.85	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|2MBVNT|3TLV|4aVULN|5LWND|6RAT|78RCR|9MLV
3	22282 57224	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|2MBVNT|3TLV|4aVULN|5BEXP|6RAT|78RCR|9MLV
4	22284 37224	   	270.85	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|2MBVNT|3TLV|4aVULN|5RAT|6LHND|78RCR|9MLV
5	22283 57224	   	270.75	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|2MBVNT|3TLV|4aVULN|5LEGI|6RAT|78RCR|9MLV
6	42135 22114	 * 	270.51	DCR|DCR|1FLTARM|1TLV|1DMG|1AART|1CDMG	1DMG|2ZMB|3TLV|4FLTARM|5AART|6FEWX|7aRCR|8MBVNT|9CDMG
7	22411 35271	   	269.69	DCR|DCR|2VULN|1DMG|1CDMG	1CGEN|2MBVNT|34VULN|5CDMG|6RCVC|7aRCR|8DMG|9ASPD
8	22411 45271	   	269.59	DCR|DCR|2VULN|1DMG|1CDMG	1CGEN|2MBVNT|34VULN|5CDMG|6AEFBLL|7aRCR|8DMG|9ASPD
9	22284 37253	   	268.89	DCR|DCR|2VULN|1TLV|1AAC	1CGEN|2MBVNT|3TLV|49VULN|5RAT|6LHND|78RCR|aAAC
10	22474 37245	 * 	266.98	DCR|DCR|3VULN|1MLV	19CGEN|2MBVNT|39aVULN|4MLV|5RAT|69LHND|78RCR|9BPWR
11	22284 37245	 * 	265.58	DCR|DCR|2VULN|2TLV	1CGEN|2MBVNT|39TLV|4aVULN|5RAT|6LHND|78RCR
12	42221 36243	   	262.85	DCR|DCR|2VULN|1DMG|1AAC	1DMG|2ZMB|3RAT|49VULN|5BEXP|6LHND|78RCR|aAAC
13	42226 26231	   	262.75	DCR|DCR|2VULN|1DMG|1CDMG	1DMG|2aZMB|3RAT|46VULN|5MDPS|78RCR|9CDMG
14	42226 26232	   	262.75	DCR|DCR|2VULN|1DMG|1CDMG	1DMG|2ZMB|3RAT|46VULN|5MDPS|78RCR|9CDMG|aLHND
15	42123 12332	 * 	261.90	DCR|DCR|2DMG|1TLV|1AART|1AAC	15DMG|2ZMB|3TLV|4CGEN|69RCR|7AART|8CANSTR|aAAC
16	45523 12332	   	261.90	DCR|DCR|2DMG|1TLV|1AART|1AAC	15DMG|2TLV|3ZMB|4CGEN|69RCR|7AART|8CANSTR|aAAC
17	42211 46233	   	259.92	DCR|DCR|1TLV|1DMG|1MLV|1AART|1CDMG	1DMG|2ZMB|3RAT|4TLV|5MLV|6MDPS|78RCR|9CDMG|aAART
