0	Index      	 *	Score 	Summary	Detail	
1	33336 46331	 * 	270.75	DCR|DCR|2VULN|1TLV|1MLV	14CGEN|2ERES|36VULN|5MDPS|78RCR|9TLV|aMLV
2	33336 46333	   	266.15	DCR|DCR|2VULN|1TLV|1NUKE	14CGEN|2ERES|36VULN|5MDPS|78RCR|9TLV|aNUKE
3	33211 35356	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9VULN|aCDMG
4	23211 35356	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1AME|2ERES|3BEXP|4TLV|5LHND|68RCR|7MLV|9VULN|aCDMG
5	33211 35353	 * 	256.94	DCR|DCR|1VULN|2MLV|1TLV	1CGEN|2ERES|3BEXP|4TLV|5LHND|68RCR|7aMLV|9VULN
6	33613 35353	   	256.94	DCR|DCR|1VULN|2MLV|1TLV	1CGEN|2ERES|3LHND|4TLV|5BEXP|68RCR|7aMLV|9VULN
7	35313 35353	   	256.94	DCR|DCR|1VULN|2MLV|1TLV	1CGEN|2LHND|3ERES|4TLV|5BEXP|68RCR|7aMLV|9VULN
8	33336 46332	   	255.14	DCR|DCR|2VULN|1TLV	14CGEN|2ERES|36VULN|5MDPS|78RCR|9TLV|aLWND
9	33211 35334	 * 	254.98	DCR|DCR|2TLV|1VULN|1MLV	1CGEN|2ERES|3BEXP|49TLV|5LHND|68RCR|7MLV|aVULN
10	33613 35334	   	254.98	DCR|DCR|2TLV|1VULN|1MLV	1CGEN|2ERES|3LHND|49TLV|5BEXP|68RCR|7MLV|aVULN
11	35313 35334	   	254.98	DCR|DCR|2TLV|1VULN|1MLV	1CGEN|2LHND|3ERES|49TLV|5BEXP|68RCR|7MLV|aVULN
12	23211 35353	   	254.88	DCR|DCR|2TLV|1VULN|1MLV	1AME|2ERES|3BEXP|4aTLV|5LHND|68RCR|7MLV|9VULN
