0	Index      	 *	Score 	Summary	Detail	
1	45522 32321	 * 	270.29	DCR|3VULN|3DMG|3MLV|1DUR	19aVULN|269DMG|3DUR|4AME|569MLV|69BPWR|7RCR|8RMIN
2	22221 55512	 * 	264.49	DCR|DCR|3VULN|1AART|1SELL	1SELL|25aVULN|3LEGI|4AART|6ERES|78RCR|9RPLT
3	22221 55533	 * 	264.39	DCR|DCR|3VULN|1AART|1SELL	1SELL|25aVULN|3LEGI|4AART|6ERES|78RCR|9MDPS
4	45522 32323	   	261.80	DCR|2VULN|3DMG|3MLV|1DUR|1AART	19VULN|269DMG|3DUR|4AME|569MLV|69BPWR|7RCR|8RMIN|aAART
5	45522 32322	   	259.15	DCR|2VULN|3DMG|3MLV|1DUR|1NUKE	19VULN|269DMG|3DUR|4AME|569MLV|69BPWR|7RCR|8RMIN|aNUKE
6	32413 61211	 * 	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1AEFBLL|2CDMG|3TBNT|4DUR|5VULN|6DUST|7BELT|8aRCR|9TLV
7	42433 54343	 * 	255.14	DCR|DCR|2VULN|1TLV|1AAC	14VULN|2TBNT|3BOSS|5AAC|6MBVNT|7TLV|8LWND|9aRCR
8	43433 54343	   	255.14	DCR|DCR|2VULN|1TLV|1AAC	14VULN|2BBNT|3BOSS|5AAC|6MBVNT|7TLV|8LWND|9aRCR
9	21236 61211	 * 	254.80	DCR|DCR|1VULN|2DUR|1TLV|1SELL	1SELL|2BBNT|3VULN|45DUR|6DUST|7BELT|8aRCR|9TLV
10	22136 61211	 * 	254.80	DCR|DCR|1VULN|2DUR|1TLV|1SELL	1SELL|2VULN|3TBNT|45DUR|6DUST|7BELT|8aRCR|9TLV
11	22636 61211	 * 	254.80	DCR|DCR|1VULN|2DUR|1TLV|1SELL	1SELL|2VULN|3BBNT|45DUR|6DUST|7BELT|8aRCR|9TLV
12	22313 36344	   	251.88	DCR|DCR|1VULN|1TLV|1MSLTOX|1SELL	1SELL|2VULN|3AME|4RPLT|5ASPD|6MSLTOX|7MBVNT|89RCR|aTLV
13	44512 22332	 * 	249.21	DCR|3VULN|2TLV|2MSLTOX|1MLV	189VULN|25FEWX|39TLV|49MSLTOX|6LEGI|7RCR|9BPWR|aMLV
14	24631 31453	 * 	248.66	DCR|DCR|1VULN|1FLTARM|1DMG|1SELL	1SELL|2FEWX|3VULN|4MBVNT|5BBNT|6ERES|7FLTARM|8aRCR|9DMG
15	44511 22331	 * 	246.34	DCR|3VULN|3DUR|1TLV|1MSLTOX	189VULN|29FEWX|3TLV|4MSLTOX|569DUR|7RCR|9BPWR|aLWND
16	44511 22333	   	246.34	DCR|3VULN|3DUR|1TLV|1MSLTOX	189VULN|29FEWX|3TLV|4MSLTOX|569DUR|7RCR|9BPWR|aCGEN
17	44511 22332	   	246.24	DCR|3VULN|3DUR|1TLV|1MSLTOX	189VULN|29FEWX|3TLV|4MSLTOX|569DUR|7RCR|9BPWR|aTBNT
18	45335 22222	 * 	245.74	DCR|3VULN|3DMG|2DUR	19aVULN|259DMG|3RMIN|45DUR|59BPWR|6ERES|7RCR|89CGEN
19	45332 32224	   	245.63	DCR|3VULN|2DMG|2MLV|1DUR	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89CGEN|aRAT
20	45332 32226	   	245.63	DCR|3VULN|2DMG|2MLV|1DUR	169VULN|29DMG|3RMIN|4DUR|56MLV|69BPWR|7RCR|89CGEN|aBEXP
