0	Index      	 *	Score 	Summary	Detail	
1	33164 31331	 * 	291.44	DCR|DCR|2VULN|1TLV|1MLV|1DUR	1TLV|2ASPD|39VULN|4BOSS|5TBNT|6aRCR|7MLV|8DUR
2	34421 33533	 * 	291.34	DCR|DCR|3TLV|2DMG|2DUR|1CDMG	149TLV|2CDMG|3RCVC|59DUR|69DMG|7MDPS|8aRCR|9BPWR
3	12316 43361	 * 	290.81	DCR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1MLV|26DUR|3DMG|4VULN|5BBNT|7aRCR|8BOSS|9TLV
4	12343 53361	   	290.81	DCR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1MLV|24DUR|3DMG|5VULN|6BBNT|7aRCR|8BOSS|9TLV
5	32316 43351	   	290.81	DCR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1TLV|26DUR|3DMG|4VULN|5BBNT|7aRCR|8BOSS|9MLV
6	32343 53351	   	290.81	DCR|DCR|1VULN|2DUR|1TLV|1DMG|1MLV	1TLV|24DUR|3DMG|5VULN|6BBNT|7aRCR|8BOSS|9MLV
7	16515 32321	 * 	288.80	DCR|DCR|2DMG|2MLV|2DUR|1TLV	19MLV|2LIT|3BBNT|49DMG|5LHND|6aRCR|7TLV|89DUR|9BPWR
8	12312 53361	   	278.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1MLV|2DUR|3DMG|4VULN|5RCVC|6BBNT|7aRCR|8BOSS|9TLV
9	12313 53361	   	278.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1MLV|2DUR|3DMG|4VULN|5DMSP|6BBNT|7aRCR|8BOSS|9TLV
10	32312 53351	   	278.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1TLV|2DUR|3DMG|4VULN|5RCVC|6BBNT|7aRCR|8BOSS|9MLV
11	32313 53351	   	278.36	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1TLV|2DUR|3DMG|4VULN|5DMSP|6BBNT|7aRCR|8BOSS|9MLV
12	12316 33361	   	278.26	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1MLV|2DUR|3DMG|4VULN|5BBNT|6AEPOI|7aRCR|8BOSS|9TLV
13	32316 33351	   	278.26	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR	1TLV|2DUR|3DMG|4VULN|5BBNT|6AEPOI|7aRCR|8BOSS|9MLV
14	33164 31431	   	277.69	DCR|DCR|2VULN|1TLV|1MLV	1TLV|2ASPD|39VULN|4BOSS|5TBNT|6aRCR|7MLV|8LEGI
15	33164 31531	   	277.69	DCR|DCR|2VULN|1TLV|1MLV	1TLV|2ASPD|39VULN|4BOSS|5TBNT|6aRCR|7MLV|8DUST
16	33164 31341	 * 	277.53	DCR|DCR|1VULN|2MLV|1TLV|1DUR	1TLV|2ASPD|3VULN|4BOSS|5TBNT|6aRCR|79MLV|8DUR
17	11353 53361	 * 	277.00	DCR|DCR|1VULN|2MLV|1TLV|1DMG	14MLV|2FEWX|3DMG|5VULN|6BBNT|7aRCR|8BOSS|9TLV
18	15331 53361	   	277.00	DCR|DCR|1VULN|2MLV|1TLV|1DMG	12MLV|3VULN|4DMG|5LHND|6BBNT|7aRCR|8BOSS|9TLV
19	33164 32331	   	275.73	DCR|DCR|2VULN|1TLV|1DUR	1TLV|2ASPD|39VULN|4BOSS|5TBNT|6aRCR|7AME|8DUR
20	61432 33361	   	275.21	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1BBNT|23DUR|4RMIN|5DMG|6VULN|7aRCR|8BOSS|9TLV
21	32354 13423	 * 	273.61	DCR|DCR|2TLV|2DUR|1DMG|2CDMG	19TLV|29DUR|3DMG|4TBNT|56LHND|7aRCR|89CDMG|9BPWR
22	12355 32342	   	273.57	DCR|DCR|1TLV|1DMG|1MLV|1DUR|1AART|1AAC	1MLV|2DUR|3DMG|4TBNT|5BOSS|69RCR|7TLV|8AART|aAAC
23	32355 31342	   	273.57	DCR|DCR|1TLV|1DMG|1MLV|1DUR|1AART|1AAC	1TLV|2DUR|3DMG|4TBNT|5BOSS|69RCR|7MLV|8AART|aAAC
24	12355 32341	   	272.21	DCR|DCR|2MLV|1TLV|1DMG|1DUR|1AART	1aMLV|2DUR|3DMG|4TBNT|5BOSS|69RCR|7TLV|8AART
