0	Index      	 *	Score 	Summary	Detail	
1	53315 23211	 * 	301.13	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1LIT|2DUR|3VULN|4CDMG|5RMIN|6AAC|7aRCR|8MLV|9DMG
2	21642 21211	 * 	298.63	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2BEXP|3MDPS|4aVULN|5DLOT|69RCR|7RAT|8TLV
3	22642 21211	   	298.63	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2DUST|3MDPS|4aVULN|5DLOT|69RCR|7RAT|8TLV
4	33111 33115	 * 	285.60	DCR|DCR|3VULN|1AAC	1AEWIND|2RAT|358VULN|4DMSP|6AAC|7aRCR|9BEXP
5	33111 33145	   	285.60	DCR|DCR|3VULN|1AAC	19AEWIND|2RAT|358VULN|4DMSP|6AAC|7aRCR
6	33111 33165	   	285.60	DCR|DCR|3VULN|1AAC	1AEWIND|2RAT|358VULN|4DMSP|6AAC|7aRCR|9DUST
7	33151 33115	   	285.50	DCR|DCR|3VULN|1AAC	1AEWIND|2RAT|358VULN|4AEBURN|6AAC|7aRCR|9BEXP
8	33151 33145	   	285.50	DCR|DCR|3VULN|1AAC	19AEWIND|2RAT|358VULN|4AEBURN|6AAC|7aRCR
9	33151 33165	   	285.50	DCR|DCR|3VULN|1AAC	1AEWIND|2RAT|358VULN|4AEBURN|6AAC|7aRCR|9DUST
10	26426 23233	   	279.09	DCR|DCR|1VULN|1DMG|1AAC|2AART|1CDMG	1DMG|2CDMG|3LIT|45AART|6AAC|7LWND|89RCR|aVULN
11	26425 23233	   	278.85	DCR|DCR|1VULN|1DMG|2CDMG|1AAC	1DMG|25CDMG|3LIT|4AART|6AAC|7LWND|89RCR|aVULN
12	43613 31211	   	275.72	DCR|DCR|3VULN|2RAT	1RPLT|27RAT|3RMIN|47aVULN|57FEWX|69RCR|7BPWR|8RCVC
13	43611 31211	   	275.52	DCR|DCR|3VULN|2RAT	1RPLT|27RAT|3RMIN|47aVULN|57BEXP|69RCR|7BPWR|8RCVC
14	21515 22623	 * 	274.78	DCR|DCR|2DMG|1MLV|2RAT|1CDMG	14DMG|2BEXP|39RAT|5MLV|6DLOT|7CDMG|8aRCR
15	22515 22623	   	274.78	DCR|DCR|2DMG|1MLV|2RAT|1CDMG	14DMG|2DUST|39RAT|5MLV|6DLOT|7CDMG|8aRCR
16	26136 35231	 * 	273.14	DCR|DCR|2DMG|1VULN|1CDMG	13DMG|2CDMG|4DUST|5LIT|6DUR|7aRCR|8ZMB|9VULN
17	53315 23611	   	272.54	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1LIT|2DUR|3VULN|4CDMG|5RMIN|6AAC|7aRCR|8CGEN|9DMG
18	53315 23111	   	272.44	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1LIT|2DUR|3VULN|4CDMG|5RMIN|6AAC|7aRCR|8ERES|9DMG
19	21642 21212	   	272.42	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2BEXP|3MDPS|4VULN|5DLOT|69RCR|7RAT|8TLV|aTBNT
20	21642 21213	   	272.42	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2BEXP|3MDPS|4VULN|5DLOT|69RCR|7RAT|8TLV|aLHND
21	21642 21214	   	272.42	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2BEXP|3MDPS|4VULN|5DLOT|69RCR|7RAT|8TLV|aRMIN
22	21642 21215	   	272.42	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2BEXP|3MDPS|4VULN|5DLOT|69RCR|7RAT|8TLV|aLIT
23	22642 21212	   	272.42	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3MDPS|4VULN|5DLOT|69RCR|7RAT|8TLV|aTBNT
24	22642 21213	   	272.42	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3MDPS|4VULN|5DLOT|69RCR|7RAT|8TLV|aLHND
25	22642 21214	   	272.42	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3MDPS|4VULN|5DLOT|69RCR|7RAT|8TLV|aRMIN
26	22642 21215	   	272.42	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3MDPS|4VULN|5DLOT|69RCR|7RAT|8TLV|aLIT
