0	Index      	 *	Score 	Summary	Detail	
1	13324 43537	 * 	310.17	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1ERES|2CDMG|3aVULN|4CGEN|5MBVNT|69RCR|7TLV|8DMG
2	13324 43437	   	306.36	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1ERES|2CDMG|3aVULN|4CGEN|5MBVNT|69RCR|7TLV|8ASPD
3	41324 43437	   	306.36	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1CDMG|2AEFRZ|3aVULN|4LHND|5MBVNT|69RCR|7TLV|8ASPD
4	43312 36336	 * 	297.27	DCR|2MLV|2TLV|2DMG|1VULN|3CDMG	147CDMG|27DMG|3VULN|58TLV|67MLV|7BPWR|9DUR|aRCR
5	13124 43537	   	290.40	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2CDMG|3DUR|4CGEN|5MBVNT|69RCR|7TLV|8DMG|aVULN
6	44262 21321	   	290.21	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|29VULN|3LHND|4ZMB|5BEXP|67RCR|8RPLT|aTLV
7	43311 53531	 * 	289.65	DCR|DCR|1VULN|1MLV|1DMG|2CDMG	14CDMG|2DMG|3VULN|5LHND|6RAT|7MLV|8LIT|9aRCR
8	43312 36216	   	289.64	DCR|2MLV|2DMG|1VULN|1TLV|3CDMG|2DUR	147CDMG|27DMG|3VULN|5TLV|67MLV|7BPWR|89DUR|aRCR
9	43312 36326	   	288.86	DCR|2MLV|2TLV|2DMG|1VULN|3CDMG	147CDMG|27DMG|3VULN|58TLV|67MLV|7BPWR|9DUST|aRCR
10	31211 73717	 * 	288.63	DCR|DCR|2MLV|1VULN|1CDMG	1LHND|2DUST|36MLV|4DUR|5MBVNT|7CDMG|8aRCR|9VULN
11	44251 11221	   	286.74	DCR|DCR|2MLV|1VULN|2CDMG	15CDMG|2VULN|3LHND|48MLV|6CGEN|7aRCR|9AEPOI
12	13124 43437	   	286.58	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1ERES|2CDMG|3DUR|4CGEN|5MBVNT|69RCR|7TLV|8ASPD|aVULN
13	45324 43434	   	284.69	DCR|DCR|1VULN|1TLV|2CDMG|1ASPD	12CDMG|3VULN|4aLHND|5MBVNT|69RCR|7TLV|8ASPD
14	45324 43431	   	284.59	DCR|DCR|1VULN|1TLV|2CDMG|1ASPD|1MSE	12CDMG|3VULN|4LHND|5MBVNT|69RCR|7TLV|8ASPD|aMSE
15	45324 43432	   	284.59	DCR|DCR|1VULN|1TLV|2CDMG|1ASPD	12CDMG|3VULN|4LHND|5MBVNT|69RCR|7TLV|8ASPD|aDUST
16	45324 43433	   	284.59	DCR|DCR|1VULN|1TLV|2CDMG|1ASPD	12CDMG|3VULN|4LHND|5MBVNT|69RCR|7TLV|8ASPD|aERES
17	21345 12522	 * 	284.06	DCR|3VULN|1TLV|1DMG|2CDMG|1AAC|2DUR	1RPLT|28DUR|3TLV|48CDMG|58aVULN|6AAC|7RCR|8BPWR|9DMG
18	43312 36236	   	282.99	DCR|2MLV|2DMG|1VULN|1TLV|3CDMG	147CDMG|27DMG|3VULN|5TLV|67MLV|7BPWR|8DUR|9AEBURN|aRCR
19	43324 43734	   	282.19	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CDMG|2DMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8AME|aLHND
20	43324 43731	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1MSE	1CDMG|2DMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8AME|aMSE
21	43324 43732	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CDMG|2DMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8AME|aDUST
22	43324 43733	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CDMG|2DMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8AME|aERES
23	13324 43534	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2CDMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8DMG|aRPLT
24	13324 43538	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2CDMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8DMG|aFEWX
25	41324 43534	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CDMG|2AEFRZ|3VULN|4aLHND|5MBVNT|69RCR|7TLV|8DMG
26	13324 43531	   	281.99	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1MSE	1ERES|2CDMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8DMG|aMSE
27	13324 43532	   	281.99	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2CDMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8DMG|aDUST
28	13324 43533	   	281.99	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1aERES|2CDMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8DMG
29	13324 43536	   	281.99	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ERES|2CDMG|3VULN|4CGEN|5MBVNT|69RCR|7TLV|8DMG|aAEBURN
30	41324 43531	   	281.99	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1MSE	1CDMG|2AEFRZ|3VULN|4LHND|5MBVNT|69RCR|7TLV|8DMG|aMSE
31	41324 43532	   	281.99	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CDMG|2AEFRZ|3VULN|4LHND|5MBVNT|69RCR|7TLV|8DMG|aDUST
32	41324 43533	   	281.99	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1CDMG|2AEFRZ|3VULN|4LHND|5MBVNT|69RCR|7TLV|8DMG|aERES
33	22245 42332	 * 	281.57	ACR|DCR|3VULN|2MLV	1RPLT|28aVULN|3aFEWX|4RMIN|57RCR|6aMLV|9BBNT|aBPWR
34	22651 42332	   	281.57	ACR|DCR|3VULN|2MLV	1RPLT|28aVULN|3RMIN|47RCR|5aFEWX|6aMLV|9BBNT|aBPWR
35	35133 52361	   	280.72	DCR|DCR|1VULN|1TLV|1AAC	1LHND|2DUR|3RAT|4TBNT|5AAC|6RMIN|7VULN|89RCR|aTLV
36	42263 36321	   	280.42	DCR|DCR|2MLV|1VULN|1CDMG	1CDMG|2RPLT|3aMLV|4LIT|5BEXP|69RCR|7RMIN|8VULN
37	51242 35331	 * 	280.28	DCR|3VULN|2DMG|1TLV|1AAC|2RAT	1BBNT|2aDMG|38aVULN|4AEPOI|5TLV|6aRAT|7RCR|9AAC|aBPWR
