0	Index      	 *	Score 	Summary	Detail	
1	44116 11251	 * 	315.26	DCR|DCR|2VULN|2DMG|2ASPD	1MBVNT|2RMIN|39ASPD|49DMG|5RAT|6AEWIND|7aRCR|89VULN|9BPWR
2	41614 28112	 * 	306.08	DCR|2VULN|2MLV|1TLV|2ASPD|1DMG|1AAC	1MBVNT|26ASPD|3TLV|4DMG|56VULN|6BPWR|7aMLV|8AAC|9RCR
3	44116 31251	   	304.38	DCR|DCR|2VULN|2ASPD|1DMG|2RAT	1MBVNT|26RMIN|39ASPD|4DMG|59RAT|7aRCR|89VULN|9BPWR
4	44116 41251	   	304.38	DCR|DCR|2VULN|2ASPD|1DMG|2RAT	1MBVNT|2RMIN|39ASPD|4DMG|59RAT|6RCVC|7aRCR|89VULN|9BPWR
5	41614 22812	 * 	293.82	DCR|3VULN|1TLV|2ASPD|1MLV|1DMG	1MBVNT|26ASPD|3TLV|4DMG|567VULN|6BPWR|8DUR|9RCR|aMLV
6	41614 23812	 * 	289.27	DCR|2VULN|2DMG|1TLV|2ASPD|1MLV	1MBVNT|26ASPD|3TLV|47DMG|56VULN|6BPWR|8DUR|9RCR|aMLV
7	42713 22344	   	289.18	DCR|2VULN|2MLV|1TLV|2ASPD|1DMG	1MBVNT|2TBNT|39ASPD|49MLV|5ERES|6TLV|79VULN|8RCR|9BPWR|aDMG
8	41614 28113	   	287.21	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG|1AAC	1MBVNT|26ASPD|3TLV|4DMG|56VULN|6BPWR|7MLV|8AAC|9RCR|aRAT
9	41634 28112	   	286.01	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	1MBVNT|26ASPD|3TLV|4ZMB|56VULN|6BPWR|7aMLV|8AAC|9RCR
10	33144 33332	 * 	286.00	DCR|DCR|2VULN|2TLV	1MDPS|2aERES|3ZMB|4RMIN|5aTLV|6TBNT|78RCR|9aVULN|aBPWR
11	33144 63332	   	286.00	DCR|DCR|2VULN|2TLV	1MDPS|2aERES|3ZMB|4RMIN|5aTLV|6BBNT|78RCR|9aVULN|aBPWR
12	41614 22261	   	285.51	DCR|3VULN|1TLV|2ASPD|1MLV|1DMG	1MBVNT|26ASPD|3TLV|4DMG|567VULN|6BPWR|8LHND|9MLV|aRCR
13	41614 22212	   	285.51	DCR|3VULN|1TLV|2ASPD|1MLV|1DMG	1MBVNT|26ASPD|3TLV|4DMG|567VULN|6BPWR|8LHND|9RCR|aMLV
14	41614 22412	   	285.51	DCR|3VULN|1TLV|2ASPD|1MLV|1DMG	1MBVNT|26ASPD|3TLV|4DMG|567VULN|6BPWR|8FEWX|9RCR|aMLV
15	41614 22312	   	285.41	DCR|3VULN|1TLV|2ASPD|1MLV|1DMG	1MBVNT|26ASPD|3TLV|4DMG|567VULN|6BPWR|8DUST|9RCR|aMLV
16	41614 22361	   	285.41	DCR|3VULN|1TLV|2ASPD|1MLV|1DMG	1MBVNT|26ASPD|3TLV|4DMG|567VULN|6BPWR|8DUST|9MLV|aRCR
17	41614 28211	   	285.41	DCR|3VULN|1TLV|2ASPD|1MLV|1DMG	1MBVNT|26ASPD|3TLV|4DMG|568VULN|6BPWR|7MLV|9BEXP|aRCR
