0	Index      	 *	Score 	Summary	Detail	
1	11521 67113	 * 	272.11	DCR|2MLV|2TLV|2DMG|1VULN	1DUST|2aTLV|3ERES|4DUR|5aMLV|6MBVNT|7VULN|8aDMG|9RCR|aBPWR
2	13121 33136	 * 	268.51	DCR|2VULN|2MLV|2TLV|1ASPD	1DUST|25MLV|3AETHUN|4ASPD|67VULN|89TLV|aRCR
3	53331 63132	   	267.18	DCR|2MLV|1VULN|1TLV|1AAC|1ASPD|1CDMG	1LWND|29MLV|3AAC|4CDMG|5AART|6VULN|7ASPD|8TLV|aRCR
4	13324 35621	 * 	260.83	DCR|3MLV|1VULN|1TLV|1AAC	18DUST|258MLV|3AAC|4DUR|6VULN|78LHND|8BPWR|9RCR|aTLV
5	13315 36321	   	260.73	DCR|3MLV|1VULN|1TLV|1AAC	14DUST|247MLV|3AAC|4BPWR|5DUR|6VULN|8FEWX|9RCR|aTLV
6	13324 36321	   	260.73	DCR|3MLV|1VULN|1TLV|1AAC	1DUST|257MLV|3AAC|4DUR|6VULN|8FEWX|9RCR|aTLV
7	13315 33252	 * 	260.37	DCR|3VULN|2MLV|1AAC	14DUST|24MLV|3AAC|4BPWR|5DUR|679VULN|8RAT|aRCR
8	13324 33252	   	260.37	DCR|3VULN|2MLV|1AAC	1DUST|25MLV|3AAC|4DUR|679VULN|8RAT|aRCR
9	23231 16652	 * 	260.28	DCR|DCR|1VULN|1TLV|2DUR	1CGEN|2BASARM|35DUR|4TLV|6ERES|7DLOT|8aRCR|9VULN
10	13224 36321	   	260.08	DCR|3MLV|1VULN|1TLV|1ASPD	1DUST|257MLV|3DUR|4ASPD|6VULN|8FEWX|9RCR|aTLV
11	13224 33252	   	259.73	DCR|3VULN|2MLV|1ASPD	1DUST|25MLV|3DUR|4ASPD|679VULN|8RAT|aRCR
12	11221 24453	 * 	258.27	DCR|2VULN|1TLV|2ASPD|1MLV|2DUR	1DUST|2TLV|3aDUR|4aASPD|5MLV|6aVULN|7FEWX|8CGEN|9RCR|aBPWR
13	11321 24152	 * 	257.64	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|6aVULN|7FEWX|8DMG|9RCR
14	11321 26361	   	257.64	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|67VULN|8DMG|9RCR|aBBNT
15	11321 26364	   	257.64	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|67VULN|8DMG|9RCR|aRPLT
16	11321 26366	   	257.64	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1DUST|2TLV|3AAC|4DUR|5MLV|67VULN|8DMG|9RCR|aLWND
