0	Index      	 *	Score 	Summary	Detail	
1	43623 32513	 * 	281.93	DCR|DCR|2VULN|1DMG|1RPLT	1BEXP|2RPLT|34VULN|5LHND|6LIT|7DUR|8aRCR|9DMG
2	46232 22354	 * 	270.90	DCR|DCR|3DMG|1VULN	1BEXP|289DMG|3MBVNT|4VULN|5AAC|6aRCR|7TLV
3	54232 22354	   	270.90	DCR|DCR|3DMG|1VULN	189DMG|2BEXP|3MBVNT|4VULN|5AAC|6aRCR|7TLV
4	26232 22354	   	270.80	DCR|DCR|3DMG|1VULN	1DUST|289DMG|3MBVNT|4VULN|5AAC|6aRCR|7TLV
5	26232 27354	   	270.80	DCR|DCR|3DMG|1VULN	1DUST|289DMG|3MBVNT|4VULN|5AAC|6aRCR|7CGEN
6	12234 22513	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1ERES|2FEWX|3RPLT|4LIT|5LWND|6VULN|7MLV|8aRCR|9DMG
7	26274 62311	   	264.80	DCR|DCR|2DMG|1VULN|1RPLT	1DUST|26DMG|3MBVNT|4TBNT|5RPLT|79RCR|8VULN|aLIT
8	26274 62313	   	264.80	DCR|DCR|2DMG|1VULN|1RPLT	1DUST|26DMG|3MBVNT|4TBNT|5RPLT|79RCR|8VULN|aFEWX
9	26274 62312	   	264.70	DCR|DCR|2DMG|1VULN|1RPLT|1MSE	1DUST|26DMG|3MBVNT|4TBNT|5RPLT|79RCR|8VULN|aMSE
10	26274 62314	   	264.70	DCR|DCR|2DMG|1VULN|1RPLT	1aDUST|26DMG|3MBVNT|4TBNT|5RPLT|79RCR|8VULN
11	26225 23243	   	263.66	DCR|DCR|2VULN|1DMG	1DUST|2DMG|3MBVNT|4FEWX|58VULN|6BEXP|7AME|9aRCR
12	15232 36843	   	260.98	DCR|DCR|2VULN|1MLV|1ZMB	1ERES|2LHND|3MBVNT|47VULN|5ZMB|6MLV|8aRCR|9CGEN
13	41232 36813	   	260.98	DCR|DCR|2VULN|1MLV|1ZMB	1BEXP|2CGEN|3MBVNT|47VULN|5ZMB|6MLV|8aRCR|9ERES
14	41235 12823	   	257.45	DCR|DCR|2VULN|1ASPD	1BEXP|2CGEN|3MBVNT|45VULN|67LHND|8aRCR|9ASPD
15	41235 21823	   	257.45	DCR|DCR|2VULN|1ASPD	16BEXP|2CGEN|3MBVNT|45VULN|7FEWX|8aRCR|9ASPD
16	41235 34823	   	257.45	DCR|DCR|2VULN|1ASPD	17BEXP|2CGEN|3MBVNT|45VULN|6FEWX|8aRCR|9ASPD
17	43613 32513	   	255.72	DCR|DCR|1VULN|1DMG|1RPLT	15BEXP|2RPLT|3VULN|4LWND|6LIT|7DUR|8aRCR|9DMG
18	46218 11223	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2DMG|3MBVNT|4MDPS|5VULN|6MLV|7aRCR|8DMSP|9FEWX
19	46233 11223	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2DMG|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|8DMSP|9FEWX
20	46233 11643	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2DMG|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|8FEWX|9RCVC
21	46233 11723	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	18BEXP|2DMG|3MBVNT|4VULN|5MDPS|6MLV|7aRCR|9FEWX
