0	Index      	 *	Score 	Summary	Detail	
1	25226 21522	 * 	266.04	DCR|DCR|3VULN	16FEWX|2LIT|3AELOIC|456VULN|6BPWR|7BBNT|8CGEN|9aRCR
2	23117 41272	   	257.25	DCR|DCR|2VULN|1ASPD	1FEWX|2AME|3MBVNT|4aVULN|5ASPD|69RCR|7LHND|8BLASTR
3	23117 43784	   	257.25	DCR|DCR|2VULN|1ASPD	1FEWX|2AME|3MBVNT|48VULN|5ASPD|6aRCR|7TBNT|9ERES
4	23148 72272	   	257.25	DCR|DCR|2VULN|1ASPD	1FEWX|2AME|3MBVNT|4FLTFST|5LHND|6aVULN|79RCR|8ASPD
5	23181 44272	   	257.25	DCR|DCR|2VULN|1ASPD	1FEWX|2AME|3MBVNT|4ASPD|5LWND|69RCR|7aVULN|8BLASTR
6	23181 48272	   	257.25	DCR|DCR|2VULN|1ASPD	1FEWX|2AME|3MBVNT|4ASPD|5LWND|69RCR|7MSLFST|8aVULN
7	23117 46272	   	257.15	DCR|DCR|2VULN|1ASPD	1FEWX|2AME|3MBVNT|4aVULN|5ASPD|69RCR|7DUST|8BLASTR
8	42331 51313	   	253.11	DCR|DCR|2VULN|1RPLT|1SELL	1RPLT|2aVULN|3DMSP|4DUST|5MDPS|6BELT|7SELL|89RCR
9	33354 22122	   	249.98	DCR|DCR|1VULN|1MLV|2DUR	1LEGI|2LHND|3VULN|48DUR|5BEXP|6LIT|7MLV|9aRCR
10	33623 53122	   	249.88	DCR|DCR|1VULN|1MLV|2DUR	1LEGI|2LHND|3MLV|4DUST|58DUR|6LIT|7VULN|9aRCR
11	21614 32151	   	244.79	DCR|DCR|1VULN|1MLV|1RPLT	1FEWX|2LHND|3MLV|4VULN|5RPLT|6LIT|7MDPS|8LWND|9aRCR
12	33614 32151	   	244.69	DCR|DCR|1VULN|1MLV|1RPLT	1LEGI|2LHND|3MLV|4VULN|5RPLT|6LIT|7MDPS|8LWND|9aRCR
13	54323 21522	   	244.00	DCR|DCR|2VULN	15RCVC|2LIT|36LHND|46VULN|6BPWR|7BBNT|8CGEN|9aRCR
14	25223 21522	   	243.90	DCR|DCR|2VULN	16FEWX|2LIT|3AELOIC|46VULN|5RCVC|6BPWR|7BBNT|8CGEN|9aRCR
15	21424 53112	   	243.80	DCR|DCR|2VULN	19FEWX|2LHND|3MDPS|4CGEN|58VULN|6LIT|7aRCR
16	21424 53122	   	243.80	DCR|DCR|2VULN	1FEWX|2LHND|3MDPS|4CGEN|58VULN|69LIT|7aRCR
17	25223 61522	   	243.80	DCR|DCR|2VULN	1FEWX|2LIT|3AELOIC|46VULN|5RCVC|7BBNT|8CGEN|9aRCR
18	21154 33112	   	243.70	DCR|DCR|2VULN	19FEWX|2LHND|3ERES|4MDPS|58VULN|6LIT|7aRCR
19	21154 33122	   	243.70	DCR|DCR|2VULN	1FEWX|2LHND|3ERES|4MDPS|58VULN|69LIT|7aRCR
20	21154 33152	   	243.70	DCR|DCR|2VULN	1FEWX|29LHND|3ERES|4MDPS|58VULN|6LIT|7aRCR
21	51124 33522	   	243.70	DCR|DCR|2VULN	1RCVC|2AME|35VULN|4TBNT|6CGEN|7ERES|8LIT|9aRCR
22	54332 23132	   	243.70	DCR|DCR|2VULN	1RCVC|2LIT|3LHND|4TBNT|58VULN|69ERES|7aRCR
23	23134 65284	   	243.60	DCR|DCR|2VULN	1FEWX|2AME|3MBVNT|4CGEN|5LSRREG|6TBNT|78RCR|9aVULN
24	23136 35284	   	243.60	DCR|DCR|2VULN	1FEWX|2AME|3MBVNT|4CGEN|5TBNT|6BASICY|78RCR|9aVULN
25	51124 51222	   	243.60	DCR|DCR|2VULN	1RCVC|2AME|35VULN|4TBNT|6LIT|78DUST|9aRCR
26	51124 51322	   	243.60	DCR|DCR|2VULN	1RCVC|28AME|35VULN|4TBNT|6LIT|7DUST|9aRCR
27	23117 43584	 * 	243.50	DCR|DCR|1VULN|2ASPD	1FEWX|2AME|3MBVNT|4VULN|58ASPD|6aRCR|7TBNT|9ERES
28	21116 44132	   	243.43	DCR|DCR|1VULN|1MLV	1FEWX|2LHND|3ERES|4VULN|5MLV|6aRCR|7DUR|8LIT|9TLV
29	33354 22322	   	243.43	DCR|DCR|1VULN|1MLV	1LEGI|28LHND|3VULN|4DUR|5BEXP|6LIT|7MLV|9aRCR
30	33354 22422	   	243.43	DCR|DCR|1VULN|1MLV	1LEGI|2LHND|3VULN|4DUR|58BEXP|6LIT|7MLV|9aRCR
31	33326 44122	   	243.33	DCR|DCR|1VULN|1MLV	1LEGI|2LHND|3VULN|4CGEN|5MLV|6aRCR|7DUR|8LIT|9ERES
32	33623 53322	   	243.33	DCR|DCR|1VULN|1MLV	1LEGI|28LHND|3MLV|4DUST|5DUR|6LIT|7VULN|9aRCR
33	33623 53522	   	243.33	DCR|DCR|1VULN|1MLV	1LEGI|2LHND|3MLV|4DUST|5DUR|68LIT|7VULN|9aRCR
34	22345 14311	 * 	242.27	DCR|DCR|1DMG|1MLV|1AART|1RPLT|1ZMB	19FEWX|2AART|3MLV|4DMG|5RPLT|6ZMB|7LHND|8aRCR
35	22345 15311	 * 	242.27	DCR|DCR|1DMG|1MLV|1AART|1RPLT|1ZMB	19FEWX|2AART|3MLV|4DMG|5RPLT|6ZMB|7LWND|8aRCR
36	42331 51315	   	240.56	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1RPLT|2VULN|3DMSP|4DUST|5MDPS|6BELT|7SELL|89RCR|aASPD
37	23117 41271	   	237.98	DCR|DCR|1VULN|1ASPD	1FEWX|2AME|3MBVNT|4VULN|5ASPD|69RCR|7LHND|8BLASTR|aNUKE
38	23148 72271	   	237.98	DCR|DCR|1VULN|1ASPD	1FEWX|2AME|3MBVNT|4FLTFST|5LHND|6VULN|79RCR|8ASPD|aNUKE
39	23181 44271	   	237.98	DCR|DCR|1VULN|1ASPD	1FEWX|2AME|3MBVNT|4ASPD|5LWND|69RCR|7VULN|8BLASTR|aNUKE
40	23181 48271	   	237.98	DCR|DCR|1VULN|1ASPD	1FEWX|2AME|3MBVNT|4ASPD|5LWND|69RCR|7MSLFST|8VULN|aNUKE
41	23117 46271	   	237.88	DCR|DCR|1VULN|1ASPD	1FEWX|2AME|3MBVNT|4VULN|5ASPD|69RCR|7DUST|8BLASTR|aNUKE
42	64213 11215	 * 	236.70	DCR|DCR|2DMG|1CDMG	1ERES|2TBNT|3CDMG|4BBNT|5aDMG|6CGEN|79RCR|8VENICY
