0	Index      	 *	Score 	Summary	Detail	
1	31311 53552	 * 	288.63	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	19VULN|2CDMG|3ASPD|4CGEN|5DUST|6aRCR|7MLV|8LIT
2	31231 53552	   	274.98	DCR|DCR|2VULN|1MLV|1CDMG	19VULN|2CDMG|3CGEN|4DUST|5AAC|6aRCR|7MLV|8LIT
3	31414 23422	 * 	274.98	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG	1VULN|2CDMG|3BEXP|4MLV|5TLV|6LIT|79ASPD|8aRCR
4	32311 53552	   	274.73	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	19VULN|2SELL|3ASPD|4CGEN|5DUST|6aRCR|7MLV|8LIT
5	31243 33552	 * 	274.54	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	19VULN|2CDMG|3CGEN|4DUR|5aRCR|6DMG|7MLV|8LIT
6	31343 42632	   	268.13	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	17VULN|2CDMG|3ASPD|4DUR|5aRCR|6LIT|8MLV|9CGEN
7	31413 31552	   	266.24	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	19VULN|2CDMG|3BEXP|4MLV|5aRCR|6DMG|7CGEN|8LIT
8	36121 42225	 * 	263.76	DCR|DCR|2VULN|1DMG	19VULN|2MSLREG|3DMG|4LIT|5FRZARM|6CANARM|7aRCR|8RCVC
9	36121 52225	   	263.76	DCR|DCR|2VULN|1DMG	19VULN|2MSLREG|3DMG|4LIT|5FRZARM|6FLTFST|7aRCR|8RCVC
10	31313 53542	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1VULN|2CDMG|3ASPD|4CGEN|5LWND|6aRCR|7MLV|8LIT|9DMSP
11	31313 53552	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1VULN|2CDMG|3ASPD|49CGEN|5LWND|6aRCR|7MLV|8LIT
12	31316 53522	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1VULN|2CDMG|3ASPD|4CGEN|59BEXP|6aRCR|7MLV|8LIT
13	31414 23412	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1VULN|2CDMG|3BEXP|4MLV|59TLV|6LIT|7ASPD|8aRCR
14	32231 53552	   	261.08	DCR|DCR|2VULN|1MLV|1SELL	19VULN|2SELL|3CGEN|4DUST|5AAC|6aRCR|7MLV|8LIT
15	32414 23422	   	261.08	DCR|DCR|1VULN|2ASPD|1MLV|1SELL	1VULN|2SELL|3BEXP|4MLV|5TLV|6LIT|79ASPD|8aRCR
16	32243 33552	   	260.65	ACR|DCR|2VULN|1DMG|1MLV|1SELL	19VULN|2SELL|3CGEN|4DUR|5aRCR|6DMG|7MLV|8LIT
17	31113 42132	   	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	17VULN|2CDMG|3LWND|4MLV|5aRCR|6LIT|8ASPD|9CGEN
18	31113 42262	   	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	17VULN|2CDMG|3LWND|4MLV|5aRCR|6LIT|8TLV|9ASPD
19	31413 42262	   	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	17VULN|2CDMG|3BEXP|4MLV|5aRCR|6LIT|8TLV|9ASPD
20	51313 42132	   	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1LWND|2CDMG|37VULN|4MLV|5aRCR|6LIT|8ASPD|9CGEN
21	51313 42262	   	259.82	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1LWND|2CDMG|37VULN|4MLV|5aRCR|6LIT|8TLV|9ASPD
