0	Index      	 *	Score 	Summary	Detail	
1	23333 21311	 * 	281.93	DCR|DCR|2VULN|1DMG|1AART	1BELT|2DUR|36VULN|4AART|56FRZICY|6BPWR|7ERES|8aRCR|9DMG
2	13234 12164	 * 	280.78	ACR|3VULN|3DMG|3MLV|2AART|1CDMG	12AART|39aVULN|49aDMG|5RCR|6BEXP|7CDMG|89aMLV|9aBPWR
3	13234 22164	   	280.78	ACR|3VULN|3DMG|3MLV|2AART|1CDMG	12AART|39aVULN|49aDMG|5RCR|6CDMG|7LWND|89aMLV|9aBPWR
4	61313 55232	 * 	278.40	DCR|3VULN|3DMG|3MLV	178DMG|2TLV|378MLV|4CGEN|5ERES|678VULN|78BPWR|9AELOIC|aRCR
5	13235 15341	   	263.39	DCR|DCR|1VULN|1DMG|2AART	12AART|3VULN|4DMG|5FRZARM|6DUR|7aRCR|8AME|9BELT
6	11226 52311	   	263.02	DCR|DCR|2VULN|1AART|1RPLT	1AART|29ERES|3BBNT|4MDPS|5RPLT|69VULN|78RCR|9BPWR|aBELT
7	11226 52312	   	263.02	DCR|DCR|2VULN|1AART|1RPLT	1AART|29ERES|3BBNT|4MDPS|5RPLT|69VULN|78RCR|9BPWR|aTBNT
8	11226 52313	   	263.02	DCR|DCR|2VULN|1AART|1RPLT	1AART|29ERES|3BBNT|4MDPS|5RPLT|69VULN|78RCR|9BPWR|aBEXP
9	11226 52314	   	263.02	DCR|DCR|2VULN|1AART|1RPLT	1AART|29ERES|3BBNT|4MDPS|5RPLT|69VULN|78RCR|9BPWR|aAAC
10	11226 52315	   	262.92	DCR|DCR|2VULN|1AART|1RPLT|1SELL	1AART|29ERES|3BBNT|4MDPS|5RPLT|69VULN|78RCR|9BPWR|aSELL
11	11226 52335	   	262.77	DCR|DCR|2VULN|1AART|1RPLT|1ZMB	1AART|2ERES|3BBNT|4MDPS|5RPLT|6aVULN|78RCR|9ZMB
12	32255 15111	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5LIT|6CGEN|79RCR|8MLV|aFEWX
13	32255 15112	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5aLIT|6CGEN|79RCR|8MLV
14	32255 35111	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5LIT|6TLV|79RCR|8MLV|aFEWX
15	32255 35112	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5aLIT|6TLV|79RCR|8MLV
16	32255 15113	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5LIT|6CGEN|79RCR|8MLV|aLEGI
17	32255 35113	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5LIT|6TLV|79RCR|8MLV|aLEGI
18	22162 53363	 * 	260.65	DCR|DCR|3ASPD|2CDMG|1MLV	1BELT|27AME|3LHND|47CDMG|579ASPD|68RCR|7BPWR|aMLV
19	23462 52313	 * 	260.27	DCR|DCR|2ASPD|1DMG|2DUR|1CDMG	1BELT|27DUR|3RMIN|4CDMG|5aASPD|68RCR|9DMG
20	25162 53312	 * 	260.24	DCR|DCR|2ASPD|1DMG|2CDMG	1BELT|27TLV|3LHND|47CDMG|57ASPD|68RCR|7BPWR|9DMG|aDUR
21	23622 52313	   	260.17	DCR|DCR|2ASPD|1DMG|2DUR|1CDMG	1BELT|27DUR|3CDMG|4ERES|5aASPD|68RCR|9DMG
22	23462 53313	   	260.04	DCR|DCR|2ASPD|1DMG|2CDMG	1BELT|2DUR|3RMIN|47CDMG|5aASPD|68RCR|9DMG
23	22162 53312	   	260.04	DCR|DCR|2ASPD|1DMG|2CDMG	1BELT|27AME|3LHND|47CDMG|57ASPD|68RCR|7BPWR|9DMG|aDUR
24	23622 53313	   	259.94	DCR|DCR|2ASPD|1DMG|2CDMG	1BELT|2DUR|37CDMG|4ERES|5aASPD|68RCR|9DMG
25	11226 52334	   	256.63	DCR|DCR|1VULN|1DMG|1AART|1RPLT|1ZMB	1AART|2ERES|3BBNT|4MDPS|5RPLT|6VULN|78RCR|9ZMB|aDMG
26	16111 31728	 * 	255.92	DCR|DCR|2DMG|1ASPD|1AART|1RPLT	1AART|2ASPD|3RPLT|4NUKE|56DMG|7MBVNT|8aRCR|9MDPS
27	23333 31311	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1BELT|2DUR|3VULN|4AART|5FRZICY|6AELOIC|7ERES|8aRCR|9DMG
28	23333 42451	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1BELT|2DUR|3VULN|4AART|5FRZICY|6DMG|79ERES|8aRCR
29	62332 25161	 * 	255.24	DCR|DCR|2DMG|1VULN	13DMG|2BELT|3BPWR|4BBNT|5DUST|6aLIT|79RCR|8VULN
30	62332 25163	   	255.24	DCR|DCR|2DMG|1VULN	13DMG|2BELT|3BPWR|4BBNT|5DUST|6LIT|79RCR|8VULN|aFLTARM
31	62332 25162	   	255.14	DCR|DCR|2DMG|1VULN	13DMG|2BELT|3BPWR|4BBNT|5DUST|6LIT|79RCR|8VULN|aERES
32	42621 51311	   	254.33	DCR|DCR|2DMG|1MLV|1CDMG	1RMIN|2CDMG|3MLV|4DUST|58DMG|69RCR|7LIT|aFEWX
33	42621 51312	   	254.33	DCR|DCR|2DMG|1MLV|1CDMG	1RMIN|2CDMG|3MLV|4DUST|58DMG|69RCR|7aLIT
34	42621 51313	   	254.33	DCR|DCR|2DMG|1MLV|1CDMG	1RMIN|2CDMG|3MLV|4DUST|58DMG|69RCR|7LIT|aLHND
