0	Index      	 *	Score 	Summary	Detail	
1	11122 26253	 * 	287.78	ACR|DCR|2VULN|2MLV|2CDMG|2DUR	17DUR|27MLV|3aRCR|4TLV|59VULN|67CDMG|7BPWR|8DUST
2	11122 21253	 * 	282.57	ACR|DCR|3VULN|1MLV|1CDMG	1DUR|2MLV|3aRCR|4TLV|579VULN|6CDMG|8DUST
3	11142 22643	 * 	275.34	ACR|DCR|2DMG|1VULN|1MLV|2DUR|1CDMG	14DUR|2MLV|3aRCR|57DMG|6CDMG|8VULN|9TLV
4	11142 22663	   	275.23	ACR|DCR|2DMG|1VULN|1MLV|2DUR|1CDMG	14DUR|2MLV|3aRCR|57DMG|6CDMG|8VULN|9ERES
5	11121 22123	 * 	273.36	ACR|DCR|1VULN|2MLV|1DMG|2DUR|1CDMG	15DUR|29MLV|3aRCR|4TLV|6CDMG|7DMG|8VULN
6	11146 22123	   	273.36	ACR|DCR|1VULN|2MLV|1DMG|2DUR|1CDMG	14DUR|29MLV|3aRCR|5CGEN|6CDMG|7DMG|8VULN
7	11141 22123	   	273.26	ACR|DCR|1VULN|2MLV|1DMG|2DUR|1CDMG	14DUR|29MLV|3aRCR|5AME|6CDMG|7DMG|8VULN
8	31226 13532	 * 	268.15	DCR|DCR|2VULN|1DMG|1ZMB	1MULARM|2DMG|3MSLFST|4ZMB|5LWND|69VULN|7DUST|8aRCR
9	61226 13532	 * 	268.15	DCR|DCR|2VULN|1DMG|1ZMB	1SNITOX|2DMG|3MSLFST|4ZMB|5LWND|69VULN|7DUST|8aRCR
10	31221 15512	 * 	268.05	DCR|DCR|2VULN|1DMG|1ZMB	1MULARM|2DMG|3MSLFST|4ZMB|56VULN|7LEGI|8aRCR|9DUST
11	61221 15512	 * 	268.05	DCR|DCR|2VULN|1DMG|1ZMB	1SNITOX|2DMG|3MSLFST|4ZMB|56VULN|7LEGI|8aRCR|9DUST
12	32435 21213	 * 	266.01	DCR|DCR|1VULN|2CDMG|1MLV|1ZMB	1MULARM|2FRZARM|3VULN|4DUR|58CDMG|6ZMB|7aRCR|9MLV
13	62435 21213	 * 	266.01	DCR|DCR|1VULN|2CDMG|1MLV|1ZMB	1SNITOX|2FRZARM|3VULN|4DUR|58CDMG|6ZMB|7aRCR|9MLV
14	11122 21113	   	265.76	ACR|DCR|2VULN|1MLV|2DUR|1CDMG	18DUR|2MLV|3aRCR|4TLV|57VULN|6CDMG|9BEXP
15	11122 21153	   	265.76	ACR|DCR|2VULN|1MLV|2DUR|1CDMG	18DUR|2MLV|3aRCR|4TLV|57VULN|6CDMG|9LHND
