0	Index      	 *	Score 	Summary	Detail	
1	21111 63536	 * 	295.94	DCR|2VULN|2TLV|2LIT|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6aVULN|7LHND|8MLV|9RCR
2	32251 11265	 * 	295.16	DCR|3LIT|2VULN|2TLV|2DUR	17aLIT|2MDPS|3aTLV|47MGNSTR|5TBNT|67DUR|7aBPWR|8RCR|9aVULN
3	32261 11265	   	294.96	DCR|3LIT|2VULN|2TLV|2DUR	17aLIT|2MDPS|3aTLV|47VENTOX|5TBNT|67DUR|7aBPWR|8RCR|9aVULN
4	21111 63534	 * 	287.52	DCR|3LIT|2TLV|1VULN|1MLV	1ERES|25aLIT|35TLV|4BBNT|5BPWR|6VULN|7LHND|8MLV|9RCR
5	21111 64334	   	287.52	DCR|3LIT|2TLV|1VULN|1MLV	1ERES|25aLIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8FEWX|9RCR
6	21111 62534	   	287.42	DCR|3LIT|2TLV|1VULN|1MLV	1ERES|25aLIT|35TLV|4BBNT|5BPWR|6VULN|7DUST|8MLV|9RCR
7	31421 24363	 * 	286.26	DCR|3VULN|3LIT|3DMG|1CDMG	137LIT|28aLWND|4CDMG|58aDMG|68aVULN|8aBPWR|9RCR
8	21111 63532	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7LHND|8MLV|9RCR|aASPD
9	21111 64332	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8FEWX|9RCR|aASPD
10	21111 64632	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7MLV|8BEXP|9RCR|aASPD
11	21111 66532	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7FEWX|8MLV|9RCR|aASPD
12	21111 62532	   	283.29	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7DUST|8MLV|9RCR|aASPD
13	31545 23131	 * 	279.51	DCR|2VULN|2LIT|2DMG|1TLV	1aLIT|2LWND|3aDMG|4ERES|5TLV|6aVULN|7RPLT|8MBVNT|9RCR|aBPWR
14	21111 63535	   	278.04	DCR|2TLV|2LIT|1VULN|1MLV	1ERES|25LIT|35TLV|4BBNT|5BPWR|6VULN|7LHND|8MLV|9RCR|aAART
15	32251 31265	   	277.73	DCR|3LIT|2VULN|2TLV	17aLIT|2MDPS|3aTLV|47MGNSTR|5TBNT|67LWND|7aBPWR|8RCR|9aVULN
16	32251 21265	   	277.53	DCR|3LIT|2VULN|2TLV	17aLIT|2MDPS|3aTLV|47MGNSTR|5TBNT|67DUST|7aBPWR|8RCR|9aVULN
17	32261 31265	   	277.53	DCR|3LIT|2VULN|2TLV	17aLIT|2MDPS|3aTLV|47VENTOX|5TBNT|67LWND|7aBPWR|8RCR|9aVULN
18	32261 21265	   	277.33	DCR|3LIT|2VULN|2TLV	17aLIT|2MDPS|3aTLV|47VENTOX|5TBNT|67DUST|7aBPWR|8RCR|9aVULN
19	21112 43536	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	1ERES|2LIT|36TLV|4BBNT|5aVULN|7LHND|8MLV|9RCR
