0	Index      	 *	Score 	Summary	Detail	
1	15614 42482	 * 	310.64	DCR|DCR|2VULN|1TLV|1LIT|1ASPD	1LIT|2FEWX|3MBVNT|45VULN|6ASPD|79RCR|8AAC|aTLV
2	15613 42482	 * 	304.75	DCR|DCR|2LIT|1TLV|1VULN|1ASPD	15LIT|2FEWX|3MBVNT|4VULN|6ASPD|79RCR|8AAC|aTLV
3	11254 12213	 * 	290.11	DCR|3LIT|2VULN|1TLV|1MLV|1CDMG	167LIT|2LWND|3BBNT|4MLV|56VULN|6BPWR|8CDMG|9RCR|aTLV
4	15254 12213	   	290.11	DCR|3LIT|2VULN|1TLV|1MLV|1CDMG	167LIT|2FEWX|3BBNT|4MLV|56VULN|6BPWR|8CDMG|9RCR|aTLV
5	16354 12213	   	290.11	DCR|3LIT|2VULN|1TLV|1MLV|1CDMG	167LIT|2BBNT|3BEXP|4MLV|56VULN|6BPWR|8CDMG|9RCR|aTLV
6	12254 12213	   	290.01	DCR|3LIT|2VULN|1TLV|1MLV|1CDMG	167LIT|2DUST|3BBNT|4MLV|56VULN|6BPWR|8CDMG|9RCR|aTLV
7	31332 34635	 * 	287.92	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1MGNLIT|2CDMG|3LIT|45VULN|6MLV|79TLV|8AART|aRCR
8	12554 12213	   	285.91	DCR|3LIT|2VULN|1TLV|1MLV|1CDMG	167LIT|2DUST|3TBNT|4MLV|56VULN|6BPWR|8CDMG|9RCR|aTLV
9	12234 23434	 * 	283.23	DCR|3VULN|3LIT|1TLV	157LIT|2DUST|3BBNT|478VULN|67LWND|7BPWR|9RCR|aTLV
10	16131 13134	   	283.13	DCR|3VULN|3LIT|1TLV	157LIT|2BBNT|3RCVC|478VULN|6MDPS|78BPWR|9RCR|aTLV
11	16131 13434	   	283.13	DCR|3VULN|3LIT|1TLV	157LIT|2BBNT|3RCVC|478VULN|6MDPS|7BPWR|9RCR|aTLV
