0	Index      	 *	Score 	Summary	Detail	
1	61341 62145	 * 	320.08	DCR|DCR|2TLV|2DMG|1LIT|2DUR	18DMG|2CGEN|3MBVNT|48DUR|5TBNT|6aRCR|78TLV|8BPWR|9LIT
2	11136 23125	 * 	316.50	DCR|DCR|2TLV|1VULN|1MLV	1DUR|2BBNT|3TBNT|46MGNLIT|56TLV|6BPWR|7VULN|8MLV|9aRCR
3	11136 63125	   	316.40	DCR|DCR|2TLV|1VULN|1MLV	1DUR|2BBNT|3TBNT|4MGNLIT|56TLV|7VULN|8MLV|9aRCR
4	11342 36324	 * 	315.97	DCR|DCR|2VULN|2LIT|1DMG|1ASPD	1DUR|2BBNT|35VULN|45LIT|5BPWR|6ASPD|7ZMB|8aRCR|9DMG
5	11342 32523	 * 	308.82	DCR|3VULN|2LIT|1TLV|1DMG|1ASPD	1DUR|2BBNT|35aVULN|45LIT|5BPWR|6ASPD|7RCR|8TLV|9DMG
6	31136 23125	   	306.74	DCR|DCR|2TLV|1VULN|1MLV	1DUST|2BBNT|3TBNT|46MGNLIT|56TLV|6BPWR|7VULN|8MLV|9aRCR
7	31166 23125	   	306.54	DCR|DCR|2TLV|1VULN|1MLV	1DUST|2BBNT|3TBNT|46CANHEL|56TLV|6BPWR|7VULN|8MLV|9aRCR
8	11342 34621	 * 	304.83	DCR|3LIT|2VULN|1TLV|2ASPD|2DUR	17DUR|2BBNT|35VULN|457LIT|57BPWR|67ASPD|8RCVC|9RCR|aTLV
9	21556 32332	 * 	303.04	DCR|3LIT|2VULN|2DMG|1TLV	17VULN|2TBNT|37DMG|47aLIT|5RPLT|6RMIN|7BPWR|8TLV|9RCR
10	21136 21225	 * 	297.75	DCR|DCR|2VULN|1TLV|2DUR	17VULN|2TBNT|3BBNT|4MSLREG|57DUR|67CGEN|7BPWR|8TLV|9aRCR
11	21136 51225	   	297.65	DCR|DCR|2VULN|1TLV|2DUR	17VULN|2TBNT|3BBNT|47MSLREG|57DUR|6RMIN|7BPWR|8TLV|9aRCR
12	21132 41225	   	297.55	DCR|DCR|2VULN|1TLV|2DUR	17VULN|2TBNT|3BBNT|4MSLREG|57AME|67DUR|7BPWR|8TLV|9aRCR
13	21135 41225	   	297.55	DCR|DCR|2VULN|1TLV|2DUR	17VULN|2TBNT|3BBNT|4MSLREG|57ERES|67DUR|7BPWR|8TLV|9aRCR
14	21136 61225	   	297.55	DCR|DCR|2VULN|1TLV|2DUR	17VULN|2TBNT|3BBNT|4MSLREG|57DUR|67AME|7BPWR|8TLV|9aRCR
15	11342 52224	   	295.81	DCR|DCR|2VULN|2LIT|1ASPD	1DUR|2BBNT|35VULN|45LIT|5BPWR|6ZMB|7aRCR|8NUKE|9ASPD
16	11342 32526	   	292.24	DCR|2VULN|2LIT|1TLV|1DMG|1ASPD	1DUR|2BBNT|35VULN|45LIT|5BPWR|6ASPD|7RCR|8TLV|9DMG|aTBNT
17	11342 32636	   	292.24	DCR|2VULN|2LIT|1TLV|1DMG|1ASPD	1DUR|2BBNT|35VULN|45LIT|5BPWR|6ASPD|7RCR|8DMG|9TBNT|aTLV
