0	Index      	 *	Score 	Summary	Detail	
1	11636 15313	 * 	311.44	DCR|DCR|2VULN|2TLV|2ASPD	1MBVNT|2AME|35VULN|45ASPD|5BPWR|67TLV|8FRZFST|9aRCR
2	17133 18313	   	305.50	DCR|DCR|2VULN|2TLV|1DMG	1MBVNT|2RMIN|37BASHEA|4RCVC|57TLV|67VULN|7BPWR|8DMG|9aRCR
3	17381 18313	   	305.50	DCR|DCR|2VULN|2TLV|1DMG	1MBVNT|2RMIN|37TLV|4RCVC|57BLASTR|67VULN|7BPWR|8DMG|9aRCR
4	17383 18313	   	305.50	DCR|DCR|2VULN|2TLV|1DMG	1MBVNT|2RMIN|37TLV|4RCVC|57GSSFST|67VULN|7BPWR|8DMG|9aRCR
5	11673 71313	   	305.30	DCR|DCR|2VULN|2TLV|1DMG	1MBVNT|26AME|37VULN|4MULHEA|56TLV|6BPWR|8DMG|9aRCR
6	18218 17124	 * 	299.73	DCR|DCR|2TLV|1LIT|1MLV	1MBVNT|28LHND|37TLV|4RPLT|5LIT|6aRCR|9MLV
7	11634 15313	   	298.89	DCR|DCR|2VULN|2TLV|1ASPD	1MBVNT|2AME|35VULN|4ASPD|67TLV|8FRZFST|9aRCR
8	11636 14313	   	290.80	DCR|DCR|2VULN|1TLV|2ASPD	1MBVNT|27AME|35VULN|45ASPD|5BPWR|6TLV|8FRZFST|9aRCR
9	33655 13221	   	290.07	DCR|DCR|1TLV|1LIT|1RPLT|1ASPD	1RPLT|2BBNT|3LIT|4CGEN|5MGNSTR|6DUR|7aRCR|8TLV|9ASPD
10	17133 18213	   	285.44	DCR|DCR|2VULN|2TLV	1MBVNT|2RMIN|37BASHEA|4RCVC|57TLV|67VULN|7BPWR|8AAC|9aRCR
11	17381 18213	   	285.44	DCR|DCR|2VULN|2TLV	1MBVNT|2RMIN|37TLV|4RCVC|57BLASTR|67VULN|7BPWR|8AAC|9aRCR
12	17383 18213	   	285.44	DCR|DCR|2VULN|2TLV	1MBVNT|2RMIN|37TLV|4RCVC|57GSSFST|67VULN|7BPWR|8AAC|9aRCR
13	11673 71213	   	285.24	DCR|DCR|2VULN|2TLV	1MBVNT|26AME|37VULN|4MULHEA|56TLV|6BPWR|8AAC|9aRCR
14	11684 15313	   	285.24	DCR|DCR|2VULN|2TLV	1MBVNT|2AME|35VULN|4ZMB|67TLV|8FRZFST|9aRCR
15	17362 71313	   	284.96	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2RMIN|3TLV|46CRUSTR|57VULN|8DMG|9aRCR
16	17133 11313	   	284.86	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2RMIN|3BASHEA|4RCVC|5TLV|67VULN|8DMG|9aRCR
17	17381 11313	   	284.86	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2RMIN|3TLV|4RCVC|5BLASTR|67VULN|8DMG|9aRCR
18	17383 11313	   	284.86	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|2RMIN|3TLV|4RCVC|5GSSFST|67VULN|8DMG|9aRCR
19	17362 31544	 * 	284.43	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1MBVNT|2RMIN|3TLV|4CRUSTR|5VULN|6aRCR|7LIT|8LHND|9CDMG
20	12611 82734	   	284.23	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1MBVNT|2LIT|3DUST|4CDMG|5SPLARM|6TLV|7VULN|8LHND|9aRCR
21	13277 38414	 * 	282.22	DCR|DCR|2LIT|1TLV|1CDMG	1MBVNT|2DUR|3TLV|4VENFST|58LIT|6CDMG|7FEWX|9aRCR
22	23277 38414	   	282.22	DCR|DCR|2LIT|1TLV|1CDMG	1DUR|2MBVNT|3TLV|4VENFST|58LIT|6CDMG|7FEWX|9aRCR
23	32635 12211	 * 	281.81	DCR|2VULN|2TLV|1LIT|1DMG|1RPLT	1RPLT|2aTLV|3CGEN|46VULN|5DMG|7LIT|8DUR|9RCR
24	32246 22211	   	281.71	DCR|2VULN|2TLV|1LIT|1DMG|1RPLT	1RPLT|2aTLV|3DMG|45VULN|6ERES|7LIT|8DUR|9RCR
25	34241 12216	   	281.71	DCR|2VULN|2TLV|1LIT|1DMG|1RPLT	1RPLT|2AME|3DMG|46VULN|5aTLV|7LIT|8DUR|9RCR
26	26163 33533	 * 	281.63	DCR|3LIT|2VULN|2TLV	1DUR|28aLIT|3FEWX|4DUST|5aVULN|6LWND|7RCR|9aTLV|aBPWR
