0	Index      	 *	Score 	Summary	Detail	
1	23323 53246	 * 	358.29	DCR|3TLV|3MLV|2VULN|2LIT|1CDMG	159MLV|29LIT|38VULN|4CDMG|69aTLV|7RCR|9BPWR
2	21431 25523	 * 	348.75	DCR|3TLV|2VULN|3DMG|2MLV|1LIT	19MLV|279DMG|35VULN|4LIT|689TLV|9BPWR|aRCR
3	24123 53141	   	343.54	DCR|3TLV|3MLV|2VULN|1LIT|1CDMG	159MLV|29VULN|3LIT|4CDMG|689TLV|7RCR|9BPWR|aTBNT
4	23323 53145	   	340.40	DCR|3TLV|3MLV|2LIT|1VULN|1CDMG	159MLV|29LIT|3VULN|4CDMG|689TLV|7RCR|9BPWR|aRPLT
5	24123 53142	   	337.88	DCR|3TLV|3MLV|2VULN|1LIT|1CDMG	159MLV|29VULN|3LIT|4CDMG|689TLV|7RCR|9BPWR|aMDPS
6	23323 53141	   	337.65	DCR|3TLV|3MLV|2LIT|1VULN|1CDMG	159MLV|29LIT|3VULN|4CDMG|689TLV|7RCR|9BPWR|aTBNT
7	24123 53241	 * 	336.72	DCR|3VULN|3MLV|2TLV|1LIT|1CDMG	159MLV|289VULN|3LIT|4CDMG|69TLV|7RCR|9BPWR|aBBNT
8	23323 53241	   	334.89	DCR|3MLV|2VULN|2TLV|2LIT|1CDMG	159MLV|29LIT|38VULN|4CDMG|69TLV|7RCR|9BPWR|aBBNT
9	23323 53144	   	332.09	DCR|3TLV|3MLV|2LIT|1VULN|1CDMG	159MLV|29LIT|3VULN|4CDMG|689TLV|7RCR|9BPWR|aBELT
10	23323 53146	   	332.09	DCR|3TLV|3MLV|2LIT|1VULN|1CDMG	159MLV|29LIT|3VULN|4CDMG|689TLV|7RCR|9BPWR|aFEWX
11	23323 53165	   	332.09	DCR|3TLV|3MLV|2LIT|1VULN|1CDMG	15aMLV|2aLIT|3VULN|4CDMG|68aTLV|7RCR|9RMIN|aBPWR
12	23323 53142	   	331.99	DCR|3TLV|3MLV|2LIT|1VULN|1CDMG	159MLV|29LIT|3VULN|4CDMG|689TLV|7RCR|9BPWR|aMDPS
13	23324 32266	 * 	331.24	DCR|3VULN|3TLV|2MLV|1LIT|1CDMG	19MLV|2LIT|369VULN|4CDMG|5BEXP|789TLV|9BPWR|aRCR
