0	Index      	 *	Score 	Summary	Detail	
1	26622 23252	 * 	280.56	ACR|DCR|2VULN|2LIT|1TLV	1aLHND|29RCR|3aLIT|4ZMB|5BELT|6TLV|7aVULN|8AAC|aBPWR
2	51341 62121	 * 	280.19	DCR|2VULN|3DMG|1TLV|1LIT|1CDMG	1MGNLIT|27VULN|349DMG|5TLV|6LIT|8CDMG|aRCR
3	16462 23331	 * 	277.12	ACR|DCR|1TLV|1LIT|1VULN|1DMG|1CDMG|1DUR	1DUR|27RCR|3ZMB|4CDMG|5LIT|6DMG|8VULN|9AME|aTLV
4	16131 21263	 * 	274.77	ACR|DCR|2VULN|2TLV|1DUR	1DUR|2aRCR|3FEWX|4AART|5RPLT|67TLV|89VULN
5	16613 35222	   	270.84	ACR|DCR|2VULN|2LIT|2DUR|1ASPD	1aDUR|28RCR|3aLIT|4AART|5ASPD|6ERES|7TBNT|9aVULN|aBPWR
6	51363 32411	 * 	269.49	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1BBNT	1MGNLIT|2VULN|3DMG|4aTLV|5BBNT|6MLV|7LIT|8RCR|9ZMB
7	51141 13631	 * 	269.34	DCR|3VULN|2LIT|1TLV|1CDMG	1MGNLIT|237VULN|4aLIT|5DMSP|6CDMG|8TLV|9RCR
8	51221 13631	   	269.34	DCR|3VULN|2LIT|1TLV|1CDMG	1MGNLIT|247VULN|3aLIT|5DMSP|6CDMG|8TLV|9RCR
9	51221 13634	 * 	269.09	DCR|3VULN|1TLV|1LIT|1DMG|1CDMG	1MGNLIT|247VULN|3LIT|5DMSP|6CDMG|8TLV|9RCR|aDMG
10	51231 23211	 * 	268.98	DCR|2VULN|2LIT|1TLV|1MLV|1DMG	1MGNLIT|25VULN|35LIT|4BELT|5BPWR|6MDPS|7RCR|8TLV|9MLV|aDMG
11	51143 23152	   	266.27	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR|1BBNT	1MGNLIT|23VULN|4LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aBBNT
12	51223 23152	   	266.27	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR|1BBNT	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7ASPD|8RCR|9DMG|aBBNT
13	16613 16122	   	265.36	ACR|DCR|1TLV|1LIT|1VULN|1ASPD|1DUR	1DUR|2aRCR|3LIT|4AART|5ASPD|6VULN|7MBVNT|8RMIN|9TLV
14	51223 66131	   	265.10	DCR|3VULN|1TLV|1LIT|1DMG|1DUR	1MGNLIT|24aVULN|3LIT|5DUR|6DMG|7RCR|8LHND|9TLV
15	51223 66231	   	265.10	DCR|3VULN|1TLV|1LIT|1DMG|1DUR	1MGNLIT|24aVULN|3LIT|5DUR|6DMG|7RCR|8FEWX|9TLV
16	51221 16631	 * 	264.98	DCR|3LIT|2VULN|1TLV|1CDMG	1MGNLIT|24VULN|37aLIT|5DMSP|6CDMG|8TLV|9RCR
17	13422 62131	   	262.75	DCR|2TLV|1LIT|1VULN|1MLV|2DUR	12DUR|2BPWR|3MLV|4MGNLIT|5aTLV|6LIT|7VULN|8RCR|9TBNT
18	51143 23131	 * 	262.65	DCR|2VULN|2TLV|1LIT|1ASPD|1DUR	1MGNLIT|23VULN|4LIT|5DUR|6aTLV|7ASPD|8RCR|9TBNT
19	51223 23131	   	262.65	DCR|2VULN|2TLV|1LIT|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6aTLV|7ASPD|8RCR|9TBNT
20	51143 23132	   	262.17	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|23VULN|4LIT|5DUR|6TLV|7ASPD|8RCR|9TBNT|aDMG
21	51223 23132	   	262.17	DCR|2VULN|1TLV|1LIT|1DMG|1ASPD|1DUR	1MGNLIT|24VULN|3LIT|5DUR|6TLV|7ASPD|8RCR|9TBNT|aDMG
22	23423 42532	   	262.10	DCR|2LIT|1TLV|1VULN|1MLV|1DMG|1BBNT|1DUR	1LHND|2BBNT|3MLV|4DUR|5TLV|6DMG|7aLIT|8VULN|9RCR
23	16131 26363	   	262.00	ACR|DCR|2VULN|1TLV|2DUR	18DUR|2aRCR|3FEWX|4AART|5RPLT|6TLV|79VULN
24	16131 33263	   	262.00	ACR|DCR|2VULN|1TLV|2DUR	16DUR|2aRCR|3FEWX|4AART|5RPLT|7TLV|89VULN
25	51364 21421	   	261.82	DCR|2VULN|2LIT|1TLV|1DMG	1MGNLIT|26VULN|3DMG|4TLV|5RPLT|7MBVNT|89LIT|aRCR
26	51231 23221	   	261.25	DCR|3VULN|2LIT|1TLV	1MGNLIT|25aVULN|35LIT|4BELT|5BPWR|6MDPS|7RCR|8TLV|9TBNT
27	51341 31451	   	259.09	DCR|2VULN|1TLV|2DMG|1LIT	1MGNLIT|29VULN|34DMG|5TLV|6RPLT|7MBVNT|8LIT|aRCR
28	34443 31132	   	258.87	DCR|2TLV|1VULN|1LIT|1MLV|1CDMG	1ERES|2CGEN|3MLV|4LIT|59TLV|6TBNT|7CDMG|8RCR|aVULN
29	51143 22332	   	258.44	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR|1SELL	1MGNLIT|237VULN|4LIT|5DUR|6TLV|8CDMG|9SELL|aRCR
30	51223 22332	   	258.44	DCR|3VULN|1TLV|1LIT|1CDMG|1DUR|1SELL	1MGNLIT|247VULN|3LIT|5DUR|6TLV|8CDMG|9SELL|aRCR
31	51363 32432	   	258.33	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1BBNT	1MGNLIT|29VULN|3DMG|4TLV|5BBNT|6MLV|7LIT|8RCR|aCGEN
32	51363 32431	   	258.23	DCR|2VULN|1TLV|1LIT|1MLV|1DMG|1BBNT	1MGNLIT|29VULN|3DMG|4TLV|5BBNT|6MLV|7LIT|8RCR|aBLALIT
