0	Index      	 *	Score 	Summary	Detail	
1	31251 51111	 * 	365.38	DCR|DCR|2VULN|1CDMG|1TLV|1DUR	1CDMG|2AIRHEA|3RMIN|49VULN|5DUR|6TLV|7TBNT|8aRCR
2	32223 63311	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2LIT|3AAC|4TBNT|5ZMB|69VULN|7RCR|8DUR|aMDPS
3	32254 63311	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2LIT|3AAC|4ZMB|5TBNT|69VULN|7RCR|8DUR|aMDPS
4	33223 63311	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2BOSS|3AAC|4TBNT|5ZMB|69VULN|7RCR|8DUR|aMDPS
5	33254 63311	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2BOSS|3AAC|4ZMB|5TBNT|69VULN|7RCR|8DUR|aMDPS
6	31251 11511	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2AIRHEA|3RMIN|49VULN|5DUR|6ZMB|7TBNT|8RCR|aMDPS
7	31251 61511	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|2AIRHEA|3RMIN|49VULN|5DUR|6AAC|7TBNT|8RCR|aMDPS
8	45221 11511	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2FRZFST|39VULN|4CDMG|5DUR|6ZMB|7TBNT|8RCR|aMDPS
9	45221 21511	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1ASPD|2FRZFST|39VULN|4CDMG|5DUR|6MLV|7TBNT|8RCR|aMDPS
10	21413 25315	 * 	355.10	DCR|4VULN|1CDMG|1DUR|1AART	1BEXP|2AART|3DUR|4DUST|5789VULN|6CDMG|aRCR
11	21611 25315	   	355.10	DCR|4VULN|1CDMG|1DUR|1AART	1BEXP|2AART|3789VULN|4DUST|5DUR|6CDMG|aRCR
12	31435 12111	 * 	351.63	DCR|DCR|2VULN|1CDMG|2DUR	1CDMG|2AIRHEA|3BBNT|49VULN|5LWND|67DUR|8aRCR
13	21453 21315	 * 	348.68	ACR|3VULN|1MDPS|1AART|1DUR	16BEXP|2AART|3DUR|4RCR|5LIT|789VULN|aMDPS
14	32132 36244	 * 	344.83	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1CDMG|2LIT|3AART|4LWND|5TLV|6DUR|7VULN|8RCR|9BELT|aMDPS
15	33132 36244	   	344.83	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1CDMG|2BOSS|3AART|4LWND|5TLV|6DUR|7VULN|8RCR|9BELT|aMDPS
16	36324 31428	 * 	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|29LWND|3TLV|4DUR|5RCR|68VULN|7MBVNT|aMDPS
17	22321 65433	   	344.69	DCR|2VULN|1MDPS|1DUR|1AART	1BEXP|2MLV|3DUR|4BBNT|5MBVNT|68VULN|7RCR|9AART|aMDPS
18	36324 31418	   	344.65	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|2LWND|3TLV|4DUR|5RCR|68VULN|7MBVNT|9AEFBLL|aMDPS
19	23321 65433	   	344.59	DCR|2VULN|1MDPS|1DUR|1AART	1BEXP|2AME|3DUR|4BBNT|5MBVNT|68VULN|7RCR|9AART|aMDPS
20	36144 23111	   	339.28	DCR|DCR|2VULN|1CDMG|1DUR	1CDMG|23LWND|4DUR|59VULN|6TBNT|7FRZARM|8aRCR
21	31251 21111	   	339.18	DCR|DCR|2VULN|1CDMG|1DUR	1CDMG|2AIRHEA|3RMIN|49VULN|5DUR|6MLV|7TBNT|8aRCR
22	31435 13111	   	339.18	DCR|DCR|2VULN|1CDMG|1DUR	1CDMG|2AIRHEA|3BBNT|49VULN|57LWND|6DUR|8aRCR
