0	Index      	 *	Score 	Summary	Detail	
1	16333 12453	 * 	381.25	DCR|2VULN|1MDPS|3DUR|1TLV	1BBNT|26VULN|359DUR|4TLV|7CGEN|8RCR|aMDPS
2	16331 31614	   	377.21	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BBNT|25VULN|3DUR|4TLV|6DMG|7RCR|8DUST|9MBVNT|aMDPS
3	16331 21561	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1BBNT|25VULN|3DUR|4TLV|6AAC|7RCR|8AEPOI|9AART|aMDPS
4	36333 11521	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1BASICY|25VULN|3DUR|4BEXP|6TLV|7AART|8RCR|9MDPS|aDUST
5	36333 11522	   	370.90	DCR|2VULN|1MDPS|2DUR|1TLV|1AART	1BASICY|25VULN|3aDUR|4BEXP|6TLV|7AART|8RCR|9MDPS
6	36333 11523	 * 	370.90	DCR|2VULN|1MDPS|2AART|1TLV|1DUR	1BASICY|25VULN|3DUR|4BEXP|6TLV|7aAART|8RCR|9MDPS
7	36333 11524	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1BASICY|25VULN|3DUR|4BEXP|6TLV|7AART|8RCR|9MDPS|aBOSS
8	36333 11525	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1BASICY|25VULN|3DUR|4BEXP|6TLV|7AART|8RCR|9MDPS|aCGEN
9	36333 11526	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1BASICY|25VULN|3DUR|4BEXP|6TLV|7AART|8RCR|9MDPS|aLHND
10	46333 11521	   	370.90	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1BASHEA|25VULN|3DUR|4BEXP|6TLV|7AART|8RCR|9MDPS|aDUST
11	46333 11522	   	370.90	DCR|2VULN|1MDPS|2DUR|1TLV|1AART	1BASHEA|25VULN|3aDUR|4BEXP|6TLV|7AART|8RCR|9MDPS
12	46333 11523	   	370.90	DCR|2VULN|1MDPS|2AART|1TLV|1DUR	1BASHEA|25VULN|3DUR|4BEXP|6TLV|7aAART|8RCR|9MDPS
13	16333 31153	 * 	365.23	DCR|1MDPS|1VULN|3DUR|2DMG|1TLV	1BBNT|2VULN|359DUR|4TLV|68DMG|7RCR|aMDPS
14	16331 21115	 * 	360.32	DCR|4VULN|1TLV|1DMG|1DUR	1BBNT|259aVULN|3DUR|4TLV|6AAC|7RCR|8DMG
15	16331 51115	   	360.32	DCR|4VULN|1TLV|1DMG|1DUR	1BBNT|259aVULN|3DUR|4TLV|6ZMB|7RCR|8DMG
16	16331 31415	   	360.22	DCR|4VULN|1TLV|1DMG|1DUR	1BBNT|259aVULN|3DUR|4TLV|6DMG|7RCR|8ASPD
17	16331 21614	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|25VULN|3DUR|4TLV|6AAC|7RCR|8DUST|9MBVNT|aMDPS
18	16331 51614	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|25VULN|3DUR|4TLV|6ZMB|7RCR|8DUST|9MBVNT|aMDPS
