0	Index      	 *	Score 	Summary	Detail	
1	52113 11212	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1BELT|2RMIN|359VULN|4RCVC|5BPWR|6DUR|7RCR|8BOSS|aMDPS
2	52623 11212	   	375.03	DCR|3VULN|1MDPS|1DUR	1BELT|2RMIN|3RCVC|459VULN|5BPWR|6DUR|7RCR|8BOSS|aMDPS
3	15133 22162	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CGEN|2BBNT|3BEXP|48VULN|5CDMG|6RCR|7DUR|9BOSS|aMDPS
4	15133 22145	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1CGEN|2BBNT|3BEXP|48VULN|5CDMG|6RCR|7DUR|9MGNBOS|aMDPS
5	23516 23325	 * 	358.01	DCR|DCR|1MDPS|1VULN|1DUR	1LHND|2VULN|3MBVNT|4FRZARM|5ASPD|69RCR|7DUR|8RPLT|aMDPS
6	65113 31632	 * 	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2FRZICY|3TLV|4ZMB|5BLAICY|6RCR|78VULN|9MLV|aMDPS
7	52113 11145	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BELT|2RMIN|35VULN|4RCVC|5BPWR|6DUR|7RCR|8ERES|9TLV|aMDPS
8	65113 31612	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2FRZICY|3TLV|4ZMB|5BLAICY|6RCR|78VULN|9ERES|aMDPS
9	65113 31622	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2FRZICY|3TLV|4ZMB|5BLAICY|6RCR|78VULN|9ASPD|aMDPS
10	65331 41221	 * 	355.84	DCR|DCR|2VULN|3DUR|1DMG	137DUR|2FRZICY|4DMG|5BBNT|68VULN|9aRCR
11	31674 33334	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1RAT|2MBVNT|37VULN|4DUR|5ZMB|6DMG|8RCR|9MSLTOX|aMDPS
12	31678 13334	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1RAT|2MBVNT|37VULN|4DUR|5DMG|6AAC|8RCR|9MSLTOX|aMDPS
13	13423 22441	 * 	351.14	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1CGEN|2LHND|3VULN|4TBNT|5CDMG|6RCR|7DUR|8DMG|9TLV|aMDPS
14	15133 22441	   	351.14	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1CGEN|2BBNT|3BEXP|4VULN|5CDMG|6RCR|7DUR|8DMG|9TLV|aMDPS
15	23323 22441	   	351.14	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR	1LHND|2VULN|3RMIN|4TBNT|5CDMG|6RCR|7DUR|8DMG|9TLV|aMDPS
16	63534 42442	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|25VULN|3MBVNT|4FEWX|6DMG|7CANARM|8TSLARM|9RCR|aMDPS
17	63534 42542	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|25VULN|3MBVNT|4FEWX|6DMG|7CANARM|8LSRICY|9RCR|aMDPS
18	63534 46442	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|25VULN|3MBVNT|4FEWX|6DMG|7SPLARM|8TSLARM|9RCR|aMDPS
19	63544 42442	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|25VULN|3MBVNT|4BEXP|6DMG|7CANARM|8TSLARM|9RCR|aMDPS
20	63544 42542	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|25VULN|3MBVNT|4BEXP|6DMG|7CANARM|8LSRICY|9RCR|aMDPS
21	63544 46442	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|25VULN|3MBVNT|4BEXP|6DMG|7SPLARM|8TSLARM|9RCR|aMDPS
22	63314 33422	 * 	350.53	2MDPS|2VULN|2DUR|1TLV	14DUR|25VULN|3RMIN|6BEXP|7TLV|8VENICY|9aMDPS
23	65122 32433	 * 	348.17	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	1DUR|24FRZICY|34TLV|4BPWR|5RPLT|6VULN|7RCR|8BEXP|9CDMG|aMDPS
24	65122 32133	   	348.07	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	1DUR|24FRZICY|34TLV|4BPWR|5RPLT|6VULN|7RCR|8DUST|9CDMG|aMDPS
