0	Index      	 *	Score 	Summary	Detail	
1	34222 44824	 * 	381.35	DCR|2VULN|1MDPS|2DMG|2DUR	19DMG|2BEXP|3MBVNT|49VULN|5DUST|6RCR|7FEWX|89DUR|9BPWR|aMDPS
2	41223 41121	 * 	374.83	DCR|3VULN|1MDPS|1DUR	1AME|2LWND|3DUR|467VULN|5RPLT|8RCR|9MDPS|aMLV
3	41223 41122	   	374.83	DCR|3VULN|1MDPS|1DUR	1AME|2LWND|3DUR|467VULN|5RPLT|8RCR|9MDPS|aFLTHEA
4	41223 41123	   	374.83	DCR|3VULN|1MDPS|1DUR	1AME|2LWND|3DUR|467VULN|5RPLT|8RCR|9MDPS|aERES
5	41223 41124	   	374.83	DCR|3VULN|1MDPS|1DUR|1SELL	1AME|2LWND|3DUR|467VULN|5RPLT|8RCR|9MDPS|aSELL
6	41223 41125	 * 	374.83	DCR|4VULN|1MDPS|1DUR	1AME|2LWND|3DUR|467aVULN|5RPLT|8RCR|9MDPS
7	41223 41126	   	374.83	DCR|3VULN|1MDPS|1DUR	1AME|2LWND|3DUR|467VULN|5RPLT|8RCR|9MDPS|aLHND
8	41225 62123	 * 	371.00	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1AME|2LWND|3DUR|46VULN|5CGEN|7AART|8RCR|9TLV|aMDPS
9	23111 21441	 * 	357.81	DCR|2MDPS|1VULN|2DUR	1AEWIND|2VULN|3RCVC|4VENICY|5aDUR|6RCR|79MDPS|8AAC
10	23111 21442	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8AAC|aRAT
11	23111 21443	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8AAC|aLWND
12	23111 21445	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8AAC|aLIT
13	23111 21446	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8AAC|aCGEN
14	23111 21641	   	357.81	DCR|2MDPS|1VULN|2DUR	1AEWIND|2VULN|3RCVC|4VENICY|5aDUR|6RCR|79MDPS|8ZMB
15	23111 21642	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8ZMB|aRAT
16	23111 21643	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8ZMB|aLWND
17	23111 21645	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8ZMB|aLIT
18	23111 21646	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8ZMB|aCGEN
19	23261 21441	   	357.81	DCR|2MDPS|1VULN|2DUR	1AEWIND|2VULN|3VENTOX|4AEFRZ|5aDUR|6RCR|79MDPS|8AAC
20	23261 21442	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3VENTOX|4AEFRZ|5DUR|6RCR|79MDPS|8AAC|aRAT
21	23261 21443	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3VENTOX|4AEFRZ|5DUR|6RCR|79MDPS|8AAC|aLWND
22	23261 21641	   	357.81	DCR|2MDPS|1VULN|2DUR	1AEWIND|2VULN|3VENTOX|4AEFRZ|5aDUR|6RCR|79MDPS|8ZMB
23	23261 21642	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3VENTOX|4AEFRZ|5DUR|6RCR|79MDPS|8ZMB|aRAT
24	23261 21643	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3VENTOX|4AEFRZ|5DUR|6RCR|79MDPS|8ZMB|aLWND
25	23611 21441	   	357.81	DCR|2MDPS|1VULN|2DUR	1AEWIND|2VULN|3DMSP|4VENICY|5aDUR|6RCR|79MDPS|8AAC
26	23611 21442	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3DMSP|4VENICY|5DUR|6RCR|79MDPS|8AAC|aRAT
27	23611 21443	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3DMSP|4VENICY|5DUR|6RCR|79MDPS|8AAC|aLWND
28	23611 21641	   	357.81	DCR|2MDPS|1VULN|2DUR	1AEWIND|2VULN|3DMSP|4VENICY|5aDUR|6RCR|79MDPS|8ZMB
29	23611 21642	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3DMSP|4VENICY|5DUR|6RCR|79MDPS|8ZMB|aRAT
30	23611 21643	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3DMSP|4VENICY|5DUR|6RCR|79MDPS|8ZMB|aLWND
31	53111 21441	   	357.81	DCR|2MDPS|1VULN|2DUR	1AEFRZ|2VULN|3RCVC|4VENICY|5aDUR|6RCR|79MDPS|8AAC
32	53111 21442	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8AAC|aRAT
33	53111 21443	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8AAC|aLWND
34	53111 21641	   	357.81	DCR|2MDPS|1VULN|2DUR	1AEFRZ|2VULN|3RCVC|4VENICY|5aDUR|6RCR|79MDPS|8ZMB
35	53111 21642	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8ZMB|aRAT
36	53111 21643	   	357.81	DCR|2MDPS|1VULN|1DUR	1AEFRZ|2VULN|3RCVC|4VENICY|5DUR|6RCR|79MDPS|8ZMB|aLWND
37	23511 21441	   	357.71	DCR|2MDPS|1VULN|2DUR	1AEWIND|2VULN|3AEFRZ|4VENICY|5aDUR|6RCR|79MDPS|8AAC
38	23511 21442	   	357.71	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3AEFRZ|4VENICY|5DUR|6RCR|79MDPS|8AAC|aRAT
39	23511 21443	   	357.71	DCR|2MDPS|1VULN|1DUR	1AEWIND|2VULN|3AEFRZ|4VENICY|5DUR|6RCR|79MDPS|8AAC|aLWND
