0	Index      	 *	Score 	Summary	Detail	
1	13131 32231	 * 	371.58	ACR|DCR|2VULN|1MDPS|1DUR	1RMIN|2DUST|3BASHEA|49RCR|57VULN|6DUR|8TBNT|aMDPS
2	52525 12213	 * 	357.10	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1SELL|2LEGI|34VULN|4BPWR|5TLV|6CGEN|7DUR|8RCR|9LIT|aMDPS
3	52525 22213	 * 	357.10	DCR|2VULN|1MDPS|1TLV|1DUR|1SELL	1SELL|2LEGI|34VULN|4BPWR|5TLV|6ZMB|7DUR|8RCR|9LIT|aMDPS
4	31226 22535	 * 	355.10	ACR|2VULN|1MDPS|2DMG|2DUR|1AART	1AAC|29DMG|3RCR|4AART|59VULN|6LHND|7MSLFST|89DUR|9BPWR|aMDPS
5	13131 32466	 * 	354.89	ACR|3VULN|1MDPS|1DMG|1DUR	1RMIN|2DUST|3BASHEA|4RCR|579VULN|6DUR|8DMG|aMDPS
6	31226 52131	 * 	351.73	ACR|2MDPS|1VULN|1DMG|1DUR|1AART	1aAAC|2DMG|3RCR|4AART|5VULN|6DUR|7MSLFST|89MDPS
7	31226 52132	   	351.73	ACR|2MDPS|1VULN|1DMG|1DUR|1AART	1AAC|2DMG|3RCR|4AART|5VULN|6DUR|7MSLFST|89MDPS|aBELT
8	31226 52133	   	351.73	ACR|2MDPS|1VULN|1DMG|1DUR|1AART	1AAC|2DMG|3RCR|4AART|5VULN|6DUR|7MSLFST|89MDPS|aRAT
9	31226 52134	   	351.73	ACR|2MDPS|1VULN|1DMG|1DUR|1AART	1AAC|2DMG|3RCR|4AART|5VULN|6DUR|7MSLFST|89MDPS|aLHND
10	31226 52135	   	351.73	ACR|2MDPS|1VULN|1DMG|1DUR|1AART	1AAC|2DMG|3RCR|4AART|5VULN|6DUR|7MSLFST|89MDPS|aDUST
11	31226 52136	   	351.73	ACR|2MDPS|1VULN|1DMG|1DUR|1AART	1AAC|2DMG|3RCR|4AART|5VULN|6DUR|7MSLFST|89MDPS|aAEBURN
12	61623 61222	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1RCVC|2RAT|3DUR|49VULN|5TBNT|6RCR|7MLV|8AART|aMDPS
