0	Index      	 *	Score 	Summary	Detail	
1	53163 25231	 * 	371.66	橙橙1双倍秒伤1易伤1时间1全技能	1最后敌人2暴雪减费3敌人爆炸4时间5赏金塔6易伤79核8全技能a双倍秒伤
2	42143 13133	 * 	364.86	橙2易伤1双倍秒伤1伤害1时间1全技能	1策反2随机技能3伤害48易伤5挖尘6核7全技能9时间a双倍秒伤
3	31632 11226	 * 	363.70	橙1双倍秒伤1易伤2暴击2时间1伤害1全技能	1额外掉落24暴击34时间4序列升级5敌人爆炸6伤害7核8全技能9易伤a双倍秒伤
4	51245 73332	 * 	358.34	橙2易伤1双倍秒伤1暴击1时间	1最后敌人2暴击3加一4毒液对冰5时间67易伤8核9防空对头目a双倍秒伤
5	51245 73342	   	358.34	橙2易伤1双倍秒伤1暴击1时间	1最后敌人2暴击3加一4毒液对冰5时间67易伤8核9喷火对黄a双倍秒伤
6	51261 73332	   	358.34	橙2易伤1双倍秒伤1暴击1时间	1最后敌人2暴击3加一4时间5导弹对黄67易伤8核9防空对头目a双倍秒伤
7	51261 73342	   	358.34	橙2易伤1双倍秒伤1暴击1时间	1最后敌人2暴击3加一4时间5导弹对黄67易伤8核9喷火对黄a双倍秒伤
8	51263 33272	 * 	353.90	橙4易伤2暴击1时间	1最后敌人26暴击3加一4时间578a易伤9核
9	51263 43272	 * 	353.90	橙4易伤1暴击2时间	1最后敌人2暴击3加一46时间578a易伤9核
10	31433 11226	   	351.24	橙1双倍秒伤1易伤2暴击1伤害1时间1全技能	1额外掉落24暴击34基地爆炸4序列升级5时间6伤害7核8全技能9易伤a双倍秒伤
11	42343 13133	   	344.69	橙2易伤1双倍秒伤1时间1全技能	1策反2随机技能3核弹48易伤5挖尘6核7全技能9时间a双倍秒伤
12	31632 21226	   	343.63	橙1双倍秒伤1易伤2暴击2时间1全技能	1额外掉落24暴击34时间4序列升级5敌人爆炸6技能7核8全技能9易伤a双倍秒伤
13	31635 21228	   	343.53	橙1双倍秒伤1易伤2暴击2时间1全技能	1额外掉落24暴击34时间4序列升级5随机矿6加一7核8全技能9易伤a双倍秒伤
