0	Index      	 *	Score 	Summary	Detail	
1	35361 13512	 * 	308.73	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD	1TLV|2ERES|3MDPS|4ASPD|5AEBURN|69RCR|7DUR|8VULN|aDMG
2	35316 13512	 * 	304.87	DCR|DCR|2VULN|1TLV|1AEBURN	1TLV|2ERES|3MDPS|4AEBURN|5AAC|69RCR|7DUR|8aVULN
3	35361 13511	   	302.32	DCR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1CDMG	1TLV|2ERES|3MDPS|4ASPD|5AEBURN|69RCR|7DUR|8VULN|aCDMG
4	32242 21342	 * 	301.25	DCR|3TLV|3VULN|2ASPD	138TLV|2BELT|38BPWR|4RAT|5RPLT|68aVULN|78ASPD|9RCR
5	36322 16323	 * 	301.03	DCR|2TLV|2VULN|2DMG|2AEFBLL|1CDMG	1aTLV|2LEGI|3RMIN|4aDMG|58VULN|6RCR|7CDMG|9aAEFBLL|aBPWR
6	31631 22144	   	299.87	DCR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1TLV|2BEXP|3CDMG|4AART|5DUR|6RPLT|7VULN|89RCR|aDMG
7	35311 82711	   	295.11	DCR|DCR|2VULN|1TLV|1AEBURN	1TLV|2ERES|3MDPS|4AEBURN|5MBVNT|6LIT|78RCR|9aVULN
8	36322 16333	   	294.48	DCR|3VULN|2TLV|1DMG|2CDMG	1aTLV|2LEGI|3RMIN|4DMG|58aVULN|6RCR|7aCDMG|9DMSP|aBPWR
9	35322 12322	 * 	294.11	DCR|4VULN|2TLV|2DUR	17TLV|2ERES|3MDPS|467aVULN|57DUR|7BPWR|8BEXP|9RCR
10	35322 12422	   	294.11	DCR|4VULN|2TLV|2DUR	17TLV|2ERES|3MDPS|467aVULN|57DUR|7BPWR|8LWND|9RCR
11	35322 12522	   	294.01	DCR|4VULN|2TLV|2DUR	17TLV|2ERES|3MDPS|467aVULN|57DUR|7BPWR|8DUST|9RCR
12	36321 15512	 * 	292.70	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3RMIN|4aDMG|5DUR|69RCR|7BEXP|8VULN
13	36322 15212	   	292.70	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3RMIN|4aDMG|5VULN|69RCR|7BEXP|8DUR
14	36321 13512	   	292.60	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3RMIN|4aDMG|5DUR|69RCR|7DUST|8VULN
15	36322 13212	   	292.60	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3RMIN|4aDMG|5VULN|69RCR|7DUST|8DUR
16	36521 13512	   	292.60	DCR|DCR|1TLV|1VULN|2DMG	1TLV|2LEGI|3MLV|4aDMG|5DUR|69RCR|7DUST|8VULN
17	34213 16632	   	292.10	DCR|4VULN|2TLV	19TLV|29FEWX|3DUR|4MDPS|5ZMB|679aVULN|8RCR|9BPWR
18	36331 15512	   	291.85	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3RMIN|4ZMB|5DUR|69RCR|7BEXP|8aVULN
19	36332 15212	   	291.85	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3RMIN|4ZMB|5aVULN|69RCR|7BEXP|8DUR
20	36331 13512	   	291.75	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3RMIN|4ZMB|5DUR|69RCR|7DUST|8aVULN
21	36332 13212	   	291.75	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3RMIN|4ZMB|5aVULN|69RCR|7DUST|8DUR
22	36531 13512	   	291.75	DCR|DCR|2VULN|1TLV	1TLV|2LEGI|3MLV|4ZMB|5DUR|69RCR|7DUST|8aVULN
