0	Index      	 *	Score 	Summary	Detail	
1	61415 12311	 * 	325.97	DCR|DCR|2VULN|2DMG|1MLV|1CDMG	18DMG|28LIT|3BBNT|4DUR|5CDMG|68VULN|7aRCR|8BPWR|9MLV
2	24113 23241	   	312.12	DCR|DCR|2VULN|2DMG|1MLV	1BEXP|2BBNT|3DUR|49DMG|5MLV|67RCR|8aVULN
3	34113 23241	   	312.12	DCR|DCR|2VULN|2DMG|1MLV	1FEWX|2BBNT|3DUR|49DMG|5MLV|67RCR|8aVULN
4	42113 23241	   	312.12	DCR|DCR|2VULN|2DMG|1MLV	1TBNT|2FEWX|3DUR|49DMG|5MLV|67RCR|8aVULN
5	46113 23241	   	312.02	DCR|DCR|2VULN|2DMG|1MLV	1TBNT|2DUST|3DUR|49DMG|5MLV|67RCR|8aVULN
6	62613 23241	   	312.02	DCR|DCR|2VULN|2DMG|1MLV	19DMG|2DUR|3DUST|4TBNT|5MLV|67RCR|8aVULN
7	62633 23241	   	312.02	DCR|DCR|2VULN|2DMG|1MLV	19DMG|2DUR|3DUST|4BBNT|5MLV|67RCR|8aVULN
8	61415 12211	   	308.18	DCR|DCR|2VULN|1DMG|1MLV|1CDMG	1DMG|2LIT|3BBNT|4DUR|5CDMG|68VULN|7aRCR|9MLV
9	63344 32111	 * 	302.03	DCR|DCR|2VULN|3DMG	134DMG|23TLV|3BPWR|5aVULN|6DMSP|7TBNT|89RCR
10	24113 23244	 * 	299.65	DCR|DCR|2DMG|1VULN|2MLV	1BEXP|2BBNT|3DUR|49DMG|5aMLV|67RCR|8VULN
11	34113 23244	   	299.65	DCR|DCR|2DMG|1VULN|2MLV	1FEWX|2BBNT|3DUR|49DMG|5aMLV|67RCR|8VULN
12	42113 23244	   	299.65	DCR|DCR|2DMG|1VULN|2MLV	1TBNT|2FEWX|3DUR|49DMG|5aMLV|67RCR|8VULN
13	63342 43213	 * 	296.59	ACR|DCR|3VULN|3DMG	134DMG|23TLV|3BPWR|57RCR|6AAC|89aVULN
