0	Index      	 *	Score 	Summary	Detail	
1	51321 73153	 * 	285.29	DCR|DCR|2DMG|1VULN|1MLV|1AART	1CGEN|2MBVNT|3TLV|4VULN|5AART|69DMG|7aRCR|8MLV
2	51321 73133	 * 	283.32	DCR|DCR|1VULN|2MLV|1DMG|1AART	1CGEN|2MBVNT|3TLV|4VULN|5AART|6DMG|7aRCR|89MLV
3	51321 43133	   	276.90	DCR|DCR|1VULN|2MLV|1ASPD|1AART	1CGEN|2MBVNT|3TLV|4VULN|5AART|6ASPD|7aRCR|89MLV
4	22512 13243	   	273.69	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9ASPD|aDUR
5	24323 21133	   	272.23	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1DMSP|2DMG|3DUR|4TLV|5AART|6ASPD|7aRCR|8AAC|9VULN
6	22512 13216	 * 	267.71	DCR|DCR|1VULN|2CDMG|1MLV|1RPLT	1DMSP|2LIT|3aCDMG|4MLV|5VULN|68RCR|7TBNT|9RPLT
7	22512 13224	   	266.59	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1DMSP|2LIT|3CDMG|4MLV|5VULN|68RCR|7TBNT|9aDUR
8	32136 83114	 * 	266.39	DCR|DCR|2VULN|1AART	1TBNT|2DUR|3MBVNT|48VULN|5MDPS|6AART|7aRCR|9BEXP
9	32136 83154	   	266.39	DCR|DCR|2VULN|1AART	1TBNT|2DUR|3MBVNT|48VULN|5MDPS|6AART|7aRCR|9LHND
10	32136 83184	   	266.39	DCR|DCR|2VULN|1AART	1TBNT|2DUR|3MBVNT|48VULN|5MDPS|6AART|7aRCR|9LWND
11	32342 83114	   	266.39	DCR|DCR|2VULN|1AART	1TBNT|2DUR|3MDPS|48VULN|5MBVNT|6AART|7aRCR|9BEXP
12	32342 83154	   	266.39	DCR|DCR|2VULN|1AART	1TBNT|2DUR|3MDPS|48VULN|5MBVNT|6AART|7aRCR|9LHND
13	32342 83184	   	266.39	DCR|DCR|2VULN|1AART	1TBNT|2DUR|3MDPS|48VULN|5MBVNT|6AART|7aRCR|9LWND
14	32134 13644	   	266.39	DCR|DCR|2VULN|1AART	1TBNT|2DUR|3MBVNT|45VULN|6AART|7MDPS|8LHND|9aRCR
15	32134 13744	   	266.39	DCR|DCR|2VULN|1AART	1TBNT|2DUR|3MBVNT|45VULN|6AART|7MDPS|8LWND|9aRCR
16	22512 13226	   	266.35	DCR|DCR|1VULN|2CDMG|1MLV	1DMSP|2LIT|3aCDMG|4MLV|5VULN|68RCR|7TBNT|9DUR
