0	Index      	 *	Score 	Summary	Detail	
1	41231 24316	 * 	280.10	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUR|2CGEN|3VULN|4DMG|5CDMG|6MLV|7BELT|8FEWX|9aRCR
2	32231 56612	 * 	277.96	DCR|DCR|2DMG|1VULN|2CDMG	1ERES|26DUST|3VULN|48DMG|56CDMG|6BPWR|79RCR|aBEXP
3	32231 56613	   	277.96	DCR|DCR|2DMG|1VULN|2CDMG	1ERES|26DUST|3VULN|48DMG|56CDMG|6BPWR|79RCR|aRMIN
4	32231 56611	   	277.86	DCR|DCR|2DMG|1VULN|2CDMG	1aERES|26DUST|3VULN|48DMG|56CDMG|6BPWR|79RCR
5	41231 11266	   	276.22	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DUR|2CGEN|3VULN|4DMG|5CDMG|6ASPD|7LIT|8aRCR|9LHND
6	41231 11226	   	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DUR|2CGEN|3VULN|4DMG|5CDMG|6ASPD|7LIT|8aRCR|9DUST
7	45231 11226	   	276.02	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DUR|2ERES|3VULN|4DMG|5CDMG|6ASPD|7LIT|8aRCR|9DUST
8	31622 66312	 * 	268.59	DCR|DCR|2VULN|1DMG	1ERES|2FEWX|3BEXP|4BBNT|5aVULN|68RCR|7CGEN|9DMG
9	31231 11266	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ERES|2FEWX|3VULN|4DMG|5CDMG|6ASPD|7LIT|8aRCR|9LHND
10	31231 11466	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ERES|2FEWX|3VULN|4DMG|5CDMG|6ASPD|7LIT|8LHND|9aRCR
11	31231 15266	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ERES|2FEWX|3VULN|4DMG|5CDMG|6ASPD|7LWND|8LIT|9aRCR
12	32231 11266	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ERES|2DUST|3VULN|4DMG|5CDMG|6ASPD|7LIT|8aRCR|9LHND
13	32231 11466	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ERES|2DUST|3VULN|4DMG|5CDMG|6ASPD|7LIT|8LHND|9aRCR
14	32231 15266	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ERES|2DUST|3VULN|4DMG|5CDMG|6ASPD|7LWND|8LIT|9aRCR
15	42143 22116	   	262.71	DCR|DCR|1VULN|2DUR|1ASPD|1CDMG	13DUR|2LWND|4BELT|5FEWX|6ASPD|7CDMG|8VULN|9aRCR
