0	Index      	 *	Score 	Summary	Detail	
1	15121 34133	 * 	295.79	DCR|DCR|2VULN|1DMG|1CDMG|1ASPD	1CDMG|2DUST|38VULN|4DMG|5ERES|6TBNT|79RCR|aASPD
2	11243 34133	   	293.75	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aDMG
3	15243 34133	   	293.65	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|2DUST|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aDMG
4	15121 34134	   	290.45	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|2DUST|38VULN|4DMG|5ERES|6TBNT|79RCR|aDUR
5	15121 34433	 * 	285.30	DCR|DCR|2DMG|1VULN|1CDMG|1ASPD	1CDMG|2DUST|3VULN|48DMG|5ERES|6TBNT|79RCR|aASPD
6	15121 34135	   	282.14	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|2DUST|38VULN|4DMG|5ERES|6TBNT|79RCR|aCGEN
7	15121 34136	   	282.14	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|2DUST|38VULN|4DMG|5ERES|6TBNT|79RCR|aLIT
8	15121 34131	   	282.04	DCR|DCR|2VULN|1DMG|1CDMG|1ZMB	1CDMG|2DUST|38VULN|4DMG|5ERES|6TBNT|79RCR|aZMB
9	15121 34132	   	282.04	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|2aDUST|38VULN|4DMG|5ERES|6TBNT|79RCR
10	32133 53414	   	280.24	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9CDMG|aDUR
11	11213 34133	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1CDMG|2LWND|3BBNT|4NUKE|5MLV|6DUR|79RCR|8VULN|aDMG
12	45232 63133	   	280.00	DCR|DCR|2VULN|1CDMG|1RPLT|1ZMB	1RPLT|23VULN|3BPWR|4BEXP|5DUR|6CDMG|7aRCR|8CGEN|9ZMB
13	15213 34133	   	279.90	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1CDMG|2DUST|3BBNT|4NUKE|5MLV|6DUR|79RCR|8VULN|aDMG
14	21513 42143	   	279.90	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1BBNT|2DUR|3VENTOX|4MDPS|5DMG|6ASPD|7VULN|8MLV|9aRCR
15	15623 34133	   	279.76	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1CDMG|2DUST|3ZMB|4TBNT|5MLV|6DUR|79RCR|8VULN|aDMG
16	32133 53452	   	278.35	DCR|DCR|2VULN|1DMG|1AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9TBNT|aDMG
17	11242 34133	   	276.22	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5RMIN|6DUR|79RCR|8VULN|aDMG
18	11324 64133	   	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2LWND|3ERES|4TBNT|5ASPD|6DUR|79RCR|8VULN|aDMG
19	15242 34133	   	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DUST|3BBNT|4ASPD|5RMIN|6DUR|79RCR|8VULN|aDMG
20	32133 53423	   	275.72	DCR|DCR|2VULN|1MLV|1AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9ERES|aMLV
21	32136 53423	   	275.72	DCR|DCR|2VULN|1MLV|1AART	13RMIN|24VULN|4BPWR|5LWND|68RCR|7AART|9ERES|aMLV
22	15342 34133	   	275.63	DCR|DCR|2VULN|1CDMG|1ASPD	1CDMG|2DUST|3ERES|4NUKE|58VULN|6TBNT|79RCR|aASPD
23	32652 63223	   	275.04	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1RMIN|2VULN|3BEXP|4RPLT|5CGEN|6CDMG|7aRCR|8ASPD|9MLV
24	32655 33223	   	275.04	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1RMIN|2VULN|3BEXP|4RPLT|5CDMG|6CGEN|7aRCR|8ASPD|9MLV
25	42412 63223	   	274.94	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1RPLT|2ERES|3VULN|4BEXP|5CGEN|6CDMG|7aRCR|8ASPD|9MLV
26	42415 33223	   	274.94	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1RPLT|2ERES|3VULN|4BEXP|5CDMG|6CGEN|7aRCR|8ASPD|9MLV
27	11243 34131	   	273.69	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aLIT
28	11243 34135	   	273.69	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aCGEN
29	11243 34132	   	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aAME
30	11243 34134	   	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aMDPS
31	11243 34136	   	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aDUST
32	15243 34131	   	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2DUST|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aLIT
33	15243 34132	   	273.49	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2DUST|3BBNT|4ASPD|5MLV|6DUR|79RCR|8VULN|aAME
34	32133 53411	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9CDMG|aCGEN
35	32133 53413	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9CDMG|aRCVC
36	32133 53415	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9CDMG|aTBNT
37	32133 53416	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9CDMG|aAAC
38	32134 53411	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5LHND|68RCR|7AART|9CDMG|aCGEN
39	32134 53413	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5LHND|68RCR|7AART|9CDMG|aRCVC
40	32134 53433	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|59LHND|68RCR|7AART|aCDMG
41	32136 53411	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5LWND|68RCR|7AART|9CDMG|aCGEN
42	32136 53413	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5LWND|68RCR|7AART|9CDMG|aRCVC
43	11126 43233	   	271.85	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2LWND|3VULN|4aDMG|5BEXP|6BBNT|79RCR|8CGEN
44	32133 53412	   	271.84	DCR|DCR|2VULN|1CDMG|1AART|1MSE	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9CDMG|aMSE
45	32133 53422	   	271.84	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9ERES|aCDMG
46	32134 53412	   	271.84	DCR|DCR|2VULN|1CDMG|1AART|1MSE	13RMIN|24VULN|4BPWR|5LHND|68RCR|7AART|9CDMG|aMSE
47	32134 53423	   	271.84	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5LHND|68RCR|7AART|9ERES|aCDMG
48	32136 53412	   	271.84	DCR|DCR|2VULN|1CDMG|1AART|1MSE	13RMIN|24VULN|4BPWR|5LWND|68RCR|7AART|9CDMG|aMSE
49	32136 53422	   	271.84	DCR|DCR|2VULN|1CDMG|1AART	13RMIN|24VULN|4BPWR|5LWND|68RCR|7AART|9ERES|aCDMG
50	11126 43533	   	271.75	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2LWND|3VULN|4aDMG|5BEXP|6BBNT|79RCR|8ERES
51	15121 34533	   	271.65	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2DUST|3VULN|4aDMG|5ERES|6TBNT|79RCR|8FEWX
52	15521 34133	   	271.65	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2DUST|3LWND|4aDMG|5ERES|6BBNT|79RCR|8VULN
53	16222 64133	   	271.65	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2ERES|3BEXP|4TBNT|5aDMG|6DUST|79RCR|8VULN
54	15121 34431	   	271.55	DCR|DCR|2DMG|1VULN|1CDMG|1ZMB	1CDMG|2DUST|3VULN|48DMG|5ERES|6TBNT|79RCR|aZMB
55	15121 34432	   	271.55	DCR|DCR|2DMG|1VULN|1CDMG	1CDMG|2aDUST|3VULN|48DMG|5ERES|6TBNT|79RCR
56	35266 33134	   	270.48	DCR|DCR|2VULN|1ASPD	1RMIN|2ASPD|3FRZARM|4DUR|5MBVNT|6LWND|79VULN|8aRCR
57	35236 33174	   	270.38	DCR|DCR|2VULN|1ASPD	1RMIN|2ASPD|3FRZARM|4MBVNT|5DUST|6DUR|79VULN|8aRCR
58	32355 51221	 * 	270.28	DCR|3VULN|3DMG|2MLV	1RMIN|24aVULN|3AME|59aDMG|6RCR|7aMLV|8TBNT|aBPWR
59	32133 53435	   	267.95	DCR|DCR|2VULN|1AART|1RPLT	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7AART|9LHND|aRPLT
60	11241 24133	   	267.91	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5BEXP|6RMIN|79RCR|8VULN|aDMG
61	11245 24133	   	267.91	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5FEWX|6RMIN|79RCR|8VULN|aDMG
62	11241 34133	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5BEXP|6AME|79RCR|8VULN|aDMG
63	11241 64133	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5BEXP|6ERES|79RCR|8VULN|aDMG
64	11245 34133	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2LWND|3BBNT|4ASPD|5FEWX|6AME|79RCR|8VULN|aDMG
65	15241 24133	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DUST|3BBNT|4ASPD|5BEXP|6RMIN|79RCR|8VULN|aDMG
66	15241 34133	   	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DUST|3BBNT|4ASPD|5BEXP|6AME|79RCR|8VULN|aDMG
67	15121 34333	   	267.61	DCR|DCR|1VULN|1DMG|1CDMG|1ASPD	1CDMG|28DUST|3VULN|4DMG|5ERES|6TBNT|79RCR|aASPD
68	15121 34633	   	267.61	DCR|DCR|1VULN|1DMG|1CDMG|1ASPD	1CDMG|2DUST|3VULN|4DMG|58ERES|6TBNT|79RCR|aASPD
69	32235 53134	 * 	267.24	DCR|DCR|1VULN|2MLV|1CDMG	1RMIN|2VULN|35MLV|4TLV|6aRCR|7CDMG|8MDPS|9CGEN
70	15213 34233	 * 	267.21	DCR|DCR|2MLV|2CDMG|2DUR|1ASPD	18CDMG|2DUST|3BBNT|4NUKE|58MLV|68DUR|79RCR|8BPWR|aASPD
71	32136 53433	   	266.59	DCR|DCR|2VULN|1AART	13RMIN|24VULN|4BPWR|5LWND|68RCR|7AART|9LHND|aDUR
72	41521 34113	   	266.59	DCR|DCR|2VULN|1RPLT	1RPLT|2FEWX|38VULN|49LWND|5LHND|6DUR|7aRCR
73	41521 34133	   	266.59	DCR|DCR|2VULN|1RPLT	1RPLT|29FEWX|38VULN|4LWND|5LHND|6DUR|7aRCR
74	32133 53425	   	265.96	DCR|DCR|2VULN|2AART	13RMIN|24VULN|4BPWR|5BEXP|68RCR|7aAART|9ERES
75	66153 41134	   	265.86	DCR|DCR|2VULN|1MLV	1MDPS|2AAC|3RCVC|4MBVNT|5MLV|69VULN|7SNIFST|8aRCR
