0	Index      	 *	Score 	Summary	Detail	
1	22623 33352	 * 	294.79	DCR|4VULN|3DMG|2CDMG|2AART	18CDMG|29AART|378aVULN|458DMG|6RCR|8BPWR
2	22623 33341	 * 	293.06	DCR|4VULN|3DMG|3CDMG|1AART	18aCDMG|2AART|378aVULN|458DMG|6RCR|8aBPWR|9MDPS
3	22623 33354	   	288.29	DCR|3VULN|3DMG|2CDMG|2AART|1ASPD	18CDMG|29AART|378VULN|458DMG|6RCR|8BPWR|aASPD
4	22623 33362	   	287.02	DCR|4VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378aVULN|458DMG|6RCR|8BPWR|9RCVC
5	22624 33352	   	285.01	DCR|4VULN|2DMG|2CDMG|1ASPD|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9RCVC|aASPD
6	22624 33341	   	284.91	DCR|4VULN|2DMG|2CDMG|1ASPD|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9DUST|aASPD
7	22623 33321	   	284.40	DCR|3VULN|3DMG|2CDMG|1MLV|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9BEXP|aMLV
8	22623 33331	   	284.40	DCR|3VULN|3DMG|2CDMG|1MLV|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9LHND|aMLV
9	22623 33311	   	284.30	DCR|3VULN|3DMG|2CDMG|1MLV|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MBVNT|aMLV
10	22623 33344	   	284.30	DCR|3VULN|3DMG|2CDMG|1MLV|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MDPS|aMLV
11	22623 33364	   	280.52	DCR|3VULN|3DMG|2CDMG|1ASPD|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9RCVC|aASPD
12	53523 12162	 * 	280.12	DCR|DCR|1VULN|2ASPD|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3VULN|4DMG|5CDMG|69ASPD|7LIT|8aRCR
13	22624 33311	   	279.67	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TLV|aDUR
14	22624 33322	   	277.40	DCR|4VULN|2DMG|3CDMG|1AART	18aCDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TBNT
15	22624 33362	   	277.40	DCR|4VULN|2DMG|3CDMG|1AART	18aCDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BBNT
16	22624 33411	 * 	277.32	DCR|3VULN|2DMG|2ASPD|2CDMG|1AART	1aCDMG|2AART|357VULN|4aDMG|6RCR|8BELT|9aASPD|aBPWR
17	22623 33342	   	275.07	DCR|3VULN|3DMG|2CDMG|1AART	18CDMG|2AART|378VULN|458DMG|6RCR|8BPWR|9MDPS|aDUR
18	22631 35126	 * 	274.94	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART	1CDMG|2AART|3VULN|4AAC|5AELOIC|6aRCR|7MLV|8LHND|9ASPD
19	22623 32352	   	274.64	DCR|3VULN|3DMG|2CDMG|2AART	18CDMG|29AART|38aVULN|458DMG|6RCR|7DMSP|8BPWR
20	22623 36352	   	274.64	DCR|3VULN|3DMG|2CDMG|2AART	18CDMG|29AART|38aVULN|458DMG|6RCR|7RCVC|8BPWR
21	22623 33333	   	274.64	DCR|3VULN|3DMG|2CDMG|2AART	18CDMG|2aAART|378VULN|458DMG|6RCR|8BPWR|9LHND
22	22623 33353	   	274.64	DCR|3VULN|3DMG|2CDMG|2AART	18CDMG|29AART|378VULN|458DMG|6RCR|8BPWR|aFEWX
23	22623 33355	   	274.64	DCR|3VULN|3DMG|2CDMG|2AART	18CDMG|29AART|378VULN|458DMG|6RCR|8BPWR|aRCVC
24	22623 33318	   	274.54	DCR|3VULN|3DMG|2CDMG|2AART	18CDMG|2aAART|378VULN|458DMG|6RCR|8BPWR|9MBVNT
25	22623 33351	   	274.54	DCR|3VULN|3DMG|2CDMG|2AART	18CDMG|29AART|378VULN|458DMG|6RCR|8BPWR|aERES
26	22623 32341	   	272.91	DCR|3VULN|3DMG|3CDMG|1AART	18aCDMG|2AART|38aVULN|458DMG|6RCR|7DMSP|8aBPWR|9MDPS
27	22623 36341	   	272.91	DCR|3VULN|3DMG|3CDMG|1AART	18aCDMG|2AART|38aVULN|458DMG|6RCR|7RCVC|8aBPWR|9MDPS
28	23531 13388	 * 	271.89	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT|1SELL	1CDMG|2SELL|3VULN|4RPLT|5MBVNT|6DUR|7DMG|8BEXP|9aRCR
29	22624 33313	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TLV|aLHND
30	22624 33315	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TLV|aBEXP
31	22624 33316	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TLV|aLIT
32	22624 33323	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TBNT|aAAC
33	22624 33325	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TBNT|aLIT
34	22624 33332	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BELT|aLHND
35	22624 33333	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BELT|aLIT
36	22624 33334	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BELT|aBEXP
37	22624 33351	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9RCVC|aTBNT
38	22624 33353	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9RCVC|aRMIN
39	22624 33363	   	271.36	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9BBNT|aAAC
40	22624 33312	   	271.26	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TLV|aSPLARM
41	22624 33314	   	271.26	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TLV|aDUST
42	22624 33321	   	271.26	DCR|4VULN|2DMG|2CDMG|1AART	18CDMG|2AART|3578VULN|48DMG|6RCR|8BPWR|9TBNT|aSPLJET
