0	Index      	 *	Score 	Summary	Detail	
1	23144 32513	 * 	225.36	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG|2ZMB	18ZMB|28DMG|3MDPS|48CDMG|5RCVC|6RCR|7AART|8BPWR|9aVULN
2	61235 16331	 * 	223.16	DCR|2VULN|2AART|2DMG|2ZMB|1DUR	1aAART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9DUR
3	62325 16322	 * 	217.65	DCR|2VULN|2AART|2DMG|1CDMG	14AART|28LHND|3LEGI|58VULN|6RCR|78DMG|8BPWR|9LIT|aCDMG
4	23144 32512	 * 	217.43	DCR|2DMG|1MDPS|3ZMB|1VULN|1AART|2CDMG	18aZMB|28DMG|3MDPS|48CDMG|5RCVC|6RCR|7AART|8BPWR|9VULN
5	23553 35223	   	216.36	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|2ZMB	18ZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|78AME|8BPWR|9AART|aMDPS
6	23562 32115	 * 	215.70	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|37aVULN|5MLV|6AART|8DUR|9RCR
7	23563 32115	   	215.60	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|37aVULN|5ERES|6AART|8DUR|9RCR
8	61235 16322	   	215.03	DCR|2VULN|2DMG|1AART|1CDMG|2ZMB	1AART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9LIT|aCDMG
9	62325 16331	   	214.95	DCR|2VULN|2AART|2DMG|2DUR	14AART|28LHND|3LEGI|58VULN|6RCR|78DMG|8BPWR|9aDUR
10	42411 34223	 * 	214.80	DCR|3ASPD|2VULN|1AART|1DMG|1SELL	18BEXP|2SELL|38VULN|4AME|5DMG|6RCR|78aASPD|8BPWR|9AART
11	23144 32313	   	214.51	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1ZMB	1ZMB|28DMG|3MDPS|4CDMG|5RCVC|6RCR|7AART|9aVULN
12	23215 34224	 * 	214.33	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR|1SELL	1ZMB|2aDMG|3DUR|4SELL|5FEWX|6RCR|7aASPD|8SPLJET|9aVULN|aBPWR
13	23213 34224	 * 	214.23	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR|1SELL	1ZMB|2aDMG|3DUR|4SELL|5DUST|6RCR|7aASPD|8SPLJET|9aVULN|aBPWR
14	23215 34162	 * 	214.23	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR|1SELL	1ZMB|2aDMG|3DUR|4SELL|5FEWX|6RCR|7aASPD|8DUST|9aVULN|aBPWR
15	23144 32315	 * 	214.20	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|28DMG|3MDPS|4CDMG|5RCVC|6RCR|7AART|9VULN|aASPD
16	23562 32111	 * 	213.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1ZMB|24aDMG|37VULN|5MLV|6AART|8DUR|9RCR
17	23562 33411	   	213.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	1ZMB|24aDMG|38VULN|5MLV|6AART|7DUR|9RCR
