0	Index      	 *	Score 	Summary	Detail	
1	12616 51332	 * 	211.11	DCR|3VULN|3DMG|1AART	178AME|2LHND|378VULN|4RMIN|5DMSP|678DMG|78BPWR|9AART|aRCR
2	21342 31255	 * 	201.54	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	16DUR|2LWND|3ZMB|456VULN|6BPWR|7MSLFST|8RCR|9CDMG|aAART
3	23342 31255	   	201.54	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	16DUR|2LHND|3ZMB|456VULN|6BPWR|7MSLFST|8RCR|9CDMG|aAART
4	15321 13225	 * 	197.44	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	1AME|24ZMB|3AELBLL|57VULN|6RCR|8DMG|9CDMG|aAART
5	53321 13225	   	197.44	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	14ZMB|2MLV|3AELBLL|57VULN|6RCR|8DMG|9CDMG|aAART
6	54321 13225	   	197.44	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	14ZMB|2CGEN|3AELBLL|57VULN|6RCR|8DMG|9CDMG|aAART
7	51321 13225	   	197.34	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	14ZMB|2ERES|3AELBLL|57VULN|6RCR|8DMG|9CDMG|aAART
8	15361 13225	   	197.11	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AME|2ZMB|3AELBLL|4RCVC|57VULN|6RCR|8DMG|9CDMG|aAART
9	53361 13225	   	197.11	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MLV|3AELBLL|4RCVC|57VULN|6RCR|8DMG|9CDMG|aAART
10	51361 13225	   	197.01	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3AELBLL|4RCVC|57VULN|6RCR|8DMG|9CDMG|aAART
11	22342 51633	   	196.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DUST|3ZMB|458VULN|6BELT|7DMG|9AART|aRCR
12	25242 31233	 * 	195.02	DCR|3VULN|1AART|1ASPD|2DUR	16DUR|2ASPD|3BEXP|456VULN|6BPWR|7MSLFST|8RCR|9FEWX|aAART
13	25242 31223	   	194.92	DCR|3VULN|1AART|1ASPD|2DUR	16DUR|2ASPD|3BEXP|456VULN|6BPWR|7MSLFST|8RCR|9DUST|aAART
14	21242 61332	 * 	194.10	DCR|5VULN|1MDPS|3DUR	178DUR|2LWND|378MLV|45678VULN|78BPWR|9RCR|aMDPS
15	23242 61332	   	194.10	DCR|5VULN|1MDPS|3DUR	178DUR|2LHND|378MLV|45678VULN|78BPWR|9RCR|aMDPS
16	15321 16521	 * 	193.13	DCR|2AART|1VULN|1DMG|1CDMG|2ZMB	1AME|24ZMB|3AELBLL|5VULN|6RCR|78AART|9DMG|aCDMG
