0	Index      	 *	Score 	Summary	Detail	
1	61332 11453	 * 	252.19	DCR|4VULN|3ASPD|2DMG|2DUR	12aASPD|35DUR|456aVULN|5aBPWR|7aDMG|8RCR|9RMIN
2	61332 11433	   	252.09	DCR|4VULN|3ASPD|2DMG|2DUR|1AAC	12aASPD|35DUR|456aVULN|5aBPWR|7aDMG|8RCR|9AAC
3	61331 11453	   	246.84	DCR|4VULN|3ASPD|2DMG|1DUR	12aASPD|3DUR|456aVULN|7aDMG|8RCR|9RMIN|aBPWR
4	61331 11433	   	246.74	DCR|4VULN|3ASPD|2DMG|1AAC|1DUR	12aASPD|3DUR|456aVULN|7aDMG|8RCR|9AAC|aBPWR
5	61332 11412	 * 	245.25	DCR|4VULN|2ASPD|1AART|1DMG|2DUR	12ASPD|35DUR|456aVULN|5BPWR|7DMG|8RCR|9AART
6	62332 11412	   	240.01	DCR|4VULN|2ASPD|1AART|1DMG|1DUR	15ASPD|2AELBLL|3DUR|456aVULN|5BPWR|7DMG|8RCR|9AART
7	61331 11412	   	239.91	DCR|4VULN|2ASPD|1AART|1DMG|1DUR	12ASPD|3DUR|456aVULN|7DMG|8RCR|9AART
8	61432 11433	   	238.54	DCR|4VULN|3ASPD|2DMG|1AAC	12aASPD|35FEWX|456aVULN|5aBPWR|7aDMG|8RCR|9AAC
9	61431 11433	   	238.44	DCR|4VULN|3ASPD|2DMG|1AAC	12aASPD|3FEWX|456aVULN|7aDMG|8RCR|9AAC|aBPWR
10	61332 11413	   	236.18	DCR|3VULN|2ASPD|1AART|1DMG|2DUR|1AAC	12ASPD|35DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aAAC
11	61331 61433	   	236.14	DCR|3VULN|3ASPD|2DMG|2DUR|1AAC	12aASPD|36DUR|45aVULN|7aDMG|8RCR|9AAC|aBPWR
12	61432 11413	 * 	234.68	DCR|3VULN|1MDPS|2ASPD|1AART|1DMG	12ASPD|35FEWX|456VULN|5BPWR|7DMG|8RCR|9AART|aMDPS
13	62432 11413	   	234.68	DCR|3VULN|1MDPS|2ASPD|1AART|1DMG	15ASPD|2AELBLL|3FEWX|456VULN|5BPWR|7DMG|8RCR|9AART|aMDPS
14	61431 11413	   	234.58	DCR|3VULN|1MDPS|2ASPD|1AART|1DMG	12ASPD|3FEWX|456VULN|7DMG|8RCR|9AART|aMDPS
15	62332 11453	   	231.09	DCR|3VULN|3ASPD|2DMG|1DUR	15aASPD|2aAELBLL|3DUR|456VULN|5aBPWR|7aDMG|8RCR|9RMIN
16	62332 11433	   	230.99	DCR|3VULN|3ASPD|2DMG|1AAC|1DUR	15aASPD|2aAELBLL|3DUR|456VULN|5aBPWR|7aDMG|8RCR|9AAC
17	62332 11413	   	230.94	DCR|3VULN|2ASPD|1AART|1DMG|1AAC|1DUR	15ASPD|2AELBLL|3DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aAAC
18	61331 11413	   	230.84	DCR|3VULN|2ASPD|1AART|1DMG|1AAC|1DUR	12ASPD|3DUR|456VULN|7DMG|8RCR|9AART|aAAC
19	61332 11411	   	229.40	DCR|3VULN|2ASPD|1AART|1DMG|2DUR	12ASPD|35DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aRCVC
20	61332 11414	   	229.40	DCR|3VULN|2ASPD|1AART|1DMG|2DUR	12ASPD|35DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aSPLJET
21	61332 11415	   	229.40	DCR|3VULN|2ASPD|1AART|1DMG|2DUR	12ASPD|35DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aFEWX
22	61332 11416	   	229.40	DCR|3VULN|2ASPD|1AART|1DMG|2DUR	12ASPD|35DUR|456VULN|5BPWR|7DMG|8RCR|9AART|aRPLT
23	62332 61412	   	229.40	DCR|3VULN|2ASPD|1AART|1DMG|2DUR	15ASPD|2AELBLL|36DUR|45aVULN|5BPWR|7DMG|8RCR|9AART
24	61331 61412	   	229.30	DCR|3VULN|2ASPD|1AART|1DMG|2DUR	12ASPD|36DUR|45aVULN|7DMG|8RCR|9AART
25	62331 11412	   	225.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2AELBLL|3DUR|456aVULN|7DMG|8RCR|9AART
26	65111 11433	   	225.51	DCR|4VULN|2DMG|2ASPD|1AAC	1aASPD|24BEXP|356aVULN|7aDMG|8RCR|9AAC|aBPWR
27	65231 11433	   	225.51	DCR|4VULN|2DMG|2ASPD|1AAC	1aASPD|23BEXP|456aVULN|7aDMG|8RCR|9AAC|aBPWR
