0	Index      	 *	Score 	Summary	Detail	
1	51431 62333	 * 	229.03	DCR|3VULN|1MDPS|3CDMG|1AART|1ASPD	136CDMG|237VULN|3BPWR|4AART|5ASPD|8ERES|9RCR|aMDPS
2	51431 62113	 * 	228.37	DCR|3VULN|3CDMG|1AART|1ASPD|1DMG	136CDMG|237VULN|3BPWR|4AART|5ASPD|8BEXP|9DMG|aRCR
3	51431 62213	   	228.27	DCR|3VULN|3CDMG|1AART|1ASPD|1DMG	136CDMG|237VULN|3BPWR|4AART|5ASPD|8DUST|9DMG|aRCR
4	51431 62332	 * 	226.28	DCR|3VULN|2AART|3CDMG|1ASPD	136CDMG|237VULN|3BPWR|4aAART|5ASPD|8ERES|9RCR
5	51451 13232	 * 	225.72	DCR|4VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|238aVULN|3BPWR|4DMG|5LIT|6ASPD|7ZMB|9RCR
6	51452 23232	   	225.72	DCR|4VULN|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|238aVULN|3BPWR|4DMG|5ASPD|6LIT|7ZMB|9RCR
7	63662 23113	 * 	224.68	DCR|3VULN|3ASPD|1AART|1DMG	1DUST|245ASPD|346VULN|4BPWR|7AART|8RMIN|9DMG|aRCR
8	51151 13621	   	217.71	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|2aVULN|4DMG|5LIT|6ASPD|7ZMB|8RCR|9AART
9	51152 23621	   	217.71	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	13CDMG|2aVULN|4DMG|5ASPD|6LIT|7ZMB|8RCR|9AART
10	51131 11651	 * 	214.64	DCR|3AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	13CDMG|2VULN|468AART|5ASPD|7DUR|9RCR|aDMG
11	51433 22342	   	213.69	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	13CDMG|23VULN|3BPWR|4AART|5CANSTR|6RPLT|7DMG|8ASPD|9RCR|aDUR
12	51411 13431	   	213.58	DCR|3VULN|1AART|2CDMG|1ASPD|1ZMB	13CDMG|23aVULN|3BPWR|4AME|5LIT|6ASPD|7ZMB|8AART|9RCR
13	51412 23431	   	213.58	DCR|3VULN|1AART|2CDMG|1ASPD|1ZMB	13CDMG|23aVULN|3BPWR|4AME|5ASPD|6LIT|7ZMB|8AART|9RCR
14	51431 32532	   	211.73	DCR|2VULN|2AART|2CDMG|1ASPD|1ZMB	13CDMG|23VULN|3BPWR|4aAART|5ASPD|6ZMB|7DUST|8RPLT|9RCR
15	51431 61113	   	210.54	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG	136CDMG|23VULN|3BPWR|4AART|5ASPD|7MLV|8RMIN|9DMG|aRCR
16	51131 62113	   	210.44	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG	136CDMG|27VULN|4AART|5ASPD|8BEXP|9DMG|aRCR
17	51131 62613	   	210.44	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG	136CDMG|27VULN|4AART|5ASPD|8LWND|9DMG|aRCR
18	51136 62113	   	210.44	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG	136CDMG|27VULN|4AART|5DMG|8BEXP|9ASPD|aRCR
19	53631 62113	   	210.44	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG	126CDMG|37VULN|4AART|5ASPD|8BEXP|9DMG|aRCR
20	51131 62213	   	210.34	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG	136CDMG|27VULN|4AART|5ASPD|8DUST|9DMG|aRCR
21	51136 62213	   	210.34	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG	136CDMG|27VULN|4AART|5DMG|8DUST|9ASPD|aRCR
22	53631 62213	   	210.34	DCR|2VULN|3CDMG|1AART|1ASPD|1DMG	126CDMG|37VULN|4AART|5ASPD|8DUST|9DMG|aRCR
23	51431 62331	   	210.20	DCR|3VULN|3CDMG|1AART|1ASPD	136CDMG|237VULN|3BPWR|4AART|5ASPD|8ERES|9RCR|aFEWX
24	51131 62335	   	210.10	DCR|3VULN|3CDMG|1AART|1ASPD	136CDMG|27aVULN|4AART|5ASPD|8ERES|9RCR
