0	Index      	 *	Score 	Summary	Detail	
1	22261 18117	 * 	207.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3aAART|4DMG|5ASPD|6MBVNT|79VULN|8RCR
2	21352 62522	 * 	199.65	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|2BEXP|3CGEN|458VULN|69DMG|7ASPD|aRCR
3	22352 62522	   	199.65	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|2FEWX|3CGEN|458VULN|69DMG|7ASPD|aRCR
4	22261 18112	   	198.68	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|79VULN|8RCR|aAAC
5	22231 13861	 * 	196.65	DCR|3DMG|2ASPD|1AART|2DUR	19DUR|2FEWX|3AART|4RMIN|59ASPD|6MBVNT|789DMG|9BPWR|aRCR
6	22233 11861	   	196.65	DCR|3DMG|2ASPD|1AART|2DUR	19DUR|2FEWX|3AART|4RMIN|589DMG|6MBVNT|79ASPD|9BPWR|aRCR
7	22261 13361	   	196.65	DCR|3DMG|2ASPD|1AART|2DUR	19DUR|2FEWX|3AART|479DMG|59ASPD|6MBVNT|8RMIN|9BPWR|aRCR
8	22261 11361	 * 	193.92	DCR|3ASPD|2DMG|1AART|2DUR	19DUR|2FEWX|3AART|49DMG|579ASPD|6MBVNT|8RMIN|9BPWR|aRCR
9	22263 31551	 * 	193.82	DCR|3ASPD|2DMG|1AART|1NUKE|2DUR	19DUR|2FEWX|3AART|49DMG|5NUKE|6LEGI|789ASPD|9BPWR|aRCR
10	21266 83114	 * 	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DUR|2BEXP|3AART|4CDMG|5MBVNT|6RCR|7ASPD|8aVULN|9LWND
11	21266 83124	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DUR|2BEXP|3AART|4CDMG|5MBVNT|6RCR|7ASPD|8aVULN|9FEWX
12	22261 18111	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|79VULN|8RCR|aLWND
13	22261 18113	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|79VULN|8RCR|aCGEN
14	22261 18114	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|79VULN|8RCR|aLIT
15	22261 18115	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|79VULN|8RCR|aRPLT
16	22261 18116	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|79VULN|8RCR|aAME
17	22261 18127	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|7aVULN|8RCR|9SPLJET
18	22261 18148	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|7aVULN|8RCR|9LHND
19	22261 15118	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3AART|4DMG|5ASPD|6MBVNT|7LEGI|8RCR|9aVULN
