0	Index      	 *	Score 	Summary	Detail	
1	52622 22226	 * 	306.65	DCR|2LIT|3VULN|2FLTARM|2CDMG	12aVULN|36CDMG|4aLIT|5RPLT|7aFLTARM|8RMIN|9RCR|aBPWR
2	22135 31245	 * 	305.35	DCR|3LIT|2VULN|2DMG|1MLV	1DMSP|23aLIT|4CANARM|5aDMG|6MLV|7RCR|8ZMB|9aVULN|aBPWR
3	52362 23234	 * 	300.35	DCR|2LIT|3MLV|2VULN|1DMG|1AART	12VULN|346MLV|56LIT|6BPWR|7DMG|8BEXP|9RCR|aAART
4	61313 31523	 * 	299.86	DCR|2LIT|2FLTARM|1MLV|1VULN|1DMG	12FLTARM|2BPWR|3DUR|4DMG|56LIT|7MLV|8MBVNT|9RCR|aVULN
5	52351 32336	 * 	299.65	DCR|2LIT|3VULN|2DMG|1MLV	12aVULN|3MLV|4LEGI|5aLIT|6FEWX|7BEXP|8aDMG|9RCR|aBPWR
6	43232 45113	 * 	297.30	DCR|3LIT|2MLV|2DMG|1VULN	1aMLV|268LIT|3BELT|4DMSP|56DMG|6BPWR|7RCR|9VULN
7	32413 43153	 * 	288.00	DCR|4VULN|1LIT|1MLV|2ASPD	1FEWX|248aVULN|34ASPD|4BPWR|5FLTHEA|6MLV|7RCR|9LIT
8	61313 31525	   	287.83	DCR|2LIT|2FLTARM|1MLV|1DMG|1NUKE	12FLTARM|2BPWR|3DUR|4DMG|56LIT|7MLV|8MBVNT|9RCR|aNUKE
9	52334 32311	   	285.20	DCR|4VULN|1LIT|1MLV|1DMG	127aVULN|3MLV|4DMG|5TLV|6ZMB|8LIT|9RCR
10	52313 32311	   	285.10	DCR|4VULN|1LIT|1MLV|1DMG	127aVULN|3MLV|4ERES|5DMG|6ZMB|8LIT|9RCR
11	52332 32311	   	285.10	DCR|4VULN|1LIT|1MLV|1DMG	127aVULN|3MLV|4DMG|5ERES|6ZMB|8LIT|9RCR
12	52362 21332	   	284.15	DCR|2LIT|3MLV|2VULN|1DMG	12VULN|346MLV|56LIT|6BPWR|7aLWND|8DMG|9RCR
