0	Index      	 *	Score 	Summary	Detail	
1	31251 41236	 * 	284.61	DCR|3VULN|1LIT|2ASPD|3CDMG|1DMG	12aCDMG|2aBPWR|3DMG|4aASPD|5SPLREG|6RCR|7LIT|89aVULN
2	36222 32116	 * 	272.03	DCR|3LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|37aLIT|4BELT|5FLTARM|6DMG|8RCR|9VULN
3	36222 32113	   	268.38	DCR|2LIT|1FLTARM|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9VULN|aASPD
4	31251 41163	 * 	267.25	DCR|1LIT|2DMG|1VULN|1MLV|2CDMG|1ASPD	12CDMG|2BPWR|3aDMG|4ASPD|5SPLREG|6RCR|7LIT|8MLV|9VULN
5	31251 41235	 * 	266.65	DCR|2LIT|2VULN|1DMG|2CDMG|1ASPD	12CDMG|2BPWR|3DMG|4ASPD|5SPLREG|6RCR|7aLIT|89VULN
6	36222 32115	   	261.67	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9VULN|aZMB
7	36222 32122	 * 	261.67	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9ZMB|aMLV
8	36222 32123	   	261.67	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9ZMB|aVULN
9	36222 32156	 * 	261.05	DCR|2LIT|1FLTARM|1MLV|1DMG|2CDMG	1aCDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9MLV
10	16323 52114	 * 	260.92	DCR|3LIT|2VULN|2DMG	1CGEN|259LIT|3TLV|4BEXP|69DMG|7ERES|89VULN|9BPWR|aRCR
11	16333 52114	   	260.92	DCR|3LIT|2VULN|2DMG	1CGEN|259LIT|3TLV|4FEWX|69DMG|7ERES|89VULN|9BPWR|aRCR
12	11611 13143	 * 	260.10	DCR|2LIT|3VULN|1MLV	1CGEN|2LHND|348VULN|5RCVC|69LIT|7MLV|aRCR
13	11611 62143	   	260.10	DCR|2LIT|3VULN|1MLV	1CGEN|2LHND|348VULN|5RCVC|6MLV|79LIT|aRCR
14	52611 13143	   	260.10	DCR|2LIT|3VULN|1MLV	1LHND|2CGEN|348VULN|5RCVC|69LIT|7MLV|aRCR
15	12611 62143	   	260.00	DCR|2LIT|3VULN|1MLV	1CGEN|2DUST|348VULN|5RCVC|6MLV|79LIT|aRCR
16	33315 31612	 * 	257.82	ACR|3LIT|2VULN|1MLV|2CDMG	1aCDMG|246DUST|3RCR|56aLIT|6aBPWR|7LWND|8MLV|9aVULN
17	63633 21351	 * 	257.20	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2CRUSTR|348VULN|5CGEN|6DMG|7LIT|9MLV|aRCR
18	32613 44212	 * 	256.81	DCR|2LIT|1VULN|1MLV|2ASPD|1CDMG	1CDMG|2TLV|38ASPD|4DUST|5MLV|6aLIT|7RCR|9VULN
19	16632 16111	   	256.63	DCR|2LIT|1FLTARM|1VULN|1DMG|1ASPD	1CGEN|25LIT|35LWND|4RCVC|5BPWR|6DMG|7RCR|8VULN|9FLTARM|aASPD
20	31251 41162	   	256.61	DCR|1LIT|1VULN|1MLV|1DMG|2CDMG|1ASPD	12CDMG|2BPWR|3DMG|4ASPD|5SPLREG|6RCR|7LIT|8MLV|9VULN|aZMB
21	16633 16111	   	256.53	DCR|2LIT|1FLTARM|1VULN|1DMG|1ASPD	1CGEN|26LIT|3LWND|4RCVC|5DMG|7RCR|8VULN|9FLTARM|aASPD
22	43631 31511	 * 	255.10	DCR|2MLV|3VULN|1LIT	1ZMB|25LSRREG|345VULN|5BPWR|6LIT|7BEXP|89MLV|aRCR
23	43631 32511	   	255.10	DCR|2MLV|3VULN|1LIT	1ZMB|25LSRREG|345VULN|5BPWR|6LIT|7LWND|89MLV|aRCR
24	36222 31116	   	254.73	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|3aLIT|47BELT|5FLTARM|6DMG|8RCR|9VULN
25	36222 32111	   	254.73	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9VULN|aTLV
26	36222 32112	   	254.73	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4aBELT|5FLTARM|6DMG|8RCR|9VULN
27	36222 32132	   	254.73	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9CGEN|aMLV
28	36222 32133	   	254.73	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9CGEN|aVULN
29	36222 32151	   	254.73	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9MLV|aFEWX
30	36222 32153	   	254.73	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9MLV|aBEXP
31	36222 32154	   	254.73	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9MLV|aLWND
32	36222 32155	   	254.73	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9MLV|aRMIN
33	36222 32162	   	254.73	DCR|2LIT|1FLTARM|1MLV|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9TLV|aMLV
34	36222 32163	   	254.73	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9TLV|aVULN
35	11243 53411	   	254.73	DCR|2LIT|1FLTARM|1MLV|1DMG|1ASPD	1CGEN|2LHND|35LIT|4TLV|6DMG|7MLV|8RCR|9FLTARM|aASPD
36	36222 32152	 * 	254.73	DCR|2LIT|2MLV|1FLTARM|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9aMLV
37	36222 32144	   	254.63	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG	1CDMG|2RPLT|37LIT|4BELT|5FLTARM|6DMG|8RCR|9DUST|aVULN
