0	Index      	 *	Score 	Summary	Detail	
1	21155 23333	 * 	292.39	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD|1SELL	1SELL|2AART|37VULN|47MLV|57DMG|6RCR|7BPWR|8BELT|9ASPD|aLIT
2	21155 23363	 * 	289.20	DCR|2MLV|1LIT|2VULN|2DMG|1SELL	1SELL|2AART|37VULN|47MLV|57DMG|6RCR|7BPWR|8BELT|9ZMB|aLIT
3	32334 33626	 * 	282.07	DCR|3LIT|2VULN|3DMG	168LWND|24aDMG|3DUST|56aLIT|6aBPWR|7RCR|9aVULN
4	21155 23132	 * 	278.79	DCR|2MLV|1LIT|2VULN|2DMG|1SELL	1SELL|2AART|37VULN|47MLV|57DMG|6RCR|7BPWR|8LHND|9CGEN|aLIT
5	21155 23232	 * 	278.79	DCR|2MLV|1LIT|2VULN|2DMG|1SELL	1SELL|2AART|37VULN|47MLV|57DMG|6RCR|7BPWR|8LWND|9CGEN|aLIT
6	32162 31522	 * 	276.06	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1LWND|2DMG|3RPLT|4FLTARM|5LIT|6RCR|7MLV|8DLOT|9aVULN
7	32232 21516	 * 	275.42	DCR|3LIT|2VULN|1MLV|1DMG	16LWND|2DMG|3MLV|456LIT|6BPWR|7RPLT|89VULN|aRCR
8	32232 31516	   	275.32	DCR|3LIT|2VULN|1MLV|1DMG	1LWND|2DMG|3MLV|456LIT|7RPLT|89VULN|aRCR
9	32231 14426	   	272.46	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1LWND|2DMG|3MLV|4LIT|5LEGI|6FEWX|7FLTARM|8RCR|9aVULN
10	32231 34426	   	272.46	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1LWND|2DMG|3MLV|4LIT|5LEGI|6BEXP|7FLTARM|8RCR|9aVULN
11	21155 23612	 * 	270.63	DCR|2MLV|3VULN|3DMG|1SELL	1SELL|2AART|379VULN|47MLV|579DMG|6RCR|79BPWR|89CANSTR|aZMB
12	32224 35235	 * 	268.27	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1LWND|2aDMG|3MLV|4LEGI|5RCR|6DUST|7aVULN|8CDMG|9aLIT|aBPWR
