0	Index      	 *	Score 	Summary	Detail	
1	21633 64123	 * 	310.79	DCR|2LIT|4VULN|2ASPD|1DMG|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9LHND|aDMG
2	23412 12146	 * 	310.42	DCR|3LIT|2MLV|3VULN|1SELL	17aVULN|2RMIN|3aMLV|4RCVC|59aLIT|6SELL|8RCR|aBPWR
3	21633 34163	 * 	303.66	DCR|2LIT|3VULN|1MLV|2ASPD|1CDMG	127VULN|3CDMG|47ASPD|57LIT|6DMSP|7BPWR|8RCR|9RCVC|aMLV
4	52366 22133	 * 	296.84	DCR|1LIT|2VULN|2DMG|1FLTARM|1MLV|1SELL	12DMG|2BPWR|3MLV|4LIT|5SELL|67VULN|8RCR|9FLTARM|aZMB
5	21114 53143	 * 	295.50	DCR|4VULN|1LIT|1FLTARM|1MLV	126aVULN|3RPLT|4FLTARM|5LSRREG|7RCR|8MLV|9LIT
6	24412 12133	   	293.15	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	17VULN|2DMG|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aZMB
7	53412 12133	   	293.15	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|27VULN|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aZMB
8	24412 12135	   	292.52	DCR|1LIT|2VULN|1FLTARM|1MLV|2CDMG|1DMG	17VULN|2DMG|3MLV|4RCVC|5LIT|6aCDMG|8RCR|9FLTARM
9	53412 12135	   	292.52	DCR|1LIT|2VULN|1FLTARM|1MLV|2CDMG|1DMG	1DMG|27VULN|3MLV|4RCVC|5LIT|6aCDMG|8RCR|9FLTARM
10	21633 34123	   	291.63	DCR|2LIT|3VULN|2ASPD|1DMG|1CDMG	127VULN|3CDMG|47ASPD|57LIT|6DMSP|7BPWR|8RCR|9LHND|aDMG
11	21633 34142	   	291.53	DCR|2LIT|3VULN|2ASPD|1DMG|1CDMG	127VULN|3CDMG|47ASPD|57LIT|6DMSP|7BPWR|8RCR|9NUKE|aDMG
12	21633 63163	   	291.00	DCR|2LIT|3VULN|1MLV|1CDMG|1ASPD	126VULN|3CDMG|4ASPD|57LIT|8RCR|9RCVC|aMLV
13	21633 64121	   	290.73	DCR|2LIT|4VULN|2ASPD|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9LHND|aDMSP
14	21633 64122	   	290.73	DCR|2LIT|4VULN|2ASPD|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9aLHND
15	21633 64132	   	290.73	DCR|2LIT|4VULN|2ASPD|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9FEWX|aBEXP
16	21633 64133	   	290.73	DCR|2LIT|4VULN|2ASPD|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9FEWX|aLWND
17	21633 64112	   	290.63	DCR|2LIT|4VULN|2ASPD|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9DUR|aBEXP
18	21633 64113	   	290.63	DCR|2LIT|4VULN|2ASPD|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9DUR|aLWND
19	21633 64131	   	290.63	DCR|2LIT|4VULN|2ASPD|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9FEWX|aLEGI
20	21633 34143	   	290.63	DCR|2LIT|4VULN|2ASPD|1CDMG	127aVULN|3CDMG|47ASPD|57LIT|6DMSP|7BPWR|8RCR|9NUKE
21	21633 64111	   	290.53	DCR|2LIT|4VULN|2ASPD|1CDMG	1267VULN|3CDMG|47ASPD|57LIT|7BPWR|8RCR|9DUR|aLEGI
22	52366 22131	 * 	289.90	DCR|1LIT|2VULN|2DMG|1FLTARM|1MLV|1SELL	12DMG|2BPWR|3MLV|4LIT|5SELL|67VULN|8RCR|9FLTARM|aBEXP
23	52366 22132	 * 	289.90	DCR|1LIT|2VULN|1FLTARM|2DMG|1MLV|1SELL	12DMG|2BPWR|3MLV|4LIT|5SELL|67VULN|8RCR|9FLTARM|aLHND
24	24623 34431	 * 	288.87	ACR|2LIT|3VULN|1MLV|2ASPD|1DMG	19aVULN|2DMG|3RCR|49ASPD|5DUR|6MBVNT|7MLV|89LIT|9BPWR
25	21513 24111	 * 	287.96	DCR|3LIT|2VULN|1MLV|1ASPD|1CDMG	12VULN|346LIT|5RMIN|7RCR|8ASPD|9CDMG|aMLV
26	21513 24125	   	287.96	DCR|3LIT|2VULN|1MLV|1ASPD|1CDMG	12VULN|346LIT|5RMIN|7RCR|8ASPD|9MLV|aCDMG
27	21512 24311	   	287.86	DCR|3LIT|2VULN|1MLV|1ASPD|1CDMG	12VULN|346LIT|5ASPD|7RCR|8ERES|9CDMG|aMLV
28	21512 24325	   	287.86	DCR|3LIT|2VULN|1MLV|1ASPD|1CDMG	12VULN|346LIT|5ASPD|7RCR|8ERES|9MLV|aCDMG
29	13313 53232	 * 	287.56	DCR|3LIT|1FLTARM|1MLV|1VULN|1ASPD	1DUR|234LIT|5VULN|6RCR|7LHND|8ASPD|9FLTARM|aMLV
30	13314 56232	   	287.56	DCR|3LIT|1FLTARM|1MLV|1VULN|1ASPD	1DUR|234LIT|5LHND|6RCR|7VULN|8ASPD|9FLTARM|aMLV
31	13513 53232	   	287.56	DCR|3LIT|1FLTARM|1MLV|1VULN|2DUR|1ASPD	13DUR|234LIT|3BPWR|5VULN|6RCR|7LHND|8ASPD|9FLTARM|aMLV
32	24412 12131	   	286.21	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	17VULN|2DMG|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aBEXP
33	24412 12132	   	286.21	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	17VULN|2DMG|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aLHND
34	24412 12134	   	286.21	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	17VULN|2DMG|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aCGEN
35	24412 12136	   	286.21	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	17VULN|2DMG|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aFEWX
36	53412 12131	   	286.21	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|27VULN|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aBEXP
37	53412 12132	   	286.21	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|27VULN|3MLV|4RCVC|5LIT|6CDMG|8RCR|9FLTARM|aLHND
