0	Index      	 *	Score 	Summary	Detail	
1	21342 43362	 * 	286.33	橙橙2伤害1易伤1矿等1攻速	14伤害2狙击对毒3敌人爆炸5攻速6双倍秒伤7a核8矿等9易伤
2	21213 61235	 * 	285.72	橙橙2易伤1伤害1暴击	1伤害2狙击对毒3技能46易伤5挖尘7时间89核a暴击
3	26213 61235	   	285.72	橙橙2易伤1伤害1暴击	1伤害2散射对甲3技能46易伤5挖尘7时间89核a暴击
4	24216 63332	   	281.05	橙橙2易伤1伤害1矿等1策反	1伤害2双倍秒伤3策反45易伤6导弹对绿7a核8矿等9最后敌人
5	14363 33133	 * 	280.04	紫橙2易伤2伤害1矿等1平台	1a金币生成29核3随机矿4a伤害5平台6矿等7敌人爆炸8a易伤a序列升级
6	14363 36133	   	280.04	紫橙2易伤2伤害1矿等1平台	1a金币生成29核3随机矿4a伤害5平台6矿等7低血量敌人8a易伤a序列升级
7	21213 61234	   	278.62	橙橙2易伤1伤害2时间	1伤害2狙击对毒3技能46易伤5挖尘7a时间89核
8	26213 61234	   	278.62	橙橙2易伤1伤害2时间	1伤害2散射对甲3技能46易伤5挖尘7a时间89核
9	14363 24133	 * 	277.96	紫橙2易伤2矿等1伤害1平台	1a金币生成29核3随机矿4伤害5平台6挖青7a矿等8a易伤a序列升级
10	14363 32133	   	277.96	紫橙2易伤2矿等1伤害1平台	1a金币生成29核3随机矿4伤害5平台6a矿等7挖青8a易伤a序列升级
11	24214 63332	   	272.43	橙橙2伤害1易伤1矿等1策反	15伤害2双倍秒伤3策反4易伤6导弹对绿7a核8矿等9最后敌人
12	24212 43352	   	272.43	橙橙2伤害1易伤1矿等1策反	19伤害2双倍秒伤3策反4易伤5基地爆炸6狙击对黄7a核8矿等
13	21213 61231	   	272.07	橙橙2易伤1伤害	1伤害2狙击对毒3技能46易伤5挖尘7时间89核a雷电
14	21213 61233	   	272.07	橙橙2易伤1伤害	1伤害2狙击对毒3技能46易伤5挖尘7时间89核a额外掉落
15	21213 61236	   	272.07	橙橙2易伤1伤害	1伤害2狙击对毒3技能46易伤5挖尘7时间89核a低血量敌人
16	26213 61231	   	272.07	橙橙2易伤1伤害	1伤害2散射对甲3技能46易伤5挖尘7时间89核a雷电
17	26213 61233	   	272.07	橙橙2易伤1伤害	1伤害2散射对甲3技能46易伤5挖尘7时间89核a额外掉落
18	26213 61236	   	272.07	橙橙2易伤1伤害	1伤害2散射对甲3技能46易伤5挖尘7时间89核a低血量敌人
19	21213 61232	   	271.97	橙橙2易伤1伤害1策反	1伤害2狙击对毒3技能46易伤5挖尘7时间89核a策反
20	26213 61232	   	271.97	橙橙2易伤1伤害1策反	1伤害2散射对甲3技能46易伤5挖尘7时间89核a策反
21	22161 31562	   	268.89	橙橙2伤害1易伤1攻速	13伤害2低血量敌人4攻速5金币生成6双倍秒伤7a核8激光对冰9易伤
22	21342 45132	   	268.79	橙橙2伤害1易伤1攻速	14伤害2狙击对毒3敌人爆炸5攻速6双倍秒伤7易伤8a核9随机矿
23	24212 43333	   	268.49	橙橙1易伤1伤害1矿等1暴击1策反	1伤害2双倍秒伤3策反4易伤5基地爆炸6狙击对黄79核8矿等a暴击
24	24263 61132	   	263.52	橙橙2易伤1伤害1策反	1伤害2双倍秒伤3策反4导弹对绿5最后敌人67易伤8a核9随机矿
25	24216 63132	   	263.42	橙橙2易伤1伤害1策反	1伤害2双倍秒伤3策反45易伤6导弹对绿7a核8挖尘9随机矿
26	22232 63252	   	263.39	橙橙1易伤1伤害1矿等	1伤害2低血量敌人3最后敌人4易伤5核弹6导弹对绿7a核8矿等9时间
27	63232 63252	   	263.39	橙橙1易伤1伤害1矿等	1最后敌人2低血量敌人3伤害4易伤5核弹6导弹对绿7a核8矿等9时间
28	21542 43332	   	262.54	橙橙2伤害1矿等1攻速	14伤害2狙击对毒3时间5攻速6双倍秒伤7a核8矿等9最后敌人
29	32413 12516	   	262.43	橙橙1易伤1矿等1暴击1攻速	1暴击2攻速3双倍秒伤4最后敌人5额外掉落6易伤7矿等8a核9等级
30	25524 31133	   	262.20	紫橙2易伤2伤害1平台	12伤害37易伤4基地爆炸59核6技能8防空对甲a平台
31	25524 31333	   	262.20	紫橙2易伤2伤害1平台	12伤害37易伤4基地爆炸59核6技能8基础对甲a平台
32	21213 41235	   	259.51	橙橙1易伤1伤害1暴击	1伤害2狙击对毒36技能4易伤5挖尘7时间89核a暴击
33	26213 41235	   	259.51	橙橙1易伤1伤害1暴击	1伤害2散射对甲36技能4易伤5挖尘7时间89核a暴击
34	21342 11235	   	258.66	橙橙2伤害1暴击1攻速	14伤害2狙击对毒3敌人爆炸5攻速6挖尘7时间89核a暴击
35	26342 11235	   	258.66	橙橙2伤害1暴击1攻速	14伤害2散射对甲3敌人爆炸5攻速6挖尘7时间89核a暴击
