0	Index      	 *	Score 	Summary	Detail	
1	53353 62113	 * 	280.61	橙橙2易伤1暴击1攻速1全技能1策反	1低血量敌人2攻速39易伤4基地爆炸5策反67核8全技能a暴击
2	53353 62111	 * 	275.27	橙橙2易伤1攻速1全技能1策反	1低血量敌人2攻速39易伤4基地爆炸5策反67核8全技能a时间
3	44611 11132	 * 	269.63	橙橙2易伤1矿等	1寒冰对冰2矿等39易伤4赏金塔5双倍秒伤6时间7a核8金币生成
4	53353 62112	   	266.96	橙橙2易伤1攻速1全技能1策反	1低血量敌人2攻速39易伤4基地爆炸5策反67核8全技能a最后敌人
5	53353 62122	   	266.96	橙橙2易伤1攻速1全技能1策反	1低血量敌人2攻速3a易伤4基地爆炸5策反67核8全技能9技能
6	53353 62132	   	266.96	橙橙2易伤1攻速1全技能1策反	1低血量敌人2攻速3a易伤4基地爆炸5策反67核8全技能9雷电
7	36363 53321	   	258.65	橙橙2易伤2时间	1敌人爆炸2等级34易伤5随机矿6双倍物品7a时间89核
8	53353 62223	   	257.20	橙橙2易伤1攻速1策反	19低血量敌人2攻速3a易伤4基地爆炸5策反67核8双倍秒伤
9	12311 61453	   	253.46	橙橙2易伤1平台	1雷电2平台37额外掉落45易伤6掉矿8a核9低血量敌人
10	12311 61413	   	253.36	橙橙2易伤1平台	1雷电2平台37额外掉落45易伤6掉矿8a核9挖尘
11	53353 62322	 * 	253.21	橙橙1易伤2攻速1平台1策反	1低血量敌人29攻速3易伤4基地爆炸5策反67核8双倍矿a平台
12	36363 53323	   	252.10	橙橙2易伤	1敌人爆炸2等级34易伤5随机矿6双倍物品7时间89核a技能
13	65333 31132	   	252.00	橙橙2易伤	1等级2赏金塔3双倍秒伤49易伤5时间6加农对甲7a核8金币生成
14	65342 11132	   	252.00	橙橙2易伤	1等级2赏金塔3双倍秒伤4狙击对黄59易伤6时间7a核8金币生成
15	36363 53322	   	252.00	橙橙2易伤	1敌人爆炸2等级34易伤5随机矿6双倍物品7时间89核a技能点
16	25333 31132	   	251.90	橙橙2易伤	1掉矿2赏金塔3双倍秒伤49易伤5时间6加农对甲7a核8金币生成
17	25333 31632	   	251.90	橙橙2易伤	1掉矿2赏金塔3双倍秒伤49易伤5时间6加农对甲7a核8等级
18	25342 11132	   	251.90	橙橙2易伤	1掉矿2赏金塔3双倍秒伤4狙击对黄59易伤6时间7a核8金币生成
19	25342 11632	   	251.90	橙橙2易伤	1掉矿2赏金塔3双倍秒伤4狙击对黄59易伤6时间7a核8等级
20	25355 31132	   	251.90	橙橙2易伤	1掉矿2赏金塔3双倍秒伤4时间59易伤6加农对甲7a核8金币生成
21	26333 31132	   	251.90	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤49易伤5时间6加农对甲7a核8金币生成
22	26333 31632	   	251.90	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤49易伤5时间6加农对甲7a核8等级
23	26342 11132	   	251.90	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤4狙击对黄59易伤6时间7a核8金币生成
24	26342 11632	   	251.90	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤4狙击对黄59易伤6时间7a核8等级
25	26355 31132	   	251.90	橙橙2易伤	1掉矿2赏金邻近3双倍秒伤4时间59易伤6加农对甲7a核8金币生成
26	53353 62231	 * 	251.06	橙橙1易伤1伤害1攻速1策反	1低血量敌人2攻速3易伤4基地爆炸5策反67核8双倍秒伤9伤害a赏金邻近
27	53353 62232	 * 	251.06	橙橙1易伤1伤害1攻速1策反	1低血量敌人2攻速3易伤4基地爆炸5策反67核8双倍秒伤9伤害a金币生成
28	53353 62233	 * 	250.96	橙橙1易伤1伤害1攻速1策反1挖怪	1低血量敌人2攻速3易伤4基地爆炸5策反67核8双倍秒伤9伤害a挖怪
29	13312 26134	 * 	250.92	橙橙1易伤1伤害1攻速1策反1卖塔	1雷电28随机矿3卖塔4伤害5易伤6策反7a核9攻速
