0	Index      	 *	Score 	Summary	Detail	
1	27441 23436	 * 	279.98	橙4易伤3伤害3时间1平台	1加一2立即金币3平台49a伤害589a易伤69a时间7核9a序列升级
2	33541 21226	 * 	277.24	橙橙1易伤1伤害1矿等1暴击	1时间2伤害3矿等4暴击5易伤6a核7低血量敌人8额外掉落9随机矿
3	21744 38124	 * 	272.07	橙橙2易伤1伤害	1加一2时间3伤害49易伤5毒液对黄6a核7低血量敌人8等级
4	21744 84124	   	272.07	橙橙2易伤1伤害	1加一2时间3伤害49易伤5毒液对黄6敌人爆炸7a核8等级
5	21744 31438	   	271.97	橙橙2易伤1伤害	1加一2时间3伤害48易伤5毒液对黄6a核7赏金邻近9双倍秒伤
6	21744 34438	   	271.97	橙橙2易伤1伤害	1加一2时间3伤害48易伤5毒液对黄6a核7赏金塔9双倍秒伤
7	21744 35124	   	271.97	橙橙2易伤1伤害	1加一2时间3伤害49易伤5毒液对黄6a核7挖青8等级
8	22764 44124	   	271.97	橙橙2易伤1伤害	1加一2挖尘3伤害4时间5加农对壮69易伤7a核8等级
9	21251 44571	   	265.55	橙橙2易伤1暴击	1加一2时间3激光减费4暴击58易伤6雷电7a核9多重对甲
10	33551 14122	 * 	257.19	橙2易伤3矿等1伤害2时间1全技能1平台	18时间2伤害389矿等4全技能58易伤6平台7额外掉落8序列升级a核
11	63635 32313	   	255.76	橙橙1易伤2时间1暴击1全技能	1防空对愈2全技能3易伤47时间5最后敌人6暴击8随机矿9a核
12	21744 36335	   	255.52	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7平台8敌人爆炸9喷火对愈
13	21744 36435	   	255.52	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7平台8低血量敌人9喷火对愈
14	21744 38435	   	255.52	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7低血量敌人8平台9喷火对愈
15	21744 84435	   	255.52	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6敌人爆炸7a核8平台9喷火对愈
16	21744 35435	   	255.42	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7挖青8平台9喷火对愈
17	21744 36315	   	255.42	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7平台8敌人爆炸9基础对甲
18	21744 36415	   	255.42	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7平台8低血量敌人9基础对甲
19	21744 38415	   	255.42	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7低血量敌人8平台9基础对甲
20	22764 44435	   	255.42	橙橙1易伤1伤害1平台	1加一2挖尘3伤害4时间5加农对壮6易伤7a核8平台9喷火对愈
21	21744 84415	   	255.42	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6敌人爆炸7a核8平台9基础对甲
22	21744 35415	   	255.32	橙橙1易伤1伤害1平台	1加一2时间3伤害4易伤5毒液对黄6a核7挖青8平台9基础对甲
23	22764 44415	   	255.32	橙橙1易伤1伤害1平台	1加一2挖尘3伤害4时间5加农对壮6易伤7a核8平台9基础对甲
24	23543 63452	   	253.21	橙橙2易伤1全技能1策反	1加一2技能34易伤5赏金塔6全技能7a核8策反9随机矿
25	23543 63482	   	253.21	橙橙2易伤1全技能1策反	1加一2技能34易伤5赏金塔6全技能7a核8策反9金币生成
26	26727 12134	   	253.16	橙橙2易伤1平台	1加一2随机矿3双倍秒伤49易伤5爆破对壮68核7基础对愈a平台
27	21744 14684	   	252.41	橙橙1易伤1伤害2时间	1加一27时间3伤害4易伤5毒液对黄6等级8基地爆炸9a核
28	21744 31848	   	252.31	橙橙1易伤1伤害2时间	1加一29时间3伤害4易伤5毒液对黄6a核7赏金邻近8双倍秒伤
29	21744 34848	   	252.31	橙橙1易伤1伤害2时间	1加一29时间3伤害4易伤5毒液对黄6a核7赏金塔8双倍秒伤
30	23552 44124	   	252.00	橙橙2易伤	1加一2技能39易伤4时间5基地爆炸6导弹对黄7a核8等级
31	23554 84124	   	252.00	橙橙2易伤	1加一2技能39易伤4时间5毒液对黄6敌人爆炸7a核8等级
32	23243 44124	   	251.90	橙橙2易伤	1加一2技能3挖尘49易伤5时间6导弹对黄7a核8等级
33	23264 44124	   	251.90	橙橙2易伤	1加一2技能3挖尘4时间5加农对壮69易伤7a核8等级
34	23554 44124	   	251.90	橙橙2易伤	1加一2技能39易伤4时间5毒液对黄6挖尘7a核8等级
35	23654 44124	   	251.90	橙橙2易伤	1加一2技能3狙击对毒4挖尘5时间69易伤7a核8等级
36	26727 12133	   	251.80	橙橙2易伤	1加一2随机矿3双倍秒伤49易伤5爆破对壮68核7基础对愈a时间
37	21645 14124	   	251.76	橙橙2易伤1策反	1加一2时间3基地爆炸49易伤5爆破对壮6策反7a核8等级
38	21845 14124	   	251.76	橙橙2易伤1策反	1加一2时间3敌人爆炸49易伤5爆破对壮6策反7a核8等级
39	28744 84124	   	251.76	橙橙2易伤1策反	1加一2策反3时间49易伤5毒液对黄6敌人爆炸7a核8等级
40	28744 44124	   	251.66	橙橙2易伤1策反	1加一2策反3时间49易伤5毒液对黄6挖尘7a核8等级
41	23112 81271	 * 	250.68	紫橙3易伤1攻速	1加一26技能39核4攻速5寒冰对甲78a易伤
42	23116 81271	   	250.68	紫橙3易伤1攻速	1加一26技能39核4攻速5激光对冰78a易伤
43	23112 41271	   	250.58	紫橙3易伤1攻速	1加一2技能39核4攻速5寒冰对甲6激光减费78a易伤
44	23113 81271	   	250.58	紫橙3易伤1攻速	1加一26技能39核4攻速5散射对甲78a易伤
45	23116 41271	   	250.58	紫橙3易伤1攻速	1加一2技能39核4攻速5激光对冰6激光减费78a易伤
46	23113 41271	   	250.48	紫橙3易伤1攻速	1加一2技能39核4攻速5散射对甲6激光减费78a易伤
