0	Index      	 *	Score 	Summary	Detail	
1	33113 24416	 * 	295.56	橙橙3易伤1伤害1平台	1掉矿2平台3爆破对壮4立即金币57a易伤69核8伤害
2	23462 22261	   	289.55	橙橙2易伤1伤害1矿等1策反	13易伤2赏金邻近3序列升级4矿等5时间6基地爆炸79核8策反a伤害
3	33113 24116	   	289.15	橙橙3易伤1攻速1平台	1掉矿2平台3爆破对壮4立即金币57a易伤69核8攻速
4	33163 24116	   	289.05	橙橙3易伤1攻速1平台	14掉矿2平台3爆破对壮57a易伤69核8攻速
5	33113 24411	   	281.73	橙橙2易伤1伤害1平台	1掉矿2平台3爆破对壮4立即金币57易伤69核8伤害a时间
6	33163 24411	   	281.63	橙橙2易伤1伤害1平台	14掉矿2平台3爆破对壮57易伤69核8伤害a时间
7	23461 22261	   	281.25	橙橙2易伤1伤害1矿等1策反	13易伤2赏金邻近3序列升级4矿等5最后敌人6基地爆炸79核8策反a伤害
8	33113 24413	   	278.62	橙橙2易伤1伤害2平台	1掉矿2a平台3爆破对壮4立即金币57易伤69核8伤害
9	33163 24413	   	278.52	橙橙2易伤1伤害2平台	14掉矿2a平台3爆破对壮57易伤69核8伤害
10	33113 24616	   	275.50	橙橙3易伤1平台	1掉矿2平台3爆破对壮4立即金币57a易伤69核8技能
11	33113 24111	   	275.31	橙橙2易伤1攻速1平台	1掉矿2平台3爆破对壮4立即金币57易伤69核8攻速a时间
12	33163 24111	   	275.21	橙橙2易伤1攻速1平台	14掉矿2平台3爆破对壮57易伤69核8攻速a时间
13	21225 13262	 * 	274.73	紫橙3易伤1伤害1矿等	18a易伤2等级3金币生成49核5伤害6矿等7赏金塔
14	23422 22266	   	274.10	橙橙3易伤1策反	13a易伤2赏金邻近3序列升级4金币生成5时间6基地爆炸79核8策反
15	33113 24412	   	273.42	橙橙2易伤1伤害1平台	1掉矿2平台3爆破对壮4立即金币57易伤69核8伤害a赏金塔
16	33113 24414	   	273.42	橙橙2易伤1伤害1平台	1掉矿2平台3爆破对壮4立即金币57易伤69核8伤害a敌人爆炸
17	33113 24415	   	273.42	橙橙2易伤1伤害1平台	1掉矿2平台3爆破对壮4a立即金币57易伤69核8伤害
18	33163 24412	   	273.32	橙橙2易伤1伤害1平台	14掉矿2平台3爆破对壮57易伤69核8伤害a赏金塔
19	33113 24113	   	272.20	橙橙2易伤2平台1攻速	1掉矿2a平台3爆破对壮4立即金币57易伤69核8攻速
20	23422 22461	   	272.17	橙橙2易伤1伤害	13易伤2赏金邻近3序列升级4金币生成5时间6基地爆炸79核8核弹a伤害
21	33163 24113	   	272.10	橙橙2易伤2平台1攻速	14掉矿2a平台3爆破对壮57易伤69核8攻速
22	23422 22261	   	272.02	橙橙2易伤1伤害1策反	13易伤2赏金邻近3序列升级4金币生成5时间6基地爆炸79核8策反a伤害
23	23462 22262	   	269.49	橙橙2易伤1矿等1策反	13易伤2赏金邻近3序列升级4矿等5时间6基地爆炸79核8策反a立即金币
24	23462 22263	   	269.49	橙橙2易伤1矿等1策反	13易伤2赏金邻近3序列升级4矿等5时间6基地爆炸79核8策反a额外掉落
25	23422 22264	   	269.49	橙橙2易伤1矿等1策反	13易伤2赏金邻近3序列升级4金币生成5时间6基地爆炸79核8策反a矿等
26	21462 22362	   	268.31	紫橙3易伤1矿等1攻速	17a易伤2等级39核4赏金塔5矿等6金币生成8攻速
27	21462 12362	   	268.21	紫橙3易伤1矿等1攻速	17a易伤2等级39核4赏金塔5矿等6掉矿8攻速
28	21225 13162	 * 	268.20	紫橙2易伤2矿等1伤害	1a易伤2等级3金币生成49核5伤害68矿等7赏金塔
29	21561 13342	 * 	267.84	橙4易伤2伤害2矿等	159a易伤2等级39矿等4技能6赏金邻近79伤害8核9序列升级
30	23442 33342	   	267.84	橙4易伤2伤害2矿等	139a易伤2赏金邻近39序列升级4双倍矿5基地爆炸69矿等79伤害8核
31	23153 33342	   	267.74	橙4易伤2伤害2矿等	159a易伤2赏金邻近3挖尘4双倍矿69矿等79伤害8核9序列升级
32	23163 33342	   	267.64	橙4易伤2伤害2矿等	159a易伤2赏金邻近34挖尘69矿等79伤害8核9序列升级
33	33113 24112	   	267.01	橙橙2易伤1攻速1平台	1掉矿2平台3爆破对壮4立即金币57易伤69核8攻速a赏金塔
34	33113 24114	   	267.01	橙橙2易伤1攻速1平台	1掉矿2平台3爆破对壮4立即金币57易伤69核8攻速a敌人爆炸
35	33113 24115	   	267.01	橙橙2易伤1攻速1平台	1掉矿2平台3爆破对壮4a立即金币57易伤69核8攻速
36	33163 24112	   	266.91	橙橙2易伤1攻速1平台	14掉矿2平台3爆破对壮57易伤69核8攻速a赏金塔
37	33163 24114	   	266.91	橙橙2易伤1攻速1平台	14掉矿2平台3爆破对壮57易伤69核8攻速a敌人爆炸
38	33163 24115	   	266.91	橙橙2易伤1攻速1平台	14掉矿2平台3爆破对壮57易伤69核8攻速a立即金币
39	21225 13263	   	266.24	紫橙2易伤1伤害1矿等1暴击	18易伤2等级3金币生成49核5伤害6矿等7赏金塔a暴击
40	21511 13342	   	265.88	橙4易伤2伤害1矿等1攻速	159a易伤29等级3矿等4攻速6赏金邻近79伤害8核9序列升级
