0	Index      	 *	Score 	Summary	Detail	
1	22553 26312	 * 	292.05	橙橙3易伤1伤害	1防空对愈2技能35基地爆炸49a易伤68核7伤害
2	53342 32613	 * 	286.66	紫橙3易伤1伤害1暴击1平台	137敌人爆炸237易伤37序列升级48核57掉矿6平台9暴击a伤害
3	22334 26341	   	282.24	橙橙2易伤1伤害1暴击	1防空对愈2技能35最后敌人4a易伤68核7伤害9暴击
4	22334 26314	   	276.90	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a时间
5	23324 26341	   	276.12	橙橙1易伤1伤害1攻速1暴击	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9暴击a易伤
6	22334 26316	   	275.53	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a核弹
7	23324 26313	 * 	274.92	橙橙1易伤2攻速1伤害	1防空对愈2立即金币3a攻速4基地爆炸5时间68核7伤害9易伤
8	23354 26313	   	274.92	橙橙1易伤2攻速1伤害	1防空对愈2立即金币3a攻速4低血量敌人5时间68核7伤害9易伤
9	23324 26314	   	272.13	橙橙1易伤1伤害1攻速1平台	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9易伤a平台
10	53242 11433	   	271.60	橙橙1易伤1伤害1矿等1暴击	1敌人爆炸2易伤3赏金邻近4矿等5伤害6加一7a核8爆破对壮9暴击
11	22334 26311	   	268.59	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a敌人爆炸
12	22553 26311	   	268.59	橙橙2易伤1伤害	1防空对愈2技能35基地爆炸49易伤68核7伤害a额外掉落
13	22553 26313	   	268.59	橙橙2易伤1伤害	1防空对愈2技能35基地爆炸49易伤68核7伤害a雷电
14	22334 26312	   	268.49	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a掉矿
15	22334 26313	   	268.49	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a双倍秒伤
16	23323 26341	   	267.81	橙橙1易伤1伤害1攻速1暴击	1防空对愈2立即金币3攻速4基地爆炸5最后敌人68核7伤害9暴击a易伤
17	23353 26341	   	267.81	橙橙1易伤1伤害1攻速1暴击	1防空对愈2立即金币3攻速4低血量敌人5最后敌人68核7伤害9暴击a易伤
18	23323 26313	   	266.62	橙橙1易伤2攻速1伤害	1防空对愈2立即金币3a攻速4基地爆炸5最后敌人68核7伤害9易伤
19	23353 26313	   	266.62	橙橙1易伤2攻速1伤害	1防空对愈2立即金币3a攻速4低血量敌人5最后敌人68核7伤害9易伤
20	53342 32612	   	266.60	紫橙3易伤1暴击1平台	137敌人爆炸237易伤37序列升级48核57掉矿6平台9暴击a基地爆炸
21	53342 32611	   	266.50	紫橙3易伤1暴击1平台	137敌人爆炸237易伤37序列升级48核57a掉矿6平台9暴击
22	14215 11483	   	265.18	橙橙1易伤1矿等1攻速1暴击	1赏金塔2攻速3矿等4基地爆炸5易伤6加一7a核8爆破对壮9暴击
23	53313 31154	 * 	264.95	橙4易伤2伤害1暴击1平台	13敌人爆炸2368易伤3序列升级45伤害7核9平台a暴击
24	22334 26342	   	263.82	橙橙1易伤1伤害1暴击1平台	1防空对愈2技能35最后敌人4易伤68核7伤害9暴击a平台
25	23323 26314	   	263.82	橙橙1易伤1伤害1攻速1平台	1防空对愈2立即金币3攻速4基地爆炸5最后敌人68核7伤害9易伤a平台
26	23353 26314	   	263.82	橙橙1易伤1伤害1攻速1平台	1防空对愈2立即金币3攻速4低血量敌人5最后敌人68核7伤害9易伤a平台
27	22553 26322	   	263.82	橙橙1易伤1伤害1暴击1全技能	1防空对愈2技能35基地爆炸4易伤68核7伤害9全技能a暴击
28	23324 26331	 * 	262.64	橙橙2伤害1矿等1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7a伤害9矿等
29	23354 26331	   	262.64	橙橙2伤害1矿等1攻速	1防空对愈2立即金币3攻速4低血量敌人5时间68核7a伤害9矿等
30	22514 26313	   	262.47	橙橙1易伤1伤害1攻速	1防空对愈2技能34基地爆炸5时间68核7伤害9易伤a攻速
31	23324 26311	   	262.47	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9易伤a金币生成
32	23324 26312	   	262.47	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9易伤a雷电
33	23324 26315	   	262.47	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9易伤a赏金塔
34	23324 26316	   	262.47	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4a基地爆炸5时间68核7伤害9易伤
35	23354 26311	   	262.47	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4低血量敌人5时间68核7伤害9易伤a金币生成
36	23354 26312	   	262.47	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4低血量敌人5时间68核7伤害9易伤a雷电
37	22334 26323	   	262.47	橙橙1易伤1伤害1攻速	1防空对愈2技能35最后敌人4易伤68核7伤害9时间a攻速
