0	Index      	 *	Score 	Summary	Detail	
1	11531 65132	 * 	221.12	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	16aBEXP|2LIT|3RCR|4CGEN|5AAC|7DMG|8AART|9BASARM
2	12612 43324	 * 	214.08	ACR|3BEXP|2DMG|2VULN|1CDMG|1AART|1AAC	12aBEXP|3aDMG|4CDMG|5RCR|6AART|7FEWX|8AAC|9aVULN|aBPWR
3	11536 25132	   	212.81	ACR|1BASARM|3BEXP|1DMG|1AART	15aBEXP|2LIT|3RCR|4CGEN|6RMIN|7DMG|8AART|9BASARM
4	14125 15123	 * 	212.71	ACR|1BASARM|3BEXP|2VULN|1AART	169BEXP|2CGEN|3RCR|4DUST|56VULN|6BPWR|7RPLT|8AART|aBASARM
5	15125 15123	   	212.61	ACR|1BASARM|3BEXP|2VULN|1AART	169BEXP|2TLV|3RCR|4DUST|56VULN|6BPWR|7RPLT|8AART|aBASARM
6	12612 33634	 * 	212.08	ACR|3BEXP|2ASPD|1DMG|2CDMG|1AART	12aBEXP|3DMG|4aCDMG|5RCR|6ZMB|7TLV|8aASPD|9AART|aBPWR
7	11531 55132	   	209.95	ACR|1BASARM|2BEXP|1DMG|1AART|1AAC	1aBEXP|26LIT|3RCR|46CGEN|5AAC|6BPWR|7DMG|8AART|9BASARM
8	11531 65131	   	209.85	ACR|1BASARM|2BEXP|1DMG|1AART|1AAC	16BEXP|2LIT|3RCR|4CGEN|5AAC|7DMG|8AART|9BASARM|aRMIN
9	11531 65133	   	209.85	ACR|1BASARM|2BEXP|1DMG|1AART|1AAC	16BEXP|2LIT|3RCR|4CGEN|5AAC|7DMG|8AART|9BASARM|aFEWX
10	12612 41124	   	205.57	ACR|3BEXP|2DMG|2VULN|1AART|1CDMG	12aBEXP|3aDMG|4CDMG|5RCR|6AART|7NUKE|8DUST|9aVULN|aBPWR
11	35133 65313	 * 	202.76	ACR|1BASARM|1ASPD|2AAC|1AART|1CDMG	1DUR|2TLV|3RCR|49AAC|5LWND|6AART|7BASARM|8ASPD|aCDMG
12	25131 65122	 * 	202.04	ACR|1BASARM|2BEXP|2AART|1AAC	1DUST|2TLV|3RCR|4AAC|59BEXP|6aAART|7BASARM|8RPLT
13	11536 25133	   	201.54	ACR|1BASARM|2BEXP|1DMG|1AART	15BEXP|2LIT|3RCR|4CGEN|6RMIN|7DMG|8AART|9BASARM|aFEWX
14	11535 25132	   	201.54	ACR|1BASARM|2BEXP|1DMG|1AART	1aBEXP|2LIT|3RCR|4CGEN|5RCVC|6RMIN|7DMG|8AART|9BASARM
15	11536 25131	   	201.44	ACR|1BASARM|2BEXP|1DMG|1AART	15BEXP|2LIT|3RCR|4CGEN|6RMIN|7DMG|8AART|9BASARM|aMDPS
16	15121 33334	   	201.24	ACR|1BASARM|2BEXP|1DMG|1AART	15BEXP|2TLV|3RCR|4DUST|6AART|7CGEN|8SNIFST|9BASARM|aDMG
17	25111 33334	   	201.24	ACR|1BASARM|2BEXP|1DMG|1AART	1DUST|2TLV|3RCR|45BEXP|6AART|7CGEN|8SNIFST|9BASARM|aDMG
18	15121 32334	   	201.14	ACR|1BASARM|2BEXP|1DMG|1AART	15BEXP|2TLV|3RCR|4DUST|6AART|7ERES|8SNIFST|9BASARM|aDMG
19	25111 32334	   	201.14	ACR|1BASARM|2BEXP|1DMG|1AART	1DUST|2TLV|3RCR|45BEXP|6AART|7ERES|8SNIFST|9BASARM|aDMG
20	11536 26132	   	201.05	ACR|1BASARM|3BEXP|1AART|1AAC	15aBEXP|2LIT|3RCR|4CGEN|6RMIN|7AAC|8AART|9BASARM
21	21534 14332	   	200.01	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG|1SELL	1DUST|2LIT|3RCR|4AART|5CDMG|6SELL|7MLV|8ASPD|9BASARM|aBEXP
22	14121 45123	   	199.59	ACR|1BASARM|3BEXP|1AART	159BEXP|2CGEN|3RCR|4DUST|6VULN|7RPLT|8AART|aBASARM
23	24111 45123	   	199.59	ACR|1BASARM|3BEXP|1AART	1DUST|2CGEN|3RCR|459BEXP|6VULN|7RPLT|8AART|aBASARM
24	15121 45123	   	199.49	ACR|1BASARM|3BEXP|1AART	159BEXP|2TLV|3RCR|4DUST|6VULN|7RPLT|8AART|aBASARM
25	25111 45123	   	199.49	ACR|1BASARM|3BEXP|1AART	1DUST|2TLV|3RCR|459BEXP|6VULN|7RPLT|8AART|aBASARM
26	52121 45123	   	199.49	ACR|1BASARM|3BEXP|1AART	1ERES|259BEXP|3RCR|4DUST|6VULN|7RPLT|8AART|aBASARM
27	14142 22511	   	199.06	ACR|1BASARM|3BEXP|1DMG	16aBEXP|2CGEN|3RCR|4AME|5BELT|7BASARM|8DMG|9DMSP
28	15142 22511	   	198.96	ACR|1BASARM|3BEXP|1DMG	16aBEXP|2TLV|3RCR|4AME|5BELT|7BASARM|8DMG|9DMSP
29	52142 22511	   	198.96	ACR|1BASARM|3BEXP|1DMG	1ERES|26aBEXP|3RCR|4AME|5BELT|7BASARM|8DMG|9DMSP
30	52142 22521	   	198.86	ACR|1BASARM|3BEXP|1DMG	19ERES|26aBEXP|3RCR|4AME|5BELT|7BASARM|8DMG
31	25131 65132	 * 	198.65	ACR|1BASARM|3AART|1BEXP|1AAC	1DUST|2TLV|3RCR|4AAC|5BEXP|69aAART|7BASARM|8RPLT
32	12612 46312	   	198.37	ACR|2BEXP|2CDMG|1DMG|1ASPD|1AART|1AAC	12BEXP|3DMG|4aCDMG|5RCR|6AART|7VULN|8AAC|9ASPD
33	21563 21621	 * 	197.38	ACR|1BASARM|2ASPD|1AART	1DUST|2LIT|3RCR|4RCVC|5MDPS|6VULN|7AART|89ASPD|aBASARM
34	61522 41231	   	197.38	ACR|1BASARM|2ASPD|1BEXP	1LHND|2LIT|3RCR|4DUST|58ASPD|6BEXP|7VULN|9DLOT|aBASARM
35	21523 21621	   	197.28	ACR|1BASARM|2ASPD|1AART	14DUST|2LIT|3RCR|5MDPS|6VULN|7AART|89ASPD|aBASARM
36	21523 63621	   	197.28	ACR|1BASARM|2ASPD|1AART	14DUST|2LIT|3RCR|5MDPS|6AART|7VULN|89ASPD|aBASARM
37	21522 31364	 * 	196.86	ACR|1BASARM|2ASPD|1DMG	14DUST|25LIT|3RCR|6ZMB|78ASPD|9DMG|aBASARM
38	12612 62221	 * 	196.00	ACR|2DMG|2BEXP|1BASICY|1CDMG|1AAC	12BEXP|3aDMG|4CDMG|5RCR|6AAC|7FEWX|8VULN|9BASICY
39	12612 65221	   	196.00	ACR|2DMG|2BEXP|1BASICY|1CDMG|1AAC	12BEXP|3aDMG|4CDMG|5RCR|6AAC|7LWND|8VULN|9BASICY
40	11531 55131	   	195.11	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1BEXP|26LIT|3RCR|46CGEN|5AAC|6BPWR|7DMG|8AART|9BASARM|aRMIN
41	11531 55133	   	195.11	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1BEXP|26LIT|3RCR|46CGEN|5AAC|6BPWR|7DMG|8AART|9BASARM|aFEWX
42	15133 65231	   	194.91	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1BEXP|2TLV|3RCR|4AAC|5DUR|6AART|7BASARM|8LWND|9MLV|aDMG
43	15133 65331	   	194.91	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1BEXP|2TLV|3RCR|4AAC|5DUR|6AART|7BASARM|8ZMB|9LIT|aDMG
44	35133 65323	   	194.91	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1DUR|2TLV|3RCR|4AAC|5LWND|6AART|7BASARM|8ASPD|9RCVC|aCDMG
45	25131 65231	   	194.81	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1DUST|2TLV|3RCR|4AAC|5BEXP|6AART|7BASARM|8LWND|9MLV|aDMG
46	25131 65321	   	194.81	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1DUST|2TLV|3RCR|4AAC|5BEXP|6AART|7BASARM|8ZMB|9DUR|aDMG
47	14142 22361	 * 	194.73	ACR|1BASARM|2BEXP|1ASPD	16BEXP|2CGEN|3RCR|4AME|5BELT|7BASARM|8VULN|9ASPD|aLWND
48	15142 22532	   	194.63	ACR|1BASARM|2BEXP|1DMG	16BEXP|2TLV|3RCR|4AME|5BELT|7BASARM|8DMG|9MLV|aVULN
49	52142 22361	   	194.63	ACR|1BASARM|2BEXP|1ASPD	1ERES|26BEXP|3RCR|4AME|5BELT|7BASARM|8VULN|9ASPD|aLWND
50	11522 51231	   	194.63	ACR|1BASARM|2BEXP|1ASPD	18BEXP|2LIT|3RCR|4DUST|5ASPD|6DUR|7VULN|9DLOT|aBASARM
51	11524 25231	   	194.63	ACR|1BASARM|2BEXP|1DMG	18BEXP|2LIT|3RCR|4DUST|5LWND|6VULN|7DMG|9DLOT|aBASARM
52	11525 25231	   	194.63	ACR|1BASARM|2BEXP|1DMG	18BEXP|2LIT|3RCR|4DUST|5FEWX|6VULN|7DMG|9DLOT|aBASARM
53	14142 22362	   	194.63	ACR|1BASARM|2BEXP|1ASPD	16BEXP|2CGEN|3RCR|4AME|5BELT|7BASARM|8VULN|9ASPD|aDUST
54	21542 51231	   	194.63	ACR|1BASARM|2BEXP|1ASPD	1DUST|2LIT|3RCR|48BEXP|5ASPD|6DUR|7VULN|9DLOT|aBASARM
55	31522 41231	   	194.63	ACR|1BASARM|2BEXP|1ASPD	1DUR|2LIT|3RCR|4DUST|5ASPD|68BEXP|7VULN|9DLOT|aBASARM
56	52142 22362	   	194.53	ACR|1BASARM|2BEXP|1ASPD	1ERES|26BEXP|3RCR|4AME|5BELT|7BASARM|8VULN|9ASPD|aDUST
57	12612 32624	 * 	194.49	ACR|3BEXP|2CDMG|1DMG|2VULN|1AART	12aBEXP|3DMG|4aCDMG|5RCR|6ZMB|7FEWX|8AART|9aVULN|aBPWR
58	14142 22314	   	194.49	ACR|1BASARM|2BEXP|1ASPD|1SELL	16BEXP|2CGEN|3RCR|4AME|5BELT|7BASARM|8VULN|9SELL|aASPD
59	15142 22314	   	194.39	ACR|1BASARM|2BEXP|1ASPD|1SELL	16BEXP|2TLV|3RCR|4AME|5BELT|7BASARM|8VULN|9SELL|aASPD
60	52142 22314	   	194.39	ACR|1BASARM|2BEXP|1ASPD|1SELL	1ERES|26BEXP|3RCR|4AME|5BELT|7BASARM|8VULN|9SELL|aASPD
61	12612 41513	 * 	194.30	ACR|2DMG|2BEXP|1ASPD|1AART|1CDMG	12BEXP|39DMG|4CDMG|5RCR|6AART|7NUKE|8LIT|aASPD
62	11525 21611	   	194.24	ACR|1BASARM|2AART|1BEXP|1AAC	1BEXP|2LIT|3RCR|4DUST|5FEWX|6VULN|79AART|8AAC|aBASARM
63	15142 22336	   	194.14	ACR|1BASARM|3BEXP|1AAC	169BEXP|2TLV|3RCR|4AME|5BELT|7BASARM|8VULN|aAAC
64	25122 11632	   	193.63	ACR|1BASARM|2BEXP|2AART	14DUST|2TLV|3RCR|56AART|7LIT|8aBEXP|9BASARM
65	35121 63352	 * 	193.40	ACR|2ASPD|2DMG|1BEXP|1AART	1DUR|29TLV|3RCR|4DUST|5BEXP|69ASPD|7LHND|89DMG|9BPWR|aAART
66	14121 36132	   	192.65	ACR|1BASARM|3BEXP|1AART	15aBEXP|27CGEN|3RCR|4DUST|6LIT|8AART|9BASARM
67	24111 36132	   	192.65	ACR|1BASARM|3BEXP|1AART	1DUST|27CGEN|3RCR|45aBEXP|6LIT|8AART|9BASARM
68	14121 31132	   	192.55	ACR|1BASARM|3BEXP|1AART	15aBEXP|2CGEN|3RCR|4DUST|6LIT|7AEMAG|8AART|9BASARM
69	24111 31132	   	192.55	ACR|1BASARM|3BEXP|1AART	1DUST|2CGEN|3RCR|45aBEXP|6LIT|7AEMAG|8AART|9BASARM
70	11526 41132	   	192.45	ACR|1BASARM|3BEXP|1AART	16aBEXP|2LIT|3RCR|4DUST|5TLV|7AEFBLL|8AART|9BASARM
71	21563 21611	 * 	192.25	ACR|1BASARM|2AART|1ASPD	1DUST|2LIT|3RCR|4RCVC|5MDPS|6VULN|79AART|8ASPD|aBASARM
72	21523 21611	   	192.15	ACR|1BASARM|2AART|1ASPD	14DUST|2LIT|3RCR|5MDPS|6VULN|79AART|8ASPD|aBASARM
73	21523 63611	   	192.15	ACR|1BASARM|2AART|1ASPD	14DUST|2LIT|3RCR|5MDPS|69AART|7VULN|8ASPD|aBASARM
74	12612 46313	   	192.06	ACR|2BEXP|1ASPD|1DMG|1CDMG|1AART|1AAC	12BEXP|3DMG|4CDMG|5RCR|6AART|7VULN|8AAC|9ASPD|aBELT
75	12612 46311	   	191.96	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG|1AAC	12BEXP|3DMG|4CDMG|5RCR|6AART|7VULN|8AAC|9ASPD|aDUST
76	21561 13131	 * 	191.94	ACR|1ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	1DUST|2LIT|3RCR|4RCVC|5CDMG|6AART|7BEXP|8BASICY|9DMG|aASPD
77	21521 13131	   	191.84	ACR|1ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	14DUST|2LIT|3RCR|5CDMG|6AART|7BEXP|8BASICY|9DMG|aASPD
