0	Index      	 *	Score 	Summary	Detail	
1	12635 23312	 * 	225.34	ACR|3ASPD|1VULN|1DMG|1BASICY|1AART|1BEXP	1VENICY|2VULN|369ASPD|4RCR|5BASICY|7AART|8BEXP|aDMG
2	33612 35523	 * 	218.04	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8MULARM|9VULN|aDMG
3	33612 35623	   	218.04	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8MSLFST|9VULN|aDMG
4	63612 35213	   	214.36	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	1FEWX|2LIT|3AART|46ASPD|5RCR|7BASARM|8BEXP|9ZMB|aDMG
5	63612 35223	   	214.36	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	1FEWX|2LIT|3AART|46ASPD|5RCR|7BASARM|8BEXP|9RMIN|aDMG
6	63612 35233	   	214.36	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	1FEWX|2LIT|3AART|46ASPD|5RCR|7BASARM|8BEXP|9MLV|aDMG
7	12636 12423	 * 	214.03	ACR|1BASARM|2ASPD|1VULN|2BEXP	1aVENICY|2VULN|3aASPD|4RCR|5NUKE|6LIT|7RPLT|8BASARM|9aBEXP|aBPWR
8	33612 35521	 * 	211.28	ACR|1BASARM|2VULN|2ASPD|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8MULARM|9aVULN
9	33612 35621	   	211.28	ACR|1BASARM|2VULN|2ASPD|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8MSLFST|9aVULN
10	33612 35522	 * 	210.49	ACR|1BASARM|2ASPD|2AART|1VULN	1DUST|2LIT|3aAART|46ASPD|5RCR|7BASARM|8MULARM|9VULN
11	33612 35622	   	210.49	ACR|1BASARM|2ASPD|2AART|1VULN	1DUST|2LIT|3aAART|46ASPD|5RCR|7BASARM|8MSLFST|9VULN
12	33612 35216	   	210.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8BEXP|9ZMB|aVULN
13	33612 35226	   	210.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8BEXP|9RMIN|aVULN
14	33612 35236	   	210.44	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8BEXP|9MLV|aVULN
15	32212 35233	   	210.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1DUST|2DLOT|3LIT|46ASPD|5RCR|7BASARM|8BEXP|9AART|aVULN
16	32212 35232	   	209.03	ACR|1BASARM|2ASPD|2BEXP|1AART	1aDUST|2DLOT|3aLIT|46ASPD|5RCR|7BASARM|8aBEXP|9AART|aBPWR
17	33612 35336	   	207.84	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG	1DUST|2LIT|3AART|46ASPD|5RCR|7BASARM|8RPLT|9BEXP|aCDMG
18	12633 24441	 * 	206.29	ACR|1BASARM|3BEXP|1VULN|1ASPD	1VENICY|2VULN|3ASPD|4RCR|5DUR|689BEXP|7MBVNT|aBASARM
19	12635 23112	 * 	205.96	ACR|3ASPD|2VULN|1BASICY|1AART	1VENICY|2aVULN|369ASPD|4RCR|5BASICY|7AART|8FEWX
20	26323 21224	 * 	204.12	ACR|1BASARM|2DMG|2BEXP	13LWND|2RCVC|4RCR|5TLV|68BEXP|7BASARM|9aDMG
21	26423 21224	   	204.02	ACR|1BASARM|2DMG|2BEXP	1LWND|2RCVC|3AEMAG|4RCR|5TLV|68BEXP|7BASARM|9aDMG
22	12635 23311	   	204.00	ACR|3ASPD|1VULN|1BASICY|1AART|1BEXP	1VENICY|2VULN|369ASPD|4RCR|5BASICY|7AART|8BEXP|aFEWX
23	12635 23314	   	204.00	ACR|3ASPD|1VULN|1BASICY|1AART|1BEXP	1VENICY|2VULN|369ASPD|4RCR|5BASICY|7AART|8BEXP|aCGEN
24	12635 23316	   	204.00	ACR|3ASPD|1VULN|1BASICY|1BEXP|1AART	1VENICY|2VULN|369ASPD|4RCR|5BASICY|7AART|8BEXP|aLHND
