0	Index      	 *	Score 	Summary	Detail	
1	16122 36315	 * 	263.58	ACR|1BASARM|2DMG|2ASPD|2BEXP	1RPLT|2RCR|37DMG|47ASPD|5AAC|67BEXP|7BPWR|8CGEN|9BASARM|aVULN
2	16122 36313	   	256.64	ACR|1BASARM|2ASPD|2DMG|2BEXP	1RPLT|2RCR|37DMG|47ASPD|5AAC|67BEXP|7BPWR|8CGEN|9BASARM|aRMIN
3	16122 36316	   	256.64	ACR|1BASARM|2ASPD|2DMG|2BEXP	1RPLT|2RCR|37DMG|47ASPD|5AAC|67BEXP|7BPWR|8CGEN|9BASARM|aMLV
4	16122 36311	   	256.54	ACR|1BASARM|2ASPD|2DMG|2BEXP	1RPLT|2RCR|37DMG|47ASPD|5AAC|67BEXP|7BPWR|8CGEN|9BASARM|aDUST
5	16122 36312	   	256.54	ACR|1BASARM|2ASPD|2DMG|2BEXP	1RPLT|2RCR|37DMG|47ASPD|5AAC|67BEXP|7BPWR|8CGEN|9BASARM|aTLV
6	16122 36314	   	256.54	ACR|1BASARM|2ASPD|2DMG|2BEXP	1RPLT|2RCR|37DMG|47ASPD|5AAC|67BEXP|7BPWR|8CGEN|9BASARM|aMDPS
7	16122 36152	 * 	244.44	ACR|3ASPD|2DMG|2BEXP|1AART	1RPLT|2RCR|37DMG|478ASPD|5AAC|67BEXP|7BPWR|9VULN|aAART
8	16122 36124	 * 	239.51	ACR|3ASPD|3DMG|2BEXP	19RPLT|2RCR|37aDMG|478ASPD|5AAC|67BEXP|7BPWR
9	16122 36112	   	237.50	ACR|3ASPD|2DMG|2BEXP|1CDMG	1RPLT|2RCR|37DMG|478ASPD|5AAC|67BEXP|7BPWR|9VENTOX|aCDMG
10	16122 36142	   	237.50	ACR|3ASPD|2DMG|2BEXP|1AART	1RPLT|2RCR|37DMG|478ASPD|5AAC|67BEXP|7BPWR|9LHND|aAART
11	16122 36116	 * 	235.12	ACR|3ASPD|3BEXP|2DMG	1RPLT|2RCR|37DMG|478ASPD|5AAC|67aBEXP|7BPWR|9VENTOX
12	16122 36433	   	235.12	ACR|3ASPD|3BEXP|2DMG	1RPLT|2RCR|37DMG|479ASPD|5AAC|67aBEXP|7BPWR|8ZMB
13	16122 16315	   	235.09	ACR|1BASARM|2ASPD|2DMG	1RPLT|2RCR|37DMG|47ASPD|5AAC|67FEWX|7BPWR|8CGEN|9BASARM|aVULN
