0	Index      	 *	Score 	Summary	Detail	
1	21656 31344	 * 	217.45	ACR|1BASARM|2VULN|2BEXP|1DMG|1CDMG	1aVULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9CDMG
2	42231 25216	 * 	216.69	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	1aLIT|2AAC|35ASPD|4RCR|6aBEXP|7DMG|8CDMG|9aVULN|aBPWR
3	21656 41211	 * 	215.62	ACR|2VULN|2ASPD|2DMG|2BEXP	1aVULN|26BEXP|3MBVNT|4aDMG|5RCR|7LHND|8LIT|9aASPD|aBPWR
4	44233 53432	 * 	209.88	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1AAC	1LIT|2TLV|3ASPD|4RCR|5AART|6MBVNT|7BEXP|8DMG|9BASARM|aAAC
5	26216 21136	 * 	208.19	ACR|3ASPD|2VULN|1BASICY|1AART|1CDMG|1SELL	1aVULN|2aLHND|3AART|4RCR|5CDMG|6BASICY|7SELL|89aASPD|aBPWR
6	44231 32131	   	205.94	ACR|2ASPD|2DMG|2BEXP|1VULN	1LIT|2aTLV|35ASPD|4RCR|6VULN|7aBEXP|8DUR|9aDMG|aBPWR
7	44232 33611	   	205.94	ACR|2ASPD|2DMG|2BEXP|1VULN	1LIT|2aTLV|39ASPD|4RCR|5DUR|6aBEXP|7VULN|8aDMG|aBPWR
8	42234 11231	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LIT|2AAC|3aASPD|4RCR|5BEXP|6TLV|7aVULN|8ZMB|9aDMG|aBPWR
9	42234 51131	   	205.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1LIT|2AAC|3aASPD|4RCR|5BEXP|6ZMB|7aVULN|8AME|9aDMG|aBPWR
10	21656 11334	   	204.99	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9LWND|aCDMG
11	21656 11344	   	204.99	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6ERES|8BASARM|9LHND|aCDMG
12	21656 31341	   	204.89	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9CDMG|aMDPS
13	21656 31343	   	204.89	ACR|1BASARM|1VULN|2BEXP|1DMG|1CDMG	1VULN|27BEXP|3MBVNT|4DMG|5RCR|6AME|8BASARM|9CDMG|aDUST
14	26211 12284	 * 	204.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2LHND|3AART|4RCR|5ASPD|6ZMB|7CGEN|8MBVNT|9BASARM|aDMG
