0	Index      	 *	Score 	Summary	Detail	
1	64332 11132	 * 	236.48	ACR|2VULN|2ASPD|2DMG|2BEXP|1CDMG	17ASPD|23BEXP|4RCR|57MULARM|67DMG|7BPWR|8CDMG|9aVULN
2	64332 33114	 * 	235.40	ACR|1BASARM|2ASPD|2BEXP|1DMG|1VULN	16ASPD|23BEXP|4RCR|5MULARM|7BASARM|8DMG|9LHND|aVULN
3	64332 33131	 * 	231.71	ACR|1BASARM|3BEXP|2ASPD|1DMG	16ASPD|239BEXP|4RCR|5MULARM|7BASARM|8DMG|aCGEN
4	64332 33135	   	231.71	ACR|1BASARM|3BEXP|2ASPD|1DMG	16ASPD|239BEXP|4RCR|5MULARM|7BASARM|8DMG|aLWND
5	64332 33132	   	231.61	ACR|1BASARM|3BEXP|2ASPD|1DMG	16ASPD|239BEXP|4RCR|5MULARM|7BASARM|8DMG|aMDPS
6	64332 33133	   	231.61	ACR|1BASARM|3BEXP|2ASPD|1DMG	16ASPD|239BEXP|4RCR|5MULARM|7BASARM|8DMG|aDUST
7	64332 33136	   	231.47	ACR|1BASARM|3BEXP|2ASPD|1DMG|1SELL	16ASPD|239BEXP|4RCR|5MULARM|7BASARM|8DMG|aSELL
8	66153 11132	 * 	230.67	ACR|1BASARM|2ASPD|1DMG|1BASICY|1BEXP	18ASPD|2MDPS|3RCR|4BASARM|5DMG|6FEWX|7BEXP|9DMSP|aBASICY
9	66153 11122	   	230.57	ACR|1BASARM|2ASPD|1DMG|1BASICY|1BEXP	18ASPD|29MDPS|3RCR|4BASARM|5DMG|6FEWX|7BEXP|aBASICY
10	66153 11113	 * 	228.20	ACR|1BASARM|2ASPD|2DMG|1BEXP	18ASPD|2MDPS|3RCR|4BASARM|5aDMG|6FEWX|7BEXP|9RPLT
11	64332 26123	 * 	227.95	ACR|2VULN|3BEXP|2DMG|1ASPD|1CDMG	1ASPD|23aBEXP|4RCR|5MULARM|6CGEN|7aVULN|8CDMG|9aDMG|aBPWR
12	64332 33623	 * 	227.20	ACR|3ASPD|1BASARM|3BEXP	16aASPD|23aBEXP|4RCR|5MULARM|7BASARM|89aERES|aBPWR
