0	Index      	 *	Score 	Summary	Detail	
1	41112 25224	 * 	200.34	DCR|3ASPD|3BEXP|1VULN|1DMG|1BASICY	138BEXP|235ASPD|3BPWR|4BASICY|6AAC|7VULN|9DMG|aRCR
2	41113 25152	 * 	196.97	1BASARM|3BEXP|2ASPD|1VULN|1DMG|1BASICY|1CDMG	139BEXP|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|aDMG
3	41113 35152	   	196.97	1BASARM|3BEXP|2ASPD|1VULN|1DMG|1BASICY|1CDMG	139BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7CDMG|8BASARM|aDMG
4	41113 35131	 * 	195.98	2BASARM|3ASPD|1VULN|2BEXP|1BASICY|1CDMG	13BEXP|23aASPD|3aBPWR|4BASICY|5VULN|6aDUR|7CDMG|8aBASARM|9MDPS
5	11113 25131	   	195.98	2BASARM|3ASPD|1VULN|2BEXP|1BASICY|1CDMG	13DUR|23aASPD|3aBPWR|4BASICY|5VULN|6aBEXP|7CDMG|8aBASARM|9MDPS
6	11513 25131	   	195.88	2BASARM|3ASPD|1VULN|2BEXP|1BASICY|1CDMG	1DUR|23aASPD|4BASICY|5VULN|6aBEXP|7CDMG|8aBASARM|9MDPS|aBPWR
7	65363 31331	 * 	192.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9DMG|aZMB
8	65363 31332	   	192.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9DMG|aLWND
9	65363 31333	   	192.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CDMG|9DMG|aMBVNT
10	65363 31123	 * 	191.73	ACR|1BASARM|1VULN|2AART|1DMG	1MDPS|2RMIN|3BASARM|49AART|5RCR|6BELT|7VULN|8CGEN|aDMG
11	11214 23452	 * 	191.40	DCR|3VULN|3DMG|2ASPD	147DUR|28ASPD|378VULN|578DMG|6RCVC|78BPWR|9MDPS|aRCR
12	32316 26353	 * 	187.06	ACR|2DMG|2BEXP|1VULN|1ASPD	1RPLT|2LIT|3ZMB|4RCR|5VULN|69BEXP|7aDMG|8ASPD
13	41113 25133	 * 	186.19	1BASARM|2VULN|2ASPD|2BEXP|1BASICY|1CDMG|1AAC	13BEXP|23ASPD|3BPWR|4BASICY|5aVULN|6FEWX|7CDMG|8BASARM|9AAC
14	41113 35143	   	186.19	1BASARM|2VULN|2ASPD|2BEXP|1BASICY|1CDMG|1AAC	13BEXP|23ASPD|3BPWR|4BASICY|5aVULN|6DUR|7CDMG|8BASARM|9AAC
15	41412 23122	 * 	186.02	DCR|3BEXP|2ASPD|2DMG|2CDMG	159BEXP|28ASPD|39DMG|4RPLT|6MBVNT|79CDMG|9BPWR|aRCR
16	41113 25116	   	185.71	1BASARM|2ASPD|1VULN|2BEXP|1DMG|1BASICY|1CDMG	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|9LHND|aDMG
17	41113 35116	   	185.71	1BASARM|2ASPD|1VULN|2BEXP|1DMG|1BASICY|1CDMG	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7CDMG|8BASARM|9LHND|aDMG
18	41113 35126	   	185.71	1BASARM|2ASPD|1VULN|2BEXP|1DMG|1BASICY|1CDMG	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7CDMG|8BASARM|9FEWX|aDMG
19	31215 21245	 * 	184.32	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	1RPLT|2ERES|3LIT|4RCR|56BEXP|7DMG|8AART|9ASPD|aVULN
20	41112 62151	 * 	184.04	DCR|3ASPD|1VULN|2BEXP|1BASICY|1AART	13BEXP|235ASPD|3BPWR|4BASICY|6VULN|7AART|8CGEN|9DUR|aRCR
21	41113 33131	 * 	183.53	2BASARM|3BEXP|2ASPD|1VULN|2BASICY|1SELL	13aBEXP|23ASPD|3aBPWR|4aBASICY|5VULN|6DUR|7SELL|8aBASARM|9MDPS
22	65632 31221	 * 	182.81	ACR|1BASARM|1VULN|1ASPD|1AART	1MDPS|2RMIN|3BELT|4RCR|5VULN|6ASPD|7TLV|8DUR|9BASARM|aAART
23	41112 62225	 * 	182.38	3ASPD|1BASARM|2BEXP|1VULN|1BASICY|1AART	13BEXP|235ASPD|3BPWR|4BASICY|6VULN|7AART|8SNITOX|9MDPS|aBASARM
24	32415 21224	 * 	181.94	ACR|2DMG|2BEXP|1VULN|1AART	1RPLT|2LIT|3CGEN|4RCR|56BEXP|7aDMG|8AART|9VULN
25	31215 21224	   	181.84	ACR|2DMG|2BEXP|1VULN|1AART	1RPLT|2ERES|3LIT|4RCR|56BEXP|7aDMG|8AART|9VULN
26	31215 21626	   	181.84	ACR|2DMG|2BEXP|1VULN|1AART	1RPLT|2ERES|3LIT|4RCR|56BEXP|79DMG|8VULN|aAART
27	41113 33152	   	181.79	1BASARM|3BEXP|2ASPD|1VULN|1DMG|1BASICY|1SELL	139BEXP|23ASPD|3BPWR|4BASICY|5VULN|6DUR|7SELL|8BASARM|aDMG
28	41164 32233	 * 	181.71	DCR|3ASPD|3BEXP|2DMG	134BEXP|237ASPD|3BPWR|5BELT|68DMG|9MLV|aRCR
29	41164 32223	   	181.61	DCR|3ASPD|3BEXP|2DMG	134BEXP|237ASPD|3BPWR|5BELT|68DMG|9ERES|aRCR
30	32313 64627	 * 	181.51	ACR|1BASARM|1DMG|1AART|1BEXP	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6MDPS|7AART|8BASARM|9BEXP|aDMG
31	65363 32332	 * 	181.44	ACR|1BASARM|2AART|1BEXP|1CDMG	1MDPS|2RMIN|3BASARM|49AART|5RCR|6BELT|7CGEN|8CDMG|aBEXP
32	65363 33332	   	181.34	ACR|1BASARM|2AART|1BEXP|1CDMG	1MDPS|2RMIN|3BASARM|49AART|5RCR|6BELT|7CDMG|8ERES|aBEXP
33	41513 35131	   	181.05	2BASARM|3ASPD|1VULN|1BASICY|1BEXP|1CDMG	1BEXP|23aASPD|4BASICY|5VULN|6aDUR|7CDMG|8aBASARM|9MDPS|aBPWR
34	32316 36421	 * 	180.85	ACR|2DMG|2BEXP|1VULN|1CDMG	1RPLT|2LIT|3aZMB|4RCR|5VULN|6DUR|7aDMG|8CDMG|9aBEXP|aBPWR
35	41113 25136	 * 	180.50	1BASARM|2ASPD|1VULN|2BEXP|1BASICY|2AAC|1CDMG	13BEXP|23ASPD|3BPWR|4BASICY|5VULN|6FEWX|7CDMG|8BASARM|9aAAC
36	41122 13415	 * 	180.23	2VULN|1BASARM|2ASPD|2BEXP|1DMG|1CDMG	13BEXP|23ASPD|3BPWR|4LWND|5MLV|68VULN|7BASARM|9CDMG|aDMG
37	41412 52133	 * 	179.81	DCR|3BEXP|2ASPD|2DMG|1AART	157BEXP|27ASPD|37DMG|4RPLT|6AART|7BPWR|8FEWX|9LIT|aRCR
38	34225 33421	 * 	179.19	1BASARM|2DMG|2BEXP|2BASICY|1VULN|1ASPD	1RPLT|2AAC|3LWND|4aBASICY|5BASARM|6VULN|7aBEXP|8ASPD|9aDMG|aBPWR
39	41114 13224	   	178.98	DCR|3ASPD|3BEXP|1VULN|1BASICY	139BEXP|237ASPD|3BPWR|4BASICY|5ZMB|6AAC|8VULN|aRCR
40	32316 61241	 * 	178.82	ACR|2VULN|1ASPD|1DMG|1AART|1AAC	1RPLT|2LIT|3ZMB|4RCR|56VULN|7DMG|8AART|9ASPD|aAAC
41	65363 12112	   	178.67	ACR|1BASARM|1DMG|1VULN|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7CGEN|8DMG|9RCVC|aVULN
42	65363 22112	   	178.67	ACR|1BASARM|1DMG|1VULN|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7CGEN|8DMG|9RCVC|aVULN
43	41113 52321	 * 	178.37	DCR|3BEXP|2ASPD|1VULN|1BASICY|1AART	138BEXP|23ASPD|3BPWR|4BASICY|5VULN|6CGEN|7AART|9FEWX|aRCR
44	41122 13245	 * 	178.13	3ASPD|1BASARM|2VULN|2BEXP|1AART	13BEXP|23aASPD|3aBPWR|4LWND|5MLV|6aVULN|7BASARM|8aDUST|9AART
45	32316 61226	 * 	178.07	ACR|3VULN|2AART|1DMG	1RPLT|2LIT|3ZMB|4RCR|569VULN|7DMG|8aAART
46	65363 22323	   	177.91	ACR|1BASARM|1ASPD|1VULN|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7CGEN|8LWND|9VULN|aASPD
47	65363 31113	   	177.91	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|89CGEN|aDMG
48	65363 12122	   	177.81	ACR|1BASARM|1DMG|1VULN|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LWND|7CGEN|8DMG|9AEMAG|aVULN
49	65363 22122	   	177.81	ACR|1BASARM|1DMG|1VULN|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6LHND|7CGEN|8DMG|9AEMAG|aVULN
50	65363 31133	   	177.81	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2RMIN|3BASARM|4AART|5RCR|6BELT|7VULN|8CGEN|9AEMAG|aDMG
51	41112 21424	 * 	177.57	DCR|3ASPD|3BEXP|1BASICY|1CDMG	137BEXP|235ASPD|3BPWR|4BASICY|6AAC|8CDMG|9NUKE|aRCR
52	32313 77373	 * 	177.35	ACR|2ASPD|2DMG|1VULN	1RPLT|2LIT|3ZMB|4RCR|5MBVNT|6VULN|7aDMG|89ASPD
53	41124 15122	 * 	176.96	DCR|2VULN|3BEXP|2ASPD|1DMG	138BEXP|23ASPD|3BPWR|4LWND|5DMG|69VULN|7LHND|aRCR
54	41161 42212	   	176.81	1BASARM|3BEXP|2ASPD|1VULN|1DMG|1CDMG	134BEXP|23ASPD|3BPWR|5VULN|6CDMG|7AAC|8BASARM|9CGEN|aDMG
55	41161 42222	   	176.81	1BASARM|3BEXP|2ASPD|1VULN|1DMG|1CDMG	134BEXP|23ASPD|3BPWR|5VULN|6CDMG|7AAC|8BASARM|9MLV|aDMG
