0	Index      	 *	Score 	Summary	Detail	
1	42112 63531	 * 	212.45	ACR|2VULN|2DMG|2BEXP|2AART	1aBEXP|29AART|3MDPS|4RCR|5aVULN|6LWND|7LHND|8aDMG|aBPWR
2	42116 24231	 * 	212.45	ACR|2VULN|2ASPD|2BEXP|2AART	1aBEXP|29AART|3MDPS|4RCR|5aASPD|6LHND|7LWND|8aVULN|aBPWR
3	32152 51342	 * 	206.91	ACR|1BASARM|2DMG|1VULN|1ASPD	1VULN|236DUR|4RCR|58DMG|7MBVNT|9BASARM|aASPD
4	22112 44431	   	204.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1DUR|2AART|3MDPS|4RCR|5VULN|6FEWX|7DMG|8MSLREG|9ASPD|aBASARM
5	22112 54431	   	204.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1DUR|2AART|3MDPS|4RCR|5VULN|6LHND|7DMG|8MSLREG|9ASPD|aBASARM
6	42116 21511	 * 	203.39	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8VULN|9MLV|aDMG
7	42116 21211	   	203.29	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8AME|9VULN|aDMG
8	42116 21311	   	203.29	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8ERES|9VULN|aDMG
9	42116 21531	   	203.29	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67LHND|7BPWR|8VULN|9ERES|aDMG
10	42116 51211	   	203.29	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8AME|9VULN|aDMG
11	42116 51311	   	203.29	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART	17BEXP|2AART|3MDPS|4RCR|57ASPD|67DUR|7BPWR|8ERES|9VULN|aDMG
12	42116 41312	   	202.42	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1BEXP|2AART|3MDPS|4RCR|5ASPD|6RPLT|7FEWX|8BASARM|9RCVC|aDMG
13	42116 42312	   	202.42	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|5ASPD|6RPLT|7LWND|8BASARM|9RCVC|aDMG
14	42116 41323	 * 	201.67	ACR|1BASARM|1ASPD|1BASICY|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|5ASPD|6RPLT|7FEWX|8BASARM|9LIT|aBASICY
15	42116 42323	   	201.67	ACR|1BASARM|1ASPD|1BASICY|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|5ASPD|6RPLT|7LWND|8BASARM|9LIT|aBASICY
16	42116 42332	   	201.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BEXP|2AART|3MDPS|4RCR|5ASPD|6RPLT|79LWND|8BASARM|aDMG
